grid_id,capacity_mw,fuel_type_code,fuel_type_name,year
215,194.8,CL,Coal,2021
225,3.3,DFO,Distillate Fuel Oil,2021
224,0.3,DFO,Distillate Fuel Oil,2021
223,37.2,DFO,Distillate Fuel Oil,2021
222,147.7,DFO,Distillate Fuel Oil,2021
219,25.6,DFO,Distillate Fuel Oil,2021
218,0.8,DFO,Distillate Fuel Oil,2021
217,47.3,DFO,Distillate Fuel Oil,2021
216,17.8,DFO,Distillate Fuel Oil,2021
215,231.9,DFO,Distillate Fuel Oil,2021
213,0.6,DFO,Distillate Fuel Oil,2021
208,0.3,DFO,Distillate Fuel Oil,2021
204,0.5,DFO,Distillate Fuel Oil,2021
198,0.4,DFO,Distillate Fuel Oil,2021
197,0.5,DFO,Distillate Fuel Oil,2021
196,0.4,DFO,Distillate Fuel Oil,2021
195,47.1,DFO,Distillate Fuel Oil,2021
194,1.9,DFO,Distillate Fuel Oil,2021
192,0.3,DFO,Distillate Fuel Oil,2021
191,1.7,DFO,Distillate Fuel Oil,2021
190,0.5,DFO,Distillate Fuel Oil,2021
189,0.2,DFO,Distillate Fuel Oil,2021
188,0.2,DFO,Distillate Fuel Oil,2021
187,2.9,DFO,Distillate Fuel Oil,2021
184,1.6,DFO,Distillate Fuel Oil,2021
183,0.8,DFO,Distillate Fuel Oil,2021
182,0.2,DFO,Distillate Fuel Oil,2021
181,0.3,DFO,Distillate Fuel Oil,2021
180,2.7,DFO,Distillate Fuel Oil,2021
179,0.8,DFO,Distillate Fuel Oil,2021
178,0.5,DFO,Distillate Fuel Oil,2021
177,0.3,DFO,Distillate Fuel Oil,2021
176,1.9,DFO,Distillate Fuel Oil,2021
175,0.7,DFO,Distillate Fuel Oil,2021
174,0.1,DFO,Distillate Fuel Oil,2021
173,0.3,DFO,Distillate Fuel Oil,2021
172,1.0,DFO,Distillate Fuel Oil,2021
171,0.2,DFO,Distillate Fuel Oil,2021
170,0.3,DFO,Distillate Fuel Oil,2021
169,11.0,DFO,Distillate Fuel Oil,2021
167,1.7,DFO,Distillate Fuel Oil,2021
166,3.0,DFO,Distillate Fuel Oil,2021
165,2.4,DFO,Distillate Fuel Oil,2021
164,3.1,DFO,Distillate Fuel Oil,2021
163,2.2,DFO,Distillate Fuel Oil,2021
162,2.6,DFO,Distillate Fuel Oil,2021
161,3.2,DFO,Distillate Fuel Oil,2021
160,2.7,DFO,Distillate Fuel Oil,2021
159,16.6,DFO,Distillate Fuel Oil,2021
158,0.2,DFO,Distillate Fuel Oil,2021
157,0.7,DFO,Distillate Fuel Oil,2021
156,0.2,DFO,Distillate Fuel Oil,2021
155,0.5,DFO,Distillate Fuel Oil,2021
154,0.9,DFO,Distillate Fuel Oil,2021
153,0.6,DFO,Distillate Fuel Oil,2021
150,16.5,DFO,Distillate Fuel Oil,2021
149,1.7,DFO,Distillate Fuel Oil,2021
148,0.1,DFO,Distillate Fuel Oil,2021
147,0.3,DFO,Distillate Fuel Oil,2021
145,0.3,DFO,Distillate Fuel Oil,2021
144,0.2,DFO,Distillate Fuel Oil,2021
143,1.6,DFO,Distillate Fuel Oil,2021
142,0.6,DFO,Distillate Fuel Oil,2021
140,0.2,DFO,Distillate Fuel Oil,2021
138,1.0,DFO,Distillate Fuel Oil,2021
137,1.1,DFO,Distillate Fuel Oil,2021
136,0.1,DFO,Distillate Fuel Oil,2021
135,11.8,DFO,Distillate Fuel Oil,2021
134,0.6,DFO,Distillate Fuel Oil,2021
132,1.4,DFO,Distillate Fuel Oil,2021
131,1.8,DFO,Distillate Fuel Oil,2021
130,0.4,DFO,Distillate Fuel Oil,2021
129,3.1,DFO,Distillate Fuel Oil,2021
128,2.0,DFO,Distillate Fuel Oil,2021
125,1.5,DFO,Distillate Fuel Oil,2021
123,0.9,DFO,Distillate Fuel Oil,2021
121,0.2,DFO,Distillate Fuel Oil,2021
120,0.4,DFO,Distillate Fuel Oil,2021
119,2.8,DFO,Distillate Fuel Oil,2021
118,1.4,DFO,Distillate Fuel Oil,2021
117,0.7,DFO,Distillate Fuel Oil,2021
116,0.3,DFO,Distillate Fuel Oil,2021
115,3.9,DFO,Distillate Fuel Oil,2021
111,1.0,DFO,Distillate Fuel Oil,2021
110,0.5,DFO,Distillate Fuel Oil,2021
107,0.3,DFO,Distillate Fuel Oil,2021
106,0.3,DFO,Distillate Fuel Oil,2021
105,0.4,DFO,Distillate Fuel Oil,2021
104,0.6,DFO,Distillate Fuel Oil,2021
103,0.4,DFO,Distillate Fuel Oil,2021
102,0.5,DFO,Distillate Fuel Oil,2021
101,0.5,DFO,Distillate Fuel Oil,2021
100,0.3,DFO,Distillate Fuel Oil,2021
99,1.2,DFO,Distillate Fuel Oil,2021
97,0.3,DFO,Distillate Fuel Oil,2021
96,1.1,DFO,Distillate Fuel Oil,2021
95,0.3,DFO,Distillate Fuel Oil,2021
94,0.4,DFO,Distillate Fuel Oil,2021
93,2.2,DFO,Distillate Fuel Oil,2021
92,0.2,DFO,Distillate Fuel Oil,2021
91,4.2,DFO,Distillate Fuel Oil,2021
90,0.5,DFO,Distillate Fuel Oil,2021
88,2.7,DFO,Distillate Fuel Oil,2021
86,2.6,DFO,Distillate Fuel Oil,2021
85,1.1,DFO,Distillate Fuel Oil,2021
84,2.8,DFO,Distillate Fuel Oil,2021
