aea_plant_id,eia_plant_id,nameplate_capacity_mw,fuel_type_code,fuel_type_name,year
1,54452,12.5,NG,Natural Gas,2021
2,,0.340,DFO,Distillate Fuel Oil,2021
3,,1.50,DFO,Distillate Fuel Oil,2021
4,,0.92,DFO,Distillate Fuel Oil,2021
5,,0.40,DFO,Distillate Fuel Oil,2021
5,,0.105,WAT,Water at Hydroelectric Turbine,2021
6,62,4.0,WAT,Water at Hydroelectric Turbine,2021
7,7250,36.2,DFO,Distillate Fuel Oil,2021
8,63,8.1,DFO,Distillate Fuel Oil,2021
8,63,1.6,WAT,Water at Hydroelectric Turbine,2021
9,59793,41.7,DFO,Distillate Fuel Oil,2021
10,57085,14.3,WAT,Water at Hydroelectric Turbine,2021
11,64,61.7,DFO,Distillate Fuel Oil,2021
12,65,8.5,WAT,Water at Hydroelectric Turbine,2021
13,78,78.2,WAT,Water at Hydroelectric Turbine,2021
14,58511,1.9,WND,Wind,2021
15,7752,4.5,WAT,Water at Hydroelectric Turbine,2021
16,7751,4,WAT,Water at Hydroelectric Turbine,2021
17,56542,3,WAT,Water at Hydroelectric Turbine,2021
18,56265,2,WAT,Water at Hydroelectric Turbine,2021
19,56147,1,DFO,Distillate Fuel Oil,2021
20,421,6.800,DFO,Distillate Fuel Oil,2021
21,56146,1.3,DFO,Distillate Fuel Oil,2021
22,69,10.020,DFO,Distillate Fuel Oil,2021
23,423,1.445,DFO,Distillate Fuel Oil,2021
24,61684,2.5,DFO,Distillate Fuel Oil,2021
25,7169,1.099,DFO,Distillate Fuel Oil,2021
26,66,3.385,DFO,Distillate Fuel Oil,2021
26,66,1.0,WAT,Water at Hydroelectric Turbine,2021
27,61685,1.072,DFO,Distillate Fuel Oil,2021
28,7414,1.0,DFO,Distillate Fuel Oil,2021
29,406,5.21,DFO,Distillate Fuel Oil,2021
31,7176,0.6,DFO,Distillate Fuel Oil,2021
33,7342,0.7,DFO,Distillate Fuel Oil,2021
34,7375,0.530,DFO,Distillate Fuel Oil,2021
34,7375,0.024,SUN,Solar,2021
35,,1.4,DFO,Distillate Fuel Oil,2021
35,,0.8,WAT,Water at Hydroelectric Turbine,2021
36,7506,0.101,DFO,Distillate Fuel Oil,2021
37,7249,0,DFO,Distillate Fuel Oil,2021
40,7753,0.612,DFO,Distillate Fuel Oil,2021
41,,0.943,WAT,Water at Hydroelectric Turbine,2021
42,,1.5,DFO,Distillate Fuel Oil,2021
42,,0.285,WAT,Water at Hydroelectric Turbine,2021
43,7792,0.32,DFO,Distillate Fuel Oil,2021
45,6308,0.8,DFO,Distillate Fuel Oil,2021
46,6556,1.1,DFO,Distillate Fuel Oil,2021
47,6566,12.6,DFO,Distillate Fuel Oil,2021
47,6566,0.9,WND,Wind,2021
48,7374,1.0,DFO,Distillate Fuel Oil,2021
49,6311,1.8,DFO,Distillate Fuel Oil,2021
49,6311,0.4,WND,Wind,2021
50,6313,1.310,DFO,Distillate Fuel Oil,2021
51,6314,3.2,DFO,Distillate Fuel Oil,2021
51,6314,0.4,WND,Wind,2021
52,6315,1.95,DFO,Distillate Fuel Oil,2021
52,6315,0.3,WND,Wind,2021
53,6319,2.2,DFO,Distillate Fuel Oil,2021
53,6319,0.3,WND,Wind,2021
54,57066,3.006,DFO,Distillate Fuel Oil,2021
54,57066,0.3,WND,Wind,2021
55,6323,1.2,DFO,Distillate Fuel Oil,2021
56,6324,1.1,DFO,Distillate Fuel Oil,2021
57,57064,1.390,DFO,Distillate Fuel Oil,2021
58,6325,1.049,DFO,Distillate Fuel Oil,2021
59,6326,1.150,DFO,Distillate Fuel Oil,2021
60,6329,2.30,DFO,Distillate Fuel Oil,2021
61,6334,1.231,DFO,Distillate Fuel Oil,2021
62,6331,1.252,DFO,Distillate Fuel Oil,2021
63,6330,1.626,DFO,Distillate Fuel Oil,2021
63,6330,0.023,SUN,Solar,2021
64,6333,0.5,DFO,Distillate Fuel Oil,2021
