community_fips_code,grid_id,connection_year,termination_year
0200065,186,0,9999
0200650,1,0,9999
0200760,2,0,9999
0200870,3,0,9999
0201090,4,0,9999
0201200,45,2016,9999
0201200,218,0,2016
0201305,5,0,9999
0201390,,,
0201420,169,0,9999
0201560,,,
0201860,5,0,9999
0201970,35,0,9999
0202080,160,0,9999
0203110,215,0,9999
0203000,215,0,9999
0203220,215,0,9999
0203440,125,0,9999
0203550,93,0,9999
0203880,36,0,9999
0203990,94,0,9999
0204210,95,0,9999
0204430,96,0,9999
0204500,161,0,9999
0204670,,,
0205000,215,0,9999
0205585,215,0,9999
0205750,97,0,9999
0206245,215,0,9999
0206520,34,0,9999
0206630,7,0,9999
0206850,215,0,9999
0207070,215,0,9999
0207620,98,0,9999
0208740,39,0,9999
0209600,99,0,9999
0209657,215,0,9999
0209710,215,0,9999
0210150,215,0,9999
0211690,116,0,9999
0211800,100,0,9999
0212350,215,0,9999
0212680,154,0,9999
0212920,215,0,9999
0212970,101,0,9999
0213230,40,0,9999
0213340,215,0,9999
0213450,,,
0213550,104,0,9999
0213670,102,0,9999
0213780,103,0,9999
0213860,223,0,9999
0213890,,,
0214000,26,2010,9999
0214000,206,0,2010
0214110,105,0,9999
0214330,144,0,9999
0214880,106,0,9999
0215320,215,0,9999
0215430,107,0,9999
0216360,23,2011,9999
0216360,207,0,2011
0216420,215,0,9999
0216530,114,0,9999
0216630,,,
0216750,215,0,9999
0217190,215,0,9999
0217300,216,0,9999
0217410,14,0,9999
0217670,32,0,9999
0217740,23,0,9999
0217850,145,0,9999
0217960,215,0,9999
0218510,130,0,9999
0218620,215,0,9999
0218675,215,0,9999
0218805,215,0,9999
0218925,215,0,9999
0218950,169,0,9999
0219060,110,0,9999
0219720,15,0,9999
0219750,15,0,9999
0220020,,,
0220380,9,0,9999
0220600,9,0,9999
0220716,,,
0220970,,,
0221040,41,0,9999
0221150,111,0,9999
0221370,215,0,9999
0221810,65,2016,9999
0221810,208,0,2016
0222140,112,0,9999
0222250,43,0,9999
0222910,45,0,9999
0223460,215,0,9999
0223720,,,
0223790,7,0,9999
0223900,,,
0224230,215,0,9999
0224660,113,0,9999
0225000,215,0,9999
0224980,215,0,9999
0225220,215,0,9999
0225550,215,0,9999
0225880,,,
0226100,215,0,9999
0226760,119,0,9999
0226835,215,0,9999
0226870,215,0,9999
0226910,215,0,9999
0227090,215,0,9999
0227145,215,0,9999
0227420,,,
0227530,115,0,9999
0227640,46,0,9999
0227700,,,
0228200,215,0,9999
0228590,216,0,9999
0228740,216,0,9999
0229130,215,0,9999
0229180,117,0,9999
0229290,47,0,9999
0230060,48,0,9999
0230500,216,0,9999
0230940,118,0,9999
0231050,32,0,9999
0231270,215,0,9999
0231710,215,0,9999
0231765,215,0,9999
0232150,215,0,9999
0232310,11,0,9999
0232550,,,
0232810,23,2004,9999
0232810,209,0,2004
0233030,49,0,9999
0233140,215,0,9999
0233360,128,0,9999
0233470,50,0,9999
0233580,215,0,9999
0233800,215,0,9999
0233910,120,0,9999
0234350,51,0,9999
0234460,23,2006,9999
0234460,210,0,2006
0234570,,,
0234790,121,0,9999
0235120,123,0,9999
0235890,,,
0236400,222,0,9999
0236540,215,0,9999
0236770,129,0,9999
0236990,162,0,9999
0237250,215,0,9999
0237430,54,0,9999
0237540,92,0,9999
0237650,23,0,9999
0237975,55,0,9999
0238090,215,0,9999
0238420,215,0,9999
0238910,216,0,9999
0238970,217,2009,9999
0238970,227,0,2009
0239300,57,0,9999
0239410,131,0,9999
0239630,150,0,9999
0239740,132,0,9999
0239960,58,0,9999
0240400,23,0,9999
0240510,32,0,9999
0240670,215,0,9999
0240645,215,0,9999
0240840,149,1980,9999
0240840,199,0,1980
0240950,223,0,9999
0241210,223,0,9999
0241280,134,0,9999
0241500,157,0,9999
0241610,176,0,9999
0241720,59,0,9999
0241830,135,0,9999
0241940,60,0,9999
0242050,136,0,9999
0242160,217,0,9999
0242380,137,0,9999
0242490,138,0,9999
0242805,,,
0242820,,,
0243040,139,0,9999
0243260,215,0,9999
0243810,140,0,9999
0244030,141,0,9999
0244580,,,
0245020,,,
0245295,215,0,9999
0245460,52,2005,9999
0245460,205,0,2005
0245700,32,0,9999
0246780,188,0,9999
0246890,142,0,9999
0247000,61,0,9999
0245790,,,
0246010,143,0,9999
0247735,215,0,9999
0247990,62,0,9999
0248200,216,0,9999
0248540,26,2012,9999
0248540,214,0,2012
0248590,196,0,9999
0248870,225,0,9999
0249200,223,0,9999
0249530,63,0,9999
0250080,215,0,9999
0250190,215,0,9999
0250800,32,0,9999
0251180,75,2020,9999
0251180,64,0,2020
0251455,32,0,9999
0251960,,,
0252060,150,0,9999
0252210,,,
0252390,34,0,9999
0252720,153,0,9999
0252845,23,2015,9999
0252845,211,0,2015
0252915,216,0,9999
0252940,156,0,9999
0253050,215,0,9999
0253710,65,0,9999
0253270,123,0,9999
0253820,196,0,9999
0253930,88,2008,9999
0253930,201,0,2008
0254050,215,0,9999
0254085,215,0,9999
0254150,158,0,9999
0254260,193,0,9999
0254480,215,0,9999
0254700,66,0,9999
0254920,159,0,9999
0255030,123,0,9999
0255140,67,0,9999
0255745,215,0,9999
0255910,215,0,9999
0256220,12,0,9999
0256320,163,0,9999
0256350,68,0,9999
0256600,167,0,9999
0256680,55,2006,9999
0256680,204,0,2006
0257340,69,0,9999
0258330,34,0,9999
0258550,170,0,9999
0258660,215,0,9999
0259320,226,0,9999
0259540,171,0,9999
0259650,172,0,9999
0260200,155,0,9999
0260310,217,2009,9999
0260310,228,1981,2009
0260460,,,
0260640,173,0,9999
0260750,70,0,9999
0260860,75,1985,9999
0260860,203,0,1985
0261080,174,0,9999
0261120,215,0,9999
0261190,,,
0261630,164,0,9999
0261700,165,0,9999
0261788,215,0,9999
0261825,,,
0262125,,,
0262510,,,
0262620,183,0,9999
0263170,,,
0263280,,,
0263390,175,0,9999
0263610,223,0,9999
0263870,,,
0262285,,,
0264240,215,0,9999
0264380,224,0,9999
0264600,71,0,9999
0264820,177,0,9999
0264930,146,0,9999
0264980,,,
0265345,215,0,9999
0265590,178,0,9999
0265700,72,0,9999
0265800,179,0,9999
0266140,75,0,9999
0266360,84,2015,9999
0266360,202,0,2015
0266470,180,0,9999
0266510,215,0,9999
0266550,215,0,9999
0267020,187,0,9999
0267460,76,0,9999
0267570,217,0,9999
0267680,77,0,9999
0268230,78,0,9999
0268340,215,0,9999
0268370,215,0,9999
0268560,215,0,9999
0268670,79,0,9999
0268890,80,0,9999
0269770,81,0,9999
0270100,149,0,9999
0270320,216,0,9999
0270540,219,0,9999
0270760,32,0,9999
0270870,,,
0270930,26,0,9999
0271090,147,0,9999
0271640,215,0,9999
0272135,215,0,9999
0272190,150,0,9999
0272230,215,0,9999
0272960,84,0,9999
0272985,215,0,9999
0273070,215,0,9999
0273290,181,0,9999
0273400,148,0,9999
0273950,215,0,9999
0274340,,,
0274350,215,0,9999
0274525,215,0,9999
0274610,182,0,9999
0274830,215,0,9999
0275050,15,0,9999
0275077,215,0,9999
0275160,184,0,9999
0275380,185,0,9999
0275480,216,0,9999
0275930,85,0,9999
0276260,189,0,9999
0276590,15,2008,9999
0276590,212,0,2008
0277140,23,0,9999
0277690,86,0,9999
0277800,15,0,9999
0278240,88,0,9999
0278297,216,0,9999
0278350,,,
0278680,215,0,9999
0278790,190,0,9999
0279120,191,0,9999
0279230,88,2006,9999
0279230,200,0,2006
0279780,86,2020,9999
