community_fips_code,reporting_entity_id
0200065,11
0200650,12
0200760,13
0200870,14
0201090,15
0201200,16
0201305,17
0201390,129
0201420,53
0201860,17
0201970,18
0202080,19
0203000,3
0203000,2
0203110,5
0203220,4
0203440,20
0203550,21
0203880,22
0203990,23
0204210,24
0204430,25
0204500,26
0205000,4
0205585,199
0205750,27
0206245,3
0206520,28
0206630,29
0206850,4
0207070,8
0207620,30
0208740,31
0209600,32
0209657,8
0209710,8
0210150,4
0211690,33
0211800,34
0212350,8
0212680,35
0212920,4
0212970,36
0213230,37
0213340,8
0213550,38
0213670,39
0213780,40
0213860,7
0214000,42
0214110,43
0214330,44
0214880,45
0215320,5
0215430,46
0216360,47
0216420,5
0216530,48
0216750,4
0217190,3
0217300,192
0217410,49
0217670,71
0217740,50
0217850,51
0217960,199
0218510,52
0218620,4
0218675,4
0218805,4
0218925,5
0218950,53
0219060,54
0219720,55
0219750,55
0220020,55
0220380,56
0220600,56
0221040,57
0221150,58
0221370,4
0221810,59
0222140,60
0222250,61
0222910,62
0223460,4
0223720,192
0223790,29
0224230,4
0224660,63
0224980,4
0225000,8
0225220,4
0225550,8
0226100,4
0226760,64
0226835,4
0226870,4
0226910,5
0227090,5
0227145,5
0227420,192
0227530,65
0227640,66
0228200,8
0228590,8
0228740,192
0229130,4
0229180,67
0229290,68
0230060,69
0230500,192
0230940,70
0231050,71
0231270,5
0231710,5
0232150,4
0232310,72
0232810,73
0233030,74
0233140,5
0233360,75
0233470,76
0233580,3
0233800,8
0233910,77
0234350,78
0234460,79
0234790,80
0235120,81
0236400,1
0236540,5
0236770,82
0236990,83
0237250,5
0237430,85
0237540,86
0237650,176
0237975,87
0238090,5
0238420,5
0238910,192
0238970,6
0239300,88
0239410,89
0239630,116
0239740,90
0239960,91
0240400,92
0240510,93
0240645,8
0240670,8
0240840,94
0240950,7
0241210,7
0241280,95
0241500,96
0241610,97
0241720,98
0241830,99
0241940,100
0242050,101
0242380,102
0242490,103
0243040,104
0243260,8
0243810,105
0244030,106
0244580,4
0245295,199
0245460,107
0245700,71
0246010,111
0246780,108
0246890,109
0247000,110
0247735,8
0247990,112
0248200,192
0248540,113
0248870,195
0249200,7
0249530,114
0250080,4
0250190,3
0250800,41
0251180,115
0251455,71
0252060,116
0252210,5
0252390,117
0252720,118
0252845,119
0252915,192
0252940,120
0253050,4
0253270,81
0253710,121
0253820,122
0253930,123
0254050,5
0254085,5
0254150,124
0254260,125
0254480,5
0254700,126
0254920,127
0255030,81
0255140,128
0255745,8
0255910,4
0256220,129
0256320,130
0256350,131
0256600,132
0256680,133
0257340,134
0258330,28
0258550,135
0258660,8
0259540,136
0259650,137
0260200,138
0260310,198
0260460,8
0260640,139
0260750,140
0260860,141
0261120,4
0261630,143
0261700,144
0261788,8
0262620,145
0263280,5
0263390,146
0263610,7
0264240,199
0264600,147
0264820,148
0264930,149
0265345,5
0265590,150
0265700,151
0265800,152
0266140,153
0266360,154
0266470,155
0266510,5
0266550,4
0267020,156
0267460,157
0267570,6
0267680,158
0268230,159
0268340,5
0268370,5
0268560,199
0268670,160
0268890,161
0269770,162
0270100,163
0270320,192
0270540,193
0270760,164
0270930,165
0271090,166
0271640,5
0272135,8
0272190,116
0272230,4
0272960,167
0272985,4
0273070,5
0273400,169
0273950,3
0274350,8
0274525,8
0274610,170
0274830,8
0275050,178
0275077,8
0275160,171
0275380,172
0275480,192
0275930,173
0276260,174
0276590,175
0277140,176
0277690,177
0277800,178
0278240,179
0278297,192
0278350,192
0278680,8
0278790,180
0279120,181
0279230,182
0279780,182
0279780,183
0279830,4
0279890,3
0280660,184
0280770,185
0281320,84
0281920,194
0282200,192
0282420,186
0282750,187
0282860,188
0283080,8
0284000,189
0284070,190
0284120,4
0284200,75
0284510,3
0285280,8
0285290,192
0285680,7
0286380,200
0286490,191
