community_fips_code,service_area_geom_id
0236400,1_3
0234460,2_1
0217740,2_2
0232810,2_2
0237650,2_2
0240400,2_2
0277140,2_2
0252845,2_3
0216360,2_4
0284000,2_5
0230940,2_6
0231050,2_7
0245700,2_7
0251455,2_7
0270760,2_8
0214000,2_9
0270930,2_10
0248540,2_11
0201390,2_12
0256220,2_12
0219720,2_13
0219750,2_13
0220020,2_13
0275050,2_13
0276590,2_13
0277800,2_13
0232310,2_14
0220380,2_15
0201860,2_16
0206630,2_17
0223790,2_17
0203550,5_1
0206245,8_2
0279890,8_2
0203000,8_3
0217190,8_3
0233580,8_3
0250190,8_3
0273950,8_3
0284510,8_3
0217300,10_1
0223720,10_1
0227420,10_1
0228740,10_1
0230500,10_1
0238910,10_1
0248200,10_1
0252915,10_1
0270320,10_1
0275480,10_1
0278297,10_1
0278350,10_1
0282200,10_1
0285290,10_1
0203220,13_1
0205000,13_1
0206850,13_1
0210150,13_1
0212920,13_1
0216750,13_1
0218620,13_1
0218675,13_1
0218805,13_1
0221370,13_1
0223460,13_1
0224230,13_1
0224980,13_1
0225220,13_1
0226100,13_1
0226835,13_1
0226870,13_1
0229130,13_1
0232150,13_1
0244580,13_1
0250080,13_1
0253050,13_1
0255910,13_1
0261120,13_1
0266550,13_1
0272230,13_1
0272985,13_1
0279830,13_1
0284120,13_1
0213860,16_1
0240950,16_1
0241210,16_1
0249200,16_1
0285680,16_1
0263610,16_2
0241830,17_1
0207070,18_1
0209657,18_1
0209710,18_1
0212350,18_1
0213340,18_1
0225000,18_1
0225550,18_1
0228200,18_1
0228590,18_1
0233800,18_1
0240670,18_1
0240645,18_1
0243260,18_1
0247735,18_1
0255745,18_1
0258660,18_1
0260460,18_1
0261788,18_1
0272135,18_1
0274350,18_1
0274525,18_1
0274830,18_1
0275077,18_1
0278680,18_1
0283080,18_1
0285280,18_1
0239630,22_1
0252060,22_1
0272190,22_1
0259650,24_1
0203110,32_1
0215320,32_1
0216420,32_1
0218925,32_1
0226910,32_1
0227090,32_1
0227145,32_1
0231270,32_1
0231710,32_1
0233140,32_1
0236540,32_1
0237250,32_1
0238090,32_1
0238420,32_1
0252210,32_1
0254050,32_1
0254085,32_1
0254480,32_1
0263280,32_1
0265345,32_1
0266510,32_1
0268340,32_1
0268370,32_1
0271640,32_1
0273070,32_1
0246010,44_1
0201420,45_1
0218950,45_1
0226760,63_1
0246780,72_1
0216530,88_1
0275160,92_1
0270540,100_1
0238970,103_1
0267570,103_1
0205585,108_2
0217960,108_2
0245295,108_2
0264240,108_2
0268560,108_2
0286380,111_1
0254920,150_1
0217410,160_1
0257340,169_1
0277690,169_2
0229290,169_3
0253710,169_4
0264600,169_5
0221040,169_6
0247990,169_7
0253930,169_8
0278240,169_9
0279230,169_9
0237975,169_10
0256680,169_10
0233470,169_11
0213230,169_12
0245460,169_13
0281320,169_13
0265700,169_14
0267680,169_15
0247000,169_16
0260750,169_17
0251180,169_18
0260860,169_18
0266140,169_18
0233030,169_19
0203880,169_20
0201200,169_21
0268670,169_22
0222910,169_23
0230060,169_24
0266360,169_25
0272960,169_25
0267460,169_26
0227640,169_27
0237430,169_28
0268890,169_29
0222250,169_30
0256350,169_31
0241940,169_32
0249530,169_33
0208740,169_34
0282860,169_35
0234350,169_36
0269770,169_37
0268230,169_38
0255140,169_39
0270100,169_40
0239300,169_41
0201970,169_42
0254700,169_43
0239960,169_44
0275930,169_45
0241720,169_46
0221810,169_47
0240840,169_48
0206520,169_49
0279780,169_50
0260310,212_2
0281920,214_1
0267020,230_1
0236770,240_1
0203440,240_2
0233360,240_3
0284200,240_3
0217670,240_4
0240510,240_4
0250800,240_4
0202080,254_1
0261700,254_3
0256320,254_5
0204500,254_6
0282750,254_7
0214880,256_1
0227530,274_1
0235120,280_1
0253270,280_1
0255030,280_1
0242380,281_1
0204210,291_1
0201090,293_1
0213550,297_1
0252390,319_1
0221150,320_1
0246890,321_1
0243810,330_1
0233910,332_1
0204430,337_1
0266470,339_1
0252940,340_2
0211690,341_1
0214330,343_1
0273400,343_2
0264930,343_3
0271090,343_3
0217850,343_4
0279120,344_1
0243040,353_1
0258550,357_1
0215430,360_1
0276260,363_1
0265590,364_1
0212680,365_1
0214110,368_1
0218510,369_1
0229180,373_1
0253820,375_1
0242490,376_1
0219060,383_1
0274610,394_1
0241610,395_1
0263390,399_1
0256600,408_1
0284070,409_1
0265800,410_1
0200760,412_1
0254150,416_1
0205750,420_1
0260640,425_1
0209600,432_1
0213780,437_1
0224660,442_1
0239740,446_1
0262620,447_1
0200650,449_1
0244030,570_1
0275380,586_1
0252720,625_1
0200870,635_1
0213670,658_1
0260200,659_1
0241280,660_1
0241500,661_1
0259540,662_1
0282420,663_1
0278790,664_1
0234790,681_1
0211800,682_1
0237540,683_1
0200065,684_1
0212970,686_1
0242050,687_1
0222140,701_1
0226100,720_1
0280660,741_1
0203990,747_1
0264820,759_1
0207620,767_1
