community_fips_code,residents_employed,unemployment_insurance_claimants,measurement_year
0200065,38,9,2009
0200065,40,15,2010
0200065,29,5,2007
0200065,40,8,2008
0200065,38,4,2004
0200065,47,15,2011
0200065,42,10,2012
0200065,35,10,2013
0200065,29,4,2014
0200065,38,6,2016
0200065,38,6,2015
0200065,58,14,2002
0200065,69,19,2001
0200065,44,10,2005
0200065,36,6,2006
0200065,48,7,2003
0200650,28,3,2005
0200650,36,6,2016
0200650,36,6,2015
0200650,30,6,2014
0200650,29,15,2013
0200650,32,9,2012
0200650,28,12,2011
0200650,31,13,2010
0200650,29,14,2009
0200650,32,8,2008
0200650,26,10,2007
0200650,28,5,2006
0200650,32,6,2004
0200650,29,2,2003
0200650,35,8,2001
0200650,29,4,2002
0200760,292,90,2005
0200760,301,92,2006
0200760,295,100,2007
0200760,307,120,2008
0200760,295,128,2009
0200760,308,124,2010
0200760,310,120,2011
0200760,283,75,2015
0200760,288,113,2012
0200760,267,77,2001
0200760,283,75,2016
0200760,284,86,2003
0200760,295,90,2002
0200760,257,114,2013
0200760,269,82,2014
0200760,296,99,2004
0200870,183,58,2015
0200870,183,58,2016
0200870,190,52,2014
0200870,178,73,2013
0200870,201,82,2012
0200870,198,73,2011
0200870,199,85,2010
0200870,194,74,2009
0200870,181,70,2008
0200870,177,52,2007
0200870,186,45,2006
0200870,188,45,2005
0200870,179,52,2004
0200870,174,39,2003
0200870,177,40,2002
0200870,161,19,2001
0201090,122,42,2013
0201090,128,44,2014
0201090,167,63,2015
0201090,167,63,2016
0201090,103,27,2001
0201090,93,22,2002
0201090,111,23,2003
0201090,99,29,2004
0201090,92,20,2005
0201090,77,15,2006
0201090,70,17,2007
0201090,78,14,2008
0201090,127,43,2009
0201090,132,40,2010
0201090,127,42,2011
0201090,126,45,2012
0201200,288,113,2012
0201200,289,94,2016
0201200,241,58,2001
0201200,255,86,2002
0201200,248,77,2003
0201200,238,77,2004
0201200,252,80,2005
0201200,240,80,2006
0201200,251,90,2007
0201200,242,84,2008
0201200,272,98,2009
0201200,278,93,2010
0201200,274,114,2011
0201200,294,107,2013
0201200,322,84,2014
0201200,289,94,2015
0201305,11,5,2016
0201305,11,5,2015
0201305,5,3,2014
0201305,8,4,2013
0201305,10,5,2012
0201305,17,5,2011
0201305,16,7,2010
0201305,12,5,2009
0201305,16,10,2008
0201305,16,6,2007
0201305,19,9,2006
0201305,17,7,2005
0201305,15,7,2004
0201305,12,4,2003
0201305,11,6,2002
0201305,10,5,2001
0201390,7,2,2004
0201390,5,0,2016
0201390,5,0,2015
0201420,96,17,2005
0201420,98,11,2006
0201420,89,16,2007
0201420,101,23,2008
0201420,95,21,2009
0201420,92,29,2010
0201420,99,24,2011
0201420,90,20,2012
0201420,90,10,2016
0201420,79,11,2014
0201420,90,10,2015
0201420,90,14,2002
0201420,90,17,2013
0201420,100,17,2003
0201420,89,18,2001
0201420,97,19,2004
0201560,7,1,2010
0201560,5,1,2007
0201560,5,1,2008
0201560,7,1,2009
0201560,7,2,2011
0201560,7,3,2012
0201860,105,34,2004
0201860,85,21,2005
0201860,88,28,2006
0201860,83,29,2007
0201860,92,25,2008
0201860,101,35,2009
0201860,108,37,2010
0201860,95,44,2011
0201860,91,25,2002
0201860,98,24,2001
0201860,96,13,2016
0201860,111,31,2012
0201860,113,36,2013
0201860,105,27,2014
0201860,96,13,2015
0201860,96,31,2003
0201970,129,19,2007
0201970,123,30,2010
