community_fips_code,year,month,monthly_hdd_sum
0200065,2017,1,777
0200065,2017,2,663
0200065,2017,3,652
0200065,2017,4,978
0200065,2017,5,860
0200065,2017,6,746
0200065,2017,7,650
0200065,2017,8,483
0200065,2017,9,544
0200065,2017,10,627
0200065,2017,11,408
0200065,2017,12,864
0200065,2018,1,626
0200065,2018,2,540
0200065,2018,3,678
0200065,2018,4,777
0200065,2018,5,843
0200065,2018,6,759
0200065,2018,7,627
0200065,2018,8,464
0200065,2018,9,518
0200065,2018,10,619
0200065,2018,11,605
0200065,2018,12,723
0200065,2019,1,671
0200065,2019,2,641
0200065,2019,3,965
0200065,2019,4,809
0200065,2019,5,901
0200065,2019,6,780
0200065,2019,7,595
0200065,2019,8,403
0200065,2019,9,406
0200065,2019,10,528
0200065,2019,11,624
0200065,2019,12,656
0200065,2020,1,556
0200065,2020,2,614
0200065,2020,3,619
0200065,2020,4,760
0200065,2020,5,883
0200065,2020,6,634
0200065,2020,7,555
0200065,2020,8,479
0200065,2020,9,549
0200065,2020,10,637
0200065,2020,11,627
0200065,2020,12,686
0200065,2021,1,804
0200065,2021,2,388
0200065,2021,3,604
0200065,2021,4,726
0200065,2021,5,862
0200065,2021,6,726
0200065,2021,7,584
0200065,2021,8,456
0200065,2021,9,475
0200065,2021,10,583
0200065,2021,11,441
0200065,2021,12,521
0200065,2022,1,892
0200065,2022,2,780
0200065,2022,3,875
0200065,2022,4,819
0200065,2022,5,758
0200065,2022,6,604
0200065,2022,7,511
0200065,2022,8,422
0200065,2022,9,474
0200065,2022,10,620
0200065,2022,11,680
0200065,2022,12,813
0200065,2023,1,978
0200065,2023,2,898
0200065,2023,3,903
0200065,2023,4,806
0200065,2023,5,800
0200065,2023,6,613
0200065,2023,7,386
0200065,2023,8,423
0200065,2023,9,431
0200065,2023,10,644
0200065,2023,11,746
0200065,2023,12,983
0200065,2024,1,946
0200065,2024,2,959
0200065,2024,3,936
0200065,2024,4,827
0200065,2024,5,792
0200065,2024,6,686
0200065,2024,7,452
0200065,2024,8,425
0200065,2024,9,495
0200065,2024,10,656
0200065,2024,11,782
0200065,2024,12,926
0200650,2017,1,1077
0200650,2017,2,988
0200650,2017,3,1141
0200650,2017,4,791
0200650,2017,5,660
0200650,2017,6,492
0200650,2017,7,333
0200650,2017,8,391
0200650,2017,9,486
0200650,2017,10,682
0200650,2017,11,822
0200650,2017,12,885
0200650,2018,1,1071
0200650,2018,2,793
0200650,2018,3,893
0200650,2018,4,759
0200650,2018,5,702
0200650,2018,6,487
0200650,2018,7,350
0200650,2018,8,304
0200650,2018,9,335
0200650,2018,10,613
0200650,2018,11,745
0200650,2018,12,1010
0200650,2019,1,933
0200650,2019,2,796
0200650,2019,3,836
0200650,2019,4,786
0200650,2019,5,642
0200650,2019,6,392
0200650,2019,7,235
0200650,2019,8,164
0200650,2019,9,380
0200650,2019,10,651
0200650,2019,11,688
0200650,2019,12,1002
0200650,2020,1,1373
0200650,2020,2,1028
0200650,2020,3,1041
0200650,2020,4,766
0200650,2020,5,618
0200650,2020,6,491
0200650,2020,7,245
0200650,2020,8,272
0200650,2020,9,504
0200650,2020,10,748
0200650,2020,11,925
0200650,2020,12,1046
0200650,2021,1,1045
0200650,2021,2,928
