reporting_entity_id,operator_id,pce_id,year,month,residential_rate,residential_rate_subsidized,commercial_rate,industrial_rate,transportation_rate,community_rate,other_rate,total_rate,source
1,133,,2001,1,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2001,2,0.10,,0.09,0.07,,,0.07,0.09,EIA861M
1,133,,2001,3,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2001,4,0.10,,0.09,0.08,,,0.08,0.09,EIA861M
1,133,,2001,5,0.10,,0.09,0.08,,,0.08,0.09,EIA861M
1,133,,2001,6,0.09,,0.07,0.06,,,0.07,0.07,EIA861M
1,133,,2001,7,0.09,,0.07,0.06,,,0.06,0.07,EIA861M
1,133,,2001,8,0.09,,0.07,0.06,,,0.06,0.07,EIA861M
1,133,,2001,9,0.08,,0.07,0.06,,,0.06,0.07,EIA861M
1,133,,2001,10,0.08,,0.07,0.06,,,0.06,0.07,EIA861M
1,133,,2001,11,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2001,12,0.10,,0.09,0.07,,,0.07,0.09,EIA861M
1,133,,2002,1,0.10,,0.09,0.07,,,0.07,0.09,EIA861M
1,133,,2002,2,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2002,3,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2002,4,0.11,,0.09,0.08,,,0.08,0.09,EIA861M
1,133,,2002,5,0.12,,0.11,0.09,,,0.09,0.10,EIA861M
1,133,,2002,6,0.09,,0.07,0.06,,,0.07,0.08,EIA861M
1,133,,2002,7,0.09,,0.07,0.06,,,0.06,0.07,EIA861M
1,133,,2002,8,0.08,,0.06,0.06,,,0.06,0.07,EIA861M
1,133,,2002,9,0.10,,0.07,0.07,,,0.07,0.08,EIA861M
1,133,,2002,10,0.09,,0.07,0.06,,,0.07,0.07,EIA861M
1,133,,2002,11,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2002,12,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2003,1,0.10,,0.09,0.07,,,0.07,0.09,EIA861M
1,133,,2003,2,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2003,3,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2003,4,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2003,5,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2003,6,0.09,,0.07,0.07,,,0.07,0.08,EIA861M
1,133,,2003,7,0.09,,0.07,0.07,,,0.07,0.08,EIA861M
1,133,,2003,8,0.09,,0.07,0.06,,,0.07,0.07,EIA861M
1,133,,2003,9,0.09,,0.07,0.06,,,0.06,0.07,EIA861M
1,133,,2003,10,0.09,,0.07,0.06,,,0.06,0.07,EIA861M
1,133,,2003,11,0.10,,0.09,0.08,,,0.07,0.09,EIA861M
1,133,,2003,12,0.10,,0.09,0.08,,,0.08,0.09,EIA861M
1,133,,2004,1,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2004,2,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2004,3,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2004,4,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2004,5,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2004,6,0.09,,0.07,0.07,,,,0.08,EIA861M
1,133,,2004,7,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2004,8,0.09,,0.07,0.07,,,,0.08,EIA861M
1,133,,2004,9,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2004,10,0.08,,0.07,0.06,,,,0.07,EIA861M
1,133,,2004,11,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2004,12,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2005,1,0.10,,0.08,0.07,,,,0.09,EIA861M
1,133,,2005,2,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2005,3,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2005,4,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2005,5,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2005,6,0.09,,0.07,0.07,,,,0.08,EIA861M
1,133,,2005,7,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2005,8,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2005,9,0.08,,0.06,0.06,,,,0.07,EIA861M
1,133,,2005,10,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2005,11,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2005,12,0.11,,0.09,0.08,,,,0.10,EIA861M
1,133,,2006,1,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2006,2,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2006,3,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2006,4,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2006,5,0.11,,0.08,0.08,,,,0.09,EIA861M
1,133,,2006,6,0.09,,0.07,0.06,,,,0.08,EIA861M
1,133,,2006,7,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2006,8,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2006,9,0.09,,0.05,0.07,,,,0.07,EIA861M
1,133,,2006,10,0.09,,0.05,0.06,,,,0.07,EIA861M
1,133,,2006,11,0.10,,0.08,0.08,,,,0.09,EIA861M
1,133,,2006,12,0.09,,0.07,0.08,,,,0.08,EIA861M
1,133,,2007,1,0.10,,0.08,0.07,,,,0.09,EIA861M
1,133,,2007,2,0.10,,0.08,0.07,,,,0.09,EIA861M
1,133,,2007,3,0.10,,0.08,0.07,,,,0.09,EIA861M
1,133,,2007,4,0.10,,0.08,0.07,,,,0.09,EIA861M
1,133,,2007,5,0.11,,0.09,0.09,,,,0.10,EIA861M
1,133,,2007,6,0.09,,0.08,0.07,,,,0.08,EIA861M
1,133,,2007,7,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2007,8,0.08,,0.05,0.06,,,,0.06,EIA861M
1,133,,2007,9,0.09,,0.07,0.06,,,,0.07,EIA861M
1,133,,2007,10,0.08,,0.07,0.06,,,,0.07,EIA861M
1,133,,2007,11,0.10,,0.09,0.08,,,,0.09,EIA861M
1,133,,2007,12,0.10,,0.09,0.11,,,,0.10,EIA861M
1,133,,2008,1,0.14,,0.12,0.11,,,,0.13,EIA861M
1,133,,2008,2,0.15,,0.13,0.12,,,,0.14,EIA861M
1,133,,2008,3,0.16,,0.14,0.14,,,,0.15,EIA861M
1,133,,2008,4,0.31,,0.29,0.29,,,,0.30,EIA861M
1,133,,2008,5,0.35,,0.33,0.33,,,,0.34,EIA861M
1,133,,2008,6,0.10,,0.08,0.07,,,,0.08,EIA861M
1,133,,2008,7,0.10,,0.08,0.07,,,,0.09,EIA861M
1,133,,2008,8,0.09,,0.07,0.06,,,,0.08,EIA861M
1,133,,2008,9,0.09,,0.07,0.06,,,,0.08,EIA861M
1,133,,2008,10,0.08,,0.06,0.05,,,,0.07,EIA861M
1,133,,2008,11,0.10,,0.09,0.07,,,,0.09,EIA861M
1,133,,2008,12,0.11,,0.09,0.08,,,,0.10,EIA861M
1,133,,2009,1,0.22,,0.20,0.20,,,,0.21,EIA861M
1,133,,2009,2,0.11,,0.09,0.08,,,,0.09,EIA861M
1,133,,2009,3,0.11,,0.09,0.08,,,,0.10,EIA861M
1,133,,2009,4,0.11,,0.09,0.07,,,,0.09,EIA861M
1,133,,2009,5,0.09,,0.08,0.06,,,,0.08,EIA861M
1,133,,2009,6,0.08,,0.06,0.05,,,,0.06,EIA861M
