aea_plant_id,eia_plant_id,net_generation_mwh,fuel_type_code,fuel_type_name,year,month
2,,20.3,DFO,Distillate Fuel Oil,2021,1
2,,20.2,DFO,Distillate Fuel Oil,2021,2
2,,20.8,DFO,Distillate Fuel Oil,2021,3
2,,21.9,DFO,Distillate Fuel Oil,2021,4
2,,14.1,DFO,Distillate Fuel Oil,2021,5
2,,25.6,DFO,Distillate Fuel Oil,2021,6
2,,20.9,DFO,Distillate Fuel Oil,2021,7
2,,23.5,DFO,Distillate Fuel Oil,2021,8
2,,22.5,DFO,Distillate Fuel Oil,2021,9
2,,24.0,DFO,Distillate Fuel Oil,2021,10
2,,30.0,DFO,Distillate Fuel Oil,2021,11
2,,43.0,DFO,Distillate Fuel Oil,2021,12
3,,223.2,DFO,Distillate Fuel Oil,2021,1
3,,147.7,DFO,Distillate Fuel Oil,2021,2
3,,177.7,DFO,Distillate Fuel Oil,2021,3
3,,173.5,DFO,Distillate Fuel Oil,2021,4
3,,149.5,DFO,Distillate Fuel Oil,2021,5
3,,136.4,DFO,Distillate Fuel Oil,2021,6
3,,131.8,DFO,Distillate Fuel Oil,2021,7
3,,149.8,DFO,Distillate Fuel Oil,2021,8
3,,148.2,DFO,Distillate Fuel Oil,2021,9
3,,175.0,DFO,Distillate Fuel Oil,2021,10
3,,198.5,DFO,Distillate Fuel Oil,2021,11
3,,192.4,DFO,Distillate Fuel Oil,2021,12
4,,113.6,DFO,Distillate Fuel Oil,2021,1
4,,111.1,DFO,Distillate Fuel Oil,2021,2
5,,54.9,DFO,Distillate Fuel Oil,2021,1
5,,2.3,WAT,Water at Hydroelectric Turbine,2021,1
5,,38.2,DFO,Distillate Fuel Oil,2021,2
5,,18.6,WAT,Water at Hydroelectric Turbine,2021,2
5,,60.5,DFO,Distillate Fuel Oil,2021,3
5,,21.0,WAT,Water at Hydroelectric Turbine,2021,3
5,,39.8,DFO,Distillate Fuel Oil,2021,4
5,,3.9,WAT,Water at Hydroelectric Turbine,2021,4
5,,29.9,DFO,Distillate Fuel Oil,2021,5
5,,22.9,WAT,Water at Hydroelectric Turbine,2021,5
5,,33.3,DFO,Distillate Fuel Oil,2021,6
5,,17.1,WAT,Water at Hydroelectric Turbine,2021,6
5,,44.6,DFO,Distillate Fuel Oil,2021,7
5,,10.5,WAT,Water at Hydroelectric Turbine,2021,7
5,,37.9,DFO,Distillate Fuel Oil,2021,8
5,,16.3,WAT,Water at Hydroelectric Turbine,2021,8
5,,43.1,DFO,Distillate Fuel Oil,2021,9
5,,14.7,WAT,Water at Hydroelectric Turbine,2021,9
5,,44.2,DFO,Distillate Fuel Oil,2021,10
5,,18.2,WAT,Water at Hydroelectric Turbine,2021,10
5,,39.3,DFO,Distillate Fuel Oil,2021,11
5,,7.2,WAT,Water at Hydroelectric Turbine,2021,11
5,,49.5,DFO,Distillate Fuel Oil,2021,12
5,,15.5,WAT,Water at Hydroelectric Turbine,2021,12
6,62,2635.5,WAT,Water at Hydroelectric Turbine,2021,1
6,62,2192.9,WAT,Water at Hydroelectric Turbine,2021,2
6,62,2103.1,WAT,Water at Hydroelectric Turbine,2021,3
6,62,1855.1,WAT,Water at Hydroelectric Turbine,2021,4
6,62,2298.3,WAT,Water at Hydroelectric Turbine,2021,5
6,62,2474.6,WAT,Water at Hydroelectric Turbine,2021,6
6,62,2203.3,WAT,Water at Hydroelectric Turbine,2021,7
6,62,2079.0,WAT,Water at Hydroelectric Turbine,2021,8
6,62,1705.2,WAT,Water at Hydroelectric Turbine,2021,9
6,62,1749.9,WAT,Water at Hydroelectric Turbine,2021,10
6,62,2050.9,WAT,Water at Hydroelectric Turbine,2021,11
6,62,2635.3,WAT,Water at Hydroelectric Turbine,2021,12
7,7250,-27.1,DFO,Distillate Fuel Oil,2021,1
7,7250,-30.0,DFO,Distillate Fuel Oil,2021,2
7,7250,-32.4,DFO,Distillate Fuel Oil,2021,3
7,7250,-31.2,DFO,Distillate Fuel Oil,2021,4
7,7250,-16.2,DFO,Distillate Fuel Oil,2021,5
7,7250,-21.7,DFO,Distillate Fuel Oil,2021,6
7,7250,-21.2,DFO,Distillate Fuel Oil,2021,7
7,7250,-30.6,DFO,Distillate Fuel Oil,2021,8
7,7250,-39.6,DFO,Distillate Fuel Oil,2021,9
7,7250,-39.3,DFO,Distillate Fuel Oil,2021,10
7,7250,-30.7,DFO,Distillate Fuel Oil,2021,11
7,7250,-34.1,DFO,Distillate Fuel Oil,2021,12
8,63,549.7,WAT,Water at Hydroelectric Turbine,2021,1
8,63,457.4,WAT,Water at Hydroelectric Turbine,2021,2
8,63,438.6,WAT,Water at Hydroelectric Turbine,2021,3
8,63,386.9,WAT,Water at Hydroelectric Turbine,2021,4
8,63,479.3,WAT,Water at Hydroelectric Turbine,2021,5
8,63,516.1,WAT,Water at Hydroelectric Turbine,2021,6
