aea_reporting_id,grid_id,utility_name,year
1,222,Alaska Electric Light & Power Co.,2021
3,215,Chugach Electric Assn Inc,2021
4,215,Golden Valley Elec Assn Inc,2021
5,215,Homer Electric Assn Inc,2021
6,217,Ketchikan Public Utilities,2021
7,223,Kodiak Electric Assn Inc,2021
8,215,Matanuska Electric Assn Inc,2021
10,224,TDX North Slope Generating Co,2021
11,186,TDX Adak Generating LLC,2021
12,1,"Akhiok, City of",2021
13,2,Akiachak Native Community,2021
14,3,Akiak City Council,2021
15,4,"Akutan, City of",2021
16,45,Alaska Village Electric Cooperative,2021
17,5,Alaska Power & Telephone Company,2021
18,35,Alaska Village Electric Cooperative,2021
19,160,North Slope Borough Power & Light,2021
20,125,Inside Passage Electric,2021
20,125,"Inside Passage Elec Coop, Inc",2021
21,93,Aniak Light & Power,2021
22,36,Alaska Village Electric Cooperative,2021
23,94,Arctic Village Electric Company,2021
24,95,"Atka, City of",2021
25,96,Atmautluak Tribal Utilities,2021
26,161,North Slope Borough Power & Light,2021
27,97,Beaver Joint Utilities,2021
28,34,Alaska Village Electric Cooperative,2021
29,7,Alaska Power & Telephone Company,2021
30,98,Birch Creek Electric Company,2021
31,39,Alaska Village Electric Cooperative,2021
32,99,"Buckland, City of",2021
33,116,Gold Country Energy,2021
34,100,Chalkyitsik Village Council,2021
35,154,Naterkaq Light Plant (City of Chefornak),2021
36,101,Chenega Ira Council,2021
37,40,Alaska Village Electric Cooperative,2021
38,104,"Chignik, City of",2021
39,102,Chignik Lagoon Power Utility,2021
40,103,Chignik Lake Electric Utility,2021
41,32,Inside Passage Electric,2021
42,26,Alaska Power & Telephone Company,2021
43,105,Chitina Electric Inc,2021
44,144,Middle Kuskokwim Electric,2021
45,106,Circle Electric Utility,2021
46,107,"Clark's Point, City of",2021
47,23,Alaska Power & Telephone Company,2021
48,114,G & K Inc,2021
49,14,Cordova Electric Cooperative,2021
50,23,Alaska Power & Telephone Company,2021
51,145,Middle Kuskokwim Electric,2021
52,130,Ipnatchiaq Electric Company,2021
53,169,Nushagak Electric Cooperative,2021
54,110,Diomede Joint Utilities,2021
55,15,Alaska Power & Telephone Company,2021
56,9,Alaska Power & Telephone Company,2021
