community_fips_code,tax_year,total_tax_rev_usd,total_sales_tax_rev_usd,property_tax_rev_usd,total_rev_for_special_taxes_usd,did_community_report,is_most_recent,as_of_date
0203000,2024,716157452,0,605030033,14398632,t,t,2025-01-01
0236400,2024,132499751,61303680,63539727,0,t,t,2025-01-01
0224230,2024,29311335,0,18859326,516510,t,t,2025-01-01
0270540,2024,27818095,18527872,7243024,160840,t,t,2025-01-01
0283080,2024,25003859,25003859,0,0,t,t,2025-01-01
0280770,2024,24369734,9985207,8805325,79672,t,t,2025-01-01
0238970,2024,21934845,20314410,599240,0,t,t,2025-01-01
0240950,2024,17598188,16005583,1259282,0,t,t,2025-01-01
0233140,2024,16578268,12038995,4539273,0,t,t,2025-01-01
0238420,2024,13263418,8981051,4282367,0,t,t,2025-01-01
0270760,2024,13021924,10491840,2340546,189538,t,t,2025-01-01
0258660,2024,12759890,10905091,1854799,0,t,t,2025-01-01
0254920,2024,11921584,7139970,4516221,0,t,t,2025-01-01
0206520,2024,11807323,9511568,0,38900,t,t,2025-01-01
0271640,2024,10104534,10104534,0,0,t,t,2025-01-01
0268560,2024,8697211,7856783,0,0,t,t,2025-01-01
0282200,2024,8112252,0,7511678,0,t,t,2025-01-01
0218950,2024,7471882,3853408,2839407,26876,t,t,2025-01-01
0217410,2024,7463835,4224967,3002261,13773,t,t,2025-01-01
0286380,2024,5167194,3012643,2097084,0,t,t,2025-01-01
0233360,2024,3762746,3567141,0,0,t,t,2025-01-01
0217740,2024,3225587,2179594,713157,187203,t,t,2025-01-01
0286490,2024,2464709,1718454,502824,0,t,t,2025-01-01
0284510,2024,1752115,657407,721426,373282,t,t,2025-01-01
0241830,2024,1733744,1340277,0,121766,t,t,2025-01-01
0221150,2024,1645077,0,0,0,t,t,2025-01-01
0233800,2024,1487392,579021,692229,30690,t,t,2025-01-01
0201090,2024,1408675,1408675,0,0,t,t,2025-01-01
0240400,2024,1279080,1279080,0,0,t,t,2025-01-01
0267020,2024,1167757,923866,0,0,t,t,2025-01-01
0239410,2024,1109288,722262,0,0,t,t,2025-01-01
0224660,2024,1087331,96354,0,621888,t,t,2025-01-01
0253050,2024,1036518,248377,788141,0,t,t,2025-01-01
0281920,2024,861682,0,0,0,t,t,2025-01-01
0267570,2024,851628,851628,0,0,t,t,2025-01-01
0230940,2024,634030,516922,0,0,t,t,2025-01-01
0260640,2024,551052,0,0,0,t,t,2025-01-01
0277140,2024,547272,530963,0,0,t,t,2025-01-01
0200065,2024,499751,437734,0,0,t,t,2025-01-01
0259650,2024,341847,234658,80233,0,t,t,2025-01-01
0227530,2024,333928,266763,0,43691,t,t,2025-01-01
0222910,2024,314152,314152,0,0,t,t,2025-01-01
0266470,2024,304926,288239,0,0,t,t,2025-01-01
0268230,2024,303000,303000,0,0,t,t,2025-01-01
0256320,2024,296918,0,0,0,t,t,2025-01-01
0268340,2024,291913,291913,0,0,t,t,2025-01-01
0201420,2024,286569,102406,0,0,t,t,2025-01-01
0261630,2024,248605,248605,0,0,t,t,2025-01-01
0213230,2024,229590,229590,0,0,t,t,2025-01-01
0226760,2024,223953,208394,0,0,t,t,2025-01-01
0266360,2024,220821,220821,0,0,t,t,2025-01-01
0236770,2024,219786,219786,0,0,t,t,2025-01-01
0266140,2024,208780,208780,0,0,t,t,2025-01-01
0251180,2024,198715,198715,0,0,t,t,2025-01-01
