reporting_entity_id,operator_id,pce_id,year,residential_rate,residential_rate_subsidized,commercial_rate,industrial_rate,transportation_rate,community_rate,other_rate,total_rate
1,133,,2001,0.10,,0.08,0.07,,,0.07,0.08
1,133,,2002,0.10,,0.08,0.07,,,0.07,0.08
1,133,,2003,0.10,,0.08,0.07,,,0.07,0.08
1,133,,2004,0.10,,0.08,0.07,,,,0.08
1,133,,2005,0.10,,0.08,0.07,,,,0.08
1,133,,2006,0.10,,0.07,0.07,,,,0.08
1,133,,2007,0.10,,0.08,0.07,,,,0.08
1,133,,2008,0.15,,0.13,0.11,,,,0.14
1,133,,2009,0.11,,0.09,0.08,,,,0.10
1,133,,2010,0.11,,0.09,0.08,,,,0.09
1,133,,2011,0.12,,0.10,0.09,,,,0.11
1,133,,2012,0.12,,0.10,0.09,,,,0.10
1,133,,2013,0.13,,0.11,0.09,,,,0.11
1,133,,2014,0.12,,0.10,0.09,,,,0.10
1,133,,2015,0.12,,0.10,0.09,,,,0.10
1,133,,2016,0.12,,0.10,0.10,,,,0.11
1,133,,2017,0.12,,0.10,0.12,,,,0.11
1,133,,2018,0.12,,0.10,0.12,,,,0.12
2,109,,2001,0.10,,0.07,,,,0.13,0.08
2,109,,2002,0.10,,0.08,,,,0.09,0.08
2,109,,2003,0.10,,0.08,,,,0.10,0.08
2,109,,2004,0.11,,0.09,,,,,0.09
2,109,,2005,0.11,,0.09,,,,,0.09
2,109,,2006,0.10,,0.07,,,,,0.07
2,109,,2007,0.09,,0.07,,,,,0.07
2,109,,2008,0.10,,0.08,,,,,0.08
2,109,,2009,0.12,,0.10,,,,,0.10
2,109,,2010,0.13,,0.10,,,,,0.11
2,109,,2011,0.13,,0.10,,,,,0.10
2,109,,2012,0.12,,0.09,,,,,0.09
2,109,,2013,0.13,,0.10,,,,,0.11
2,109,,2014,0.16,,0.13,,,,,0.13
2,109,,2015,0.17,,0.14,,,,,0.14
2,109,,2016,0.17,,0.14,,,,,0.15
2,109,,2017,0.21,,0.17,,,,,0.17
2,109,,2018,0.20,,0.15,,,,,0.15
3,132,,2001,0.11,,0.09,0.08,,,0.28,0.10
3,132,,2002,0.11,,0.09,0.08,,,0.28,0.10
3,132,,2003,0.11,,0.09,0.08,,,0.28,0.10
3,132,,2004,0.11,,0.09,0.08,,,,0.10
3,132,,2005,0.12,,0.10,0.09,,,,0.11
3,132,,2006,0.14,,0.11,0.10,,,,0.12
3,132,,2007,0.14,,0.11,0.10,,,,0.12
3,132,,2008,0.14,,0.12,0.11,,,,0.13
3,132,,2009,0.15,,0.13,0.12,,,,0.14
3,132,,2010,0.13,,0.11,0.10,,,,0.12
3,132,,2011,0.14,,0.12,0.11,,,,0.13
3,132,,2012,0.14,,0.12,0.11,,,,0.13
3,132,,2013,0.15,,0.12,0.11,,,,0.13
3,132,,2014,0.16,,0.13,0.12,,,,0.14
