reporting_entity_id,year,residential_revenue_per_kwh,residential_revenue_per_kwh_subsidized,commercial_revenue_per_kwh,industrial_revenue_per_kwh,transportation_revenue_per_kwh,community_revenue_per_kwh,other_revenue_per_kwh,total_revenue_per_kwh,source
1,2001,0.10,,0.08,0.07,0.07,,,0.08,EIA861
1,2002,0.10,,0.08,0.07,0.07,,,0.08,EIA861
1,2003,0.10,,0.08,0.07,,,0.07,0.08,EIA861M
1,2004,0.10,,0.08,0.07,,,,0.08,EIA861M
1,2005,0.10,,0.08,0.07,,,,0.08,EIA861M
1,2006,0.10,,0.07,0.07,,,,0.08,EIA861M
1,2007,0.10,,0.08,0.07,,,,0.08,EIA861M
1,2008,0.15,,0.13,0.11,,,,0.14,EIA861M
1,2009,0.11,,0.09,0.08,,,,0.10,EIA861M
1,2010,0.11,,0.09,0.08,,,,0.09,EIA861M
1,2011,0.12,,0.10,0.09,,,,0.11,EIA861M
1,2012,0.12,,0.10,0.09,,,,0.10,EIA861M
1,2013,0.13,,0.11,0.09,,,,0.11,EIA861M
1,2014,0.12,,0.10,0.09,,,,0.10,EIA861M
1,2015,0.12,,0.10,0.09,,,,0.10,EIA861M
1,2016,0.12,,0.10,0.10,,,,0.11,EIA861M
1,2017,0.12,,0.10,0.12,,,,0.11,EIA861M
1,2018,0.12,,0.10,0.12,,,,0.12,EIA861M
1,2019,0.14,,0.12,0.12,,,,0.13,EIA861
1,2020,0.13,,0.10,0.12,,,,0.12,EIA861
1,2021,0.12,,0.10,0.11,,,,0.11,EIA861
2,2001,0.10,,0.07,,0.13,,,0.08,EIA861
2,2002,0.10,,0.08,,0.09,,,0.08,EIA861
2,2003,0.10,,0.08,,,,0.10,0.08,EIA861M
2,2004,0.11,,0.09,,,,,0.09,EIA861M
2,2005,0.11,,0.09,,,,,0.09,EIA861M
2,2006,0.10,,0.07,,,,,0.07,EIA861M
2,2007,0.09,,0.07,,,,,0.07,EIA861M
2,2008,0.10,,0.08,,,,,0.08,EIA861M
2,2009,0.12,,0.10,,,,,0.10,EIA861M
2,2010,0.13,,0.10,,,,,0.11,EIA861M
2,2011,0.13,,0.10,,,,,0.10,EIA861M
2,2012,0.12,,0.09,,,,,0.09,EIA861M
2,2013,0.13,,0.10,,,,,0.11,EIA861M
2,2014,0.16,,0.13,,,,,0.13,EIA861M
2,2015,0.17,,0.14,,,,,0.14,EIA861M
2,2016,0.17,,0.14,,,,,0.15,EIA861M
2,2017,0.21,,0.17,,,,,0.17,EIA861M
2,2018,0.20,,0.15,,,,,0.15,EIA861M
2,2019,0.23,,0.16,,,,,0.17,EIA861
2,2020,0.21,,0.16,,,,,0.17,EIA861
3,2001,0.11,,0.09,0.08,0.28,,,0.10,EIA861
3,2002,0.11,,0.09,0.08,0.28,,,0.10,EIA861
3,2003,0.11,,0.09,0.08,,,0.28,0.10,EIA861M
3,2004,0.11,,0.09,0.08,,,,0.10,EIA861M
