grid_id,net_generation_mwh,fuel_type_code,fuel_type_name,year
1,287,DFO,Distillate Fuel Oil,2021
2,2004,DFO,Distillate Fuel Oil,2021
3,225,DFO,Distillate Fuel Oil,2021
4,515,DFO,Distillate Fuel Oil,2021
4,168,WAT,Water at Hydroelectric Turbine,2021
5,662,DFO,Distillate Fuel Oil,2021
7,518,DFO,Distillate Fuel Oil,2021
9,866,DFO,Distillate Fuel Oil,2021
9,11,SUN,Solar,2021
11,105,DFO,Distillate Fuel Oil,2021
12,1096,DFO,Distillate Fuel Oil,2021
14,37759,WAT,Water at Hydroelectric Turbine,2021
14,16457,DFO,Distillate Fuel Oil,2021
14,-85,MWH,Electricity used for Energy Storage,2021
15,10384,DFO,Distillate Fuel Oil,2021
23,30596,WAT,Water at Hydroelectric Turbine,2021
23,1652,DFO,Distillate Fuel Oil,2021
26,1424,DFO,Distillate Fuel Oil,2021
32,24042,WAT,Water at Hydroelectric Turbine,2021
32,2873,DFO,Distillate Fuel Oil,2021
34,41602,DFO,Distillate Fuel Oil,2021
34,1341,WND,Wind,2021
35,1331,DFO,Distillate Fuel Oil,2021
36,400,DFO,Distillate Fuel Oil,2021
39,1321,DFO,Distillate Fuel Oil,2021
40,1795,DFO,Distillate Fuel Oil,2021
40,843,WND,Wind,2021
41,1221,DFO,Distillate Fuel Oil,2021
43,1371,DFO,Distillate Fuel Oil,2021
45,5356,DFO,Distillate Fuel Oil,2021
45,563,WND,Wind,2021
46,2213,DFO,Distillate Fuel Oil,2021
46,37,WND,Wind,2021
47,780,DFO,Distillate Fuel Oil,2021
48,612,DFO,Distillate Fuel Oil,2021
49,576,DFO,Distillate Fuel Oil,2021
50,3313,DFO,Distillate Fuel Oil,2021
50,347,WND,Wind,2021
51,1106,DFO,Distillate Fuel Oil,2021
52,1545,DFO,Distillate Fuel Oil,2021
54,671,DFO,Distillate Fuel Oil,2021
54,7,SUN,Solar,2021
55,2467,DFO,Distillate Fuel Oil,2021
55,322,WND,Wind,2021
57,1715,DFO,Distillate Fuel Oil,2021
58,1874,DFO,Distillate Fuel Oil,2021
59,2179,DFO,Distillate Fuel Oil,2021
60,1287,DFO,Distillate Fuel Oil,2021
61,1565,DFO,Distillate Fuel Oil,2021
62,920,DFO,Distillate Fuel Oil,2021
62,4,WND,Wind,2021
63,768,DFO,Distillate Fuel Oil,2021
65,1922,DFO,Distillate Fuel Oil,2021
66,1853,DFO,Distillate Fuel Oil,2021
67,1963,DFO,Distillate Fuel Oil,2021
67,13,SUN,Solar,2021
68,1071,DFO,Distillate Fuel Oil,2021
69,809,DFO,Distillate Fuel Oil,2021
70,1877,DFO,Distillate Fuel Oil,2021
71,1779,DFO,Distillate Fuel Oil,2021
71,561,WND,Wind,2021
72,951,DFO,Distillate Fuel Oil,2021
75,3650,DFO,Distillate Fuel Oil,2021
75,2061,WND,Wind,2021
76,2473,DFO,Distillate Fuel Oil,2021
76,55,WND,Wind,2021
77,1711,DFO,Distillate Fuel Oil,2021
78,2860,DFO,Distillate Fuel Oil,2021
79,434,DFO,Distillate Fuel Oil,2021
80,817,DFO,Distillate Fuel Oil,2021
80,293,WND,Wind,2021
81,1851,DFO,Distillate Fuel Oil,2021
84,3564,DFO,Distillate Fuel Oil,2021
85,873,DFO,Distillate Fuel Oil,2021
86,3271,DFO,Distillate Fuel Oil,2021
88,3270,DFO,Distillate Fuel Oil,2021
88,446,WND,Wind,2021
90,661,DFO,Distillate Fuel Oil,2021
91,6507,DFO,Distillate Fuel Oil,2021
92,207,DFO,Distillate Fuel Oil,2021
93,2671,DFO,Distillate Fuel Oil,2021
94,467,DFO,Distillate Fuel Oil,2021
95,310,WAT,Water at Hydroelectric Turbine,2021
95,57,DFO,Distillate Fuel Oil,2021
96,1113,DFO,Distillate Fuel Oil,2021
97,91,DFO,Distillate Fuel Oil,2021
98,82,DFO,Distillate Fuel Oil,2021
99,1696,DFO,Distillate Fuel Oil,2021
99,240,WND,Wind,2021
100,51,DFO,Distillate Fuel Oil,2021
101,219,DFO,Distillate Fuel Oil,2021
102,514,DFO,Distillate Fuel Oil,2021
102,18,WAT,Water at Hydroelectric Turbine,2021
103,190,DFO,Distillate Fuel Oil,2021
104,666,DFO,Distillate Fuel Oil,2021
105,431,DFO,Distillate Fuel Oil,2021
106,422,DFO,Distillate Fuel Oil,2021
107,414,DFO,Distillate Fuel Oil,2021
110,399,DFO,Distillate Fuel Oil,2021
111,648,DFO,Distillate Fuel Oil,2021
112,375,DFO,Distillate Fuel Oil,2021
113,661,DFO,Distillate Fuel Oil,2021
114,2425,DFO,Distillate Fuel Oil,2021
115,5361,DFO,Distillate Fuel Oil,2021
116,460,DFO,Distillate Fuel Oil,2021
117,950,DFO,Distillate Fuel Oil,2021
118,2189,WAT,Water at Hydroelectric Turbine,2021
118,534,DFO,Distillate Fuel Oil,2021
119,2546,DFO,Distillate Fuel Oil,2021
120,537,DFO,Distillate Fuel Oil,2021
121,340,DFO,Distillate Fuel Oil,2021
121,1,WAT,Water at Hydroelectric Turbine,2021
123,3674,WAT,Water at Hydroelectric Turbine,2021
123,160,DFO,Distillate Fuel Oil,2021
125,1822,DFO,Distillate Fuel Oil,2021
128,3513,DFO,Distillate Fuel Oil,2021
128,1488,WAT,Water at Hydroelectric Turbine,2021
129,1454,DFO,Distillate Fuel Oil,2021
129,855,WAT,Water at Hydroelectric Turbine,2021
130,679,DFO,Distillate Fuel Oil,2021
130,61,WND,Wind,2021
130,43,SUN,Solar,2021
131,3483,WAT,Water at Hydroelectric Turbine,2021
131,846,DFO,Distillate Fuel Oil,2021
132,1345,DFO,Distillate Fuel Oil,2021
132,672,WND,Wind,2021
134,499,DFO,Distillate Fuel Oil,2021
134,18,WND,Wind,2021
135,18343,DFO,Distillate Fuel Oil,2021
135,2584,WND,Wind,2021
135,594,SUN,Solar,2021
135,-86,MWH,Electricity used for Energy Storage,2021
136,193,DFO,Distillate Fuel Oil,2021
137,1801,DFO,Distillate Fuel Oil,2021
138,1144,DFO,Distillate Fuel Oil,2021
138,70,WND,Wind,2021
140,459,DFO,Distillate Fuel Oil,2021
141,4,DFO,Distillate Fuel Oil,2021
142,591,DFO,Distillate Fuel Oil,2021
143,2160,DFO,Distillate Fuel Oil,2021
144,272,DFO,Distillate Fuel Oil,2021
145,291,DFO,Distillate Fuel Oil,2021
146,78,DFO,Distillate Fuel Oil,2021
147,295,DFO,Distillate Fuel Oil,2021
148,136,DFO,Distillate Fuel Oil,2021
149,1634,DFO,Distillate Fuel Oil,2021
149,16,WND,Wind,2021
150,24329,DFO,Distillate Fuel Oil,2021
153,1129,DFO,Distillate Fuel Oil,2021
154,1184,DFO,Distillate Fuel Oil,2021
156,304,DFO,Distillate Fuel Oil,2021
157,691,DFO,Distillate Fuel Oil,2021
158,433,DFO,Distillate Fuel Oil,2021
159,30209,DFO,Distillate Fuel Oil,2021
159,2026,WND,Wind,2021
160,4260,DFO,Distillate Fuel Oil,2021
161,2161,DFO,Distillate Fuel Oil,2021
162,4656,DFO,Distillate Fuel Oil,2021
163,4665,NG,Natural Gas,2021
163,2664,DFO,Distillate Fuel Oil,2021
164,6468,DFO,Distillate Fuel Oil,2021
165,3386,DFO,Distillate Fuel Oil,2021
166,7343,DFO,Distillate Fuel Oil,2021
167,869,DFO,Distillate Fuel Oil,2021
169,19100,DFO,Distillate Fuel Oil,2021
170,668,DFO,Distillate Fuel Oil,2021
171,209,DFO,Distillate Fuel Oil,2021
172,881,WAT,Water at Hydroelectric Turbine,2021
172,420,DFO,Distillate Fuel Oil,2021
173,462,DFO,Distillate Fuel Oil,2021
175,622,DFO,Distillate Fuel Oil,2021
176,817,DFO,Distillate Fuel Oil,2021
176,632,WND,Wind,2021
177,123,DFO,Distillate Fuel Oil,2021
178,680,DFO,Distillate Fuel Oil,2021
179,479,DFO,Distillate Fuel Oil,2021
180,3305,DFO,Distillate Fuel Oil,2021
182,61,DFO,Distillate Fuel Oil,2021
183,934,DFO,Distillate Fuel Oil,2021
184,1249,DFO,Distillate Fuel Oil,2021
185,427,DFO,Distillate Fuel Oil,2021
186,1846,DFO,Distillate Fuel Oil,2021
