aea_plant_id,eia_plant_id,year,power_generation_end_use,fuel_type_code,fuel_type_name,avg_pce_fuel_price,physical_unit_label,quantity_consumed_in_physical_units_for_electric_generation,quantity_consumed_for_electricity_mmbtu,net_generation_mwh,gross_generation_mwh,data_source
1,54452,2001,Industrial,NG,Natural Gas,,MCF,546405.67,573727.000,86970.999,,EIA923
1,54452,2002,Industrial,NG,Natural Gas,,MCF,0,-388732.000,95154.000,,EIA923
1,54452,2004,Industrial,NG,Natural Gas,,MCF,21088.69,21932.240,3685.490,,EIA923
1,54452,2005,Industrial,NG,Natural Gas,,MCF,481662.56,498520.750,83771.381,,EIA923
1,54452,2006,Industrial,NG,Natural Gas,,MCF,375143.57,388273.590,65245.462,,EIA923
1,54452,2007,Industrial,NG,Natural Gas,,MCF,101700,105259.000,17688.018,,EIA923
2,,2001,Retail,DFO,Distillate Fuel Oil,1.25,gallons,11265,1554.800,,120.649,PCE
2,,2002,Retail,DFO,Distillate Fuel Oil,0.94,gallons,1747,241.100,,17.825,PCE
2,,2013,Retail,DFO,Distillate Fuel Oil,4.92,gallons,6510,898.400,,70.370,PCE
2,,2014,Retail,DFO,Distillate Fuel Oil,4.92,gallons,25200,3477.800,,252.263,PCE
2,,2015,Retail,DFO,Distillate Fuel Oil,5.05,gallons,31888,4400.500,,257.111,PCE
2,,2016,Retail,DFO,Distillate Fuel Oil,4.59,gallons,35344,4877.600,,312.066,PCE
2,,2017,Retail,DFO,Distillate Fuel Oil,4.07,gallons,29468,4066.600,,272.273,PCE
2,,2018,Retail,DFO,Distillate Fuel Oil,3.61,gallons,28443,3925.100,,275.529,PCE
2,,2019,Retail,DFO,Distillate Fuel Oil,3.42,gallons,24787,3420.700,,249.420,PCE
2,,2020,Retail,DFO,Distillate Fuel Oil,3.65,gallons,25300,3491.400,,250.903,PCE
2,,2021,Retail,DFO,Distillate Fuel Oil,3.84,gallons,24270,3349.260,,286.831,PCE
3,,2001,Retail,DFO,Distillate Fuel Oil,1.50,gallons,53756,7418.300,,593.263,PCE
3,,2002,Retail,DFO,Distillate Fuel Oil,1.55,gallons,105081,14501.200,,1293.111,PCE
3,,2003,Retail,DFO,Distillate Fuel Oil,1.65,gallons,102292,14116.400,,1277.812,PCE
3,,2004,Retail,DFO,Distillate Fuel Oil,2.07,gallons,113912,15719.700,,1446.431,PCE
3,,2005,Retail,DFO,Distillate Fuel Oil,2.26,gallons,150078,20710.800,,1748.743,PCE
3,,2006,Retail,DFO,Distillate Fuel Oil,3.15,gallons,175350,24198.300,,1835.935,PCE
3,,2007,Retail,DFO,Distillate Fuel Oil,3.12,gallons,171314,23641.500,,1738.817,PCE
3,,2008,Retail,DFO,Distillate Fuel Oil,3.35,gallons,155269,21427.100,,2811.711,PCE
3,,2009,Retail,DFO,Distillate Fuel Oil,3.69,gallons,138194,19070.900,,1966.326,PCE
3,,2010,Retail,DFO,Distillate Fuel Oil,3.45,gallons,131994,18215.300,,1901.467,PCE
3,,2011,Retail,DFO,Distillate Fuel Oil,3.62,gallons,141170,19481.500,,1885.185,PCE
3,,2012,Retail,DFO,Distillate Fuel Oil,4.40,gallons,136679,18861.900,,1963.726,PCE
3,,2013,Retail,DFO,Distillate Fuel Oil,4.37,gallons,133956,18485.800,,1908.909,PCE
