fips_code,name,house_districts,senate_districts,election_region
0200065,Adak,{37},{S},4
0200650,Akhiok,{5},{C},1
0200760,Akiachak,{38},{S},4
0200870,Akiak,{38},{S},4
0201090,Akutan,{37},{S},4
0201200,Alakanuk,{39},{T},4
0201305,Alatna,{36},{R},3
0201390,Alcan Border,{36},{R},3
0201420,Aleknagik,{37},{S},4
0201560,Aleneva,{5},{C},1
0201860,Allakaket,{36},{R},3
0201970,Ambler,{40},{T},4
0202080,Anaktuvuk Pass,{40},{T},4
0203000,Anchorage,"{9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24}","{E,F,G,H,I,J,K,L}",2
0203110,Anchor Point,{6},{C},1
0203220,Anderson,{30},{O},5
0203440,Angoon,{2},{A},1
0203550,Aniak,{37},{S},4
0203880,Anvik,{36},{R},3
0203990,Arctic Village,{36},{R},3
0204210,Atka,{37},{S},4
0204430,Atmautluak,{38},{S},4
0204500,Atqasuk,{40},{T},4
0204670,Attu Station,{37},{S},4
0205000,Badger,{33},{Q},3
0205585,Bear Creek,{8},{D},5
0205750,Beaver,{36},{R},3
0206245,Beluga,{37},{S},4
0206520,Bethel,{38},{S},4
0206630,Bettles,{36},{R},3
0206850,Big Delta,{36},{R},3
0207070,Big Lake,{30},{O},5
0207620,Birch Creek,{36},{R},3
0208740,Brevig Mission,{39},{T},4
0209600,Buckland,{40},{T},4
0209657,Buffalo Soapstone,{29},{O},5
0209710,Butte,{25},{M},5
0210150,Cantwell,{30},{O},5
0211690,Central,{36},{R},3
0211800,Chalkyitsik,{36},{R},3
0212350,Chase,{30},{O},5
0212680,Chefornak,{38},{S},4
0212920,Chena Ridge,{35},{R},3
0212970,Chenega,{5},{C},1
0213230,Chevak,{38},{S},4
0213340,Chickaloon,{29},{O},5
0213450,Chicken,{36},{R},3
0213550,Chignik,{37},{S},4
0213670,Chignik Lagoon,{37},{S},4
0213780,Chignik Lake,{37},{S},4
0213860,Chiniak,{5},{C},1
0213890,Chisana,{36},{R},3
0214000,Chistochina,{36},{R},3
0214110,Chitina,{36},{R},3
0214330,Chuathbaluk,{37},{S},4
0214880,Circle,{36},{R},3
0215320,Clam Gulch,{6},{C},1
0215430,Clark's Point,{37},{S},4
0216360,Coffman Cove,{1},{A},1
0216420,Cohoe,{6},{C},1
0216530,Cold Bay,{37},{S},4
0216630,Coldfoot,{36},{R},3
0216750,College,{35},{R},3
0217190,Cooper Landing,{8},{D},5
0217300,Copper Center,{36},{R},3
0217410,Cordova,{5},{C},1
0217670,Covenant Life,{3},{B},1
0217740,Craig,{2},{A},1
0217850,Crooked Creek,{37},{S},4
0217960,Crown Point,{8},{D},5
0218510,Deering,{40},{T},4
0218620,Delta Junction,{36},{R},3
0218675,Deltana,{36},{R},3
0218805,Denali Park,{30},{O},5
0218925,Diamond Ridge,{6},{C},1
0218950,Dillingham,{37},{S},4
0219060,Diomede,{39},{T},4
0219720,Dot Lake,{36},{R},3
0219750,Dot Lake Village,{36},{R},3
0220020,Dry Creek,{36},{R},3
0220380,Eagle,{36},{R},3
0220600,Eagle Village,{36},{R},3
0220716,Eareckson Station,{37},{S},4
0220970,Edna Bay,{2},{A},1
0221040,Eek,{38},{S},4
0221150,Egegik,{37},{S},4
0221370,Eielson AFB,{34},{Q},3
0221810,Ekwok,{37},{S},4
0222140,Elfin Cove,{2},{A},1
0222250,Elim,{39},{T},4
0222910,Emmonak,{39},{T},4
0223460,Ester,{35},{R},3
0223720,Eureka Roadhouse,{29},{O},5
0223790,Evansville,{36},{R},3
0223900,Excursion Inlet,{3},{B},1
0224230,Fairbanks,"{31,32,33,34,35,36}","{P,Q,R}",3
0224660,False Pass,{37},{S},4
0224980,Farmers Loop,{34},{Q},3
0225000,Farm Loop,{29},{O},5
0225220,Ferry,{30},{O},5
0225550,Fishhook,{29},{O},5
0225880,Flat,{36},{R},3
0226100,Fort Greely,{36},{R},3
0226760,Fort Yukon,{36},{R},3
0226835,Four Mile Road,{36},{R},3
0226870,Fox,{34},{Q},3
0226910,Fox River,{6},{C},1
0227090,Fritz Creek,{6},{C},1
0227145,Funny River,{8},{D},5
0227420,Gakona,{36},{R},3
0227530,Galena,{36},{R},3
0227640,Gambell,{39},{T},4
0227700,Game Creek,{2},{A},1
0228200,Gateway,{26},{M},5
0228590,Glacier View,{29},{O},5
0228740,Glennallen,{36},{R},3
0229130,Goldstream,{36},{R},3
0229180,Golovin,{39},{T},4
0229290,Goodnews Bay,{37},{S},4
0230060,Grayling,{36},{R},3
0230500,Gulkana,{36},{R},3
0230940,Gustavus,{3},{B},1
0231050,Haines,{3},{B},1
0231270,Halibut Cove,{6},{C},1
0231710,Happy Valley,{6},{C},1
0231765,Harding-Birch Lakes,{34},{Q},3
0232150,Healy,{30},{O},5
0232310,Healy Lake,{36},{R},3
0232550,Hobart Bay,{2},{A},1
0232810,Hollis,{2},{A},1
0233030,Holy Cross,{36},{R},3
0233140,Homer,{6},{C},1
0233360,Hoonah,{2},{A},1
0233470,Hooper Bay,{39},{T},4
0233580,Hope,{8},{D},5
0233800,Houston,"{27,30}","{N,O}",5
0233910,Hughes,{36},{R},3
0234350,Huslia,{36},{R},3
0234460,Hydaburg,{2},{A},1
0234570,Hyder,{1},{A},1
0234790,Igiugig,{37},{S},4
0235120,Iliamna,{37},{S},4
0235890,Ivanof Bay,{37},{S},4
0236400,Juneau,"{3,4}",{B},1
0236540,Kachemak,{6},{C},1
0236770,Kake,{2},{A},1
0236990,Kaktovik,{40},{T},4
0237250,Kalifornsky,{7},{D},5
0237430,Kaltag,{36},{R},3
0237540,Karluk,{5},{C},1
0237650,Kasaan,{2},{A},1
0237975,Kasigluk,{38},{S},4
0238090,Kasilof,{6},{C},1
0238420,Kenai,{6},{C},1
0238420,Kenai,"{7,8}",{D},5
0238910,Kenny Lake,{36},{R},3
0238970,Ketchikan,{1},{A},1
0239300,Kiana,{40},{T},4
0239410,King Cove,{37},{S},4
0239630,King Salmon,{37},{S},4
0239740,Kipnuk,{38},{S},4
0239960,Kivalina,{40},{T},4
0240400,Klawock,{2},{A},1
0240510,Klukwan,{3},{B},1
0240645,Knik-Fairview,{26},{M},5
0240670,Knik River,{25},{M},5
