fips_code,community_name,tank_farm_id,uscg_id,aea_id,entity_name,number_of_tanks,total_capacity,gasoline_capacity,diesel_capacity,av_gas_capacity,jet_fuel_capacity,other_fuel_capacity,barge_delivery,plane_delivery,road_delivery,inspected_by_uscg,fuel_supplier,recommendations_by_aea,distance_to_barge_mooring,tank_farm_evaluation_id,source,report,start_year,end_year,latitude,longitude
0200065,Adak,,ANC-A-042,,AK DOT&PF Adak,1,1000,,1000,,,,,,,t,,,,,DEC,,,,51.8751220703125,-176.64251708984375
0200065,Adak,,ANC-A-017,,Adak Petroleum Bulk Fuel,,,,,,,,,,,t,,,,,,,,,51.8682861328125,-176.64031982421875
0200065,Adak,,ANC-A-001,,Adak Petroleum Bulk Fuel Facility,4,71100,51100,,,20000,,t,f,f,t,,,,,DEC,,,,51.853515625,-176.65460205078125
0200065,Adak,,,,TDX Power,3,41080,,41080,,,,f,f,t,f,,,,,DEC,,,,51.89849853515625,-176.6239013671875
0200650,Akhiok,,,,City of Akhiok,4,41000,,41000,,,,t,f,f,f,,,,,DEC,,,,56.9302978515625,-154.20257568359375
0200650,Akhiok,,,,City of Akhiok,3,36000,,24000,,,12000,t,f,f,,Ocean Beauty Cannery,,,,AEA,2024 Assessment,2023,2024,56.9302633943918,-154.202607345013
0200650,Akhiok,,,,Kodiak Island Borough School District,1,1200,,1200,,,,f,f,t,f,,,,,DEC,,,,56.94647216796875,-154.17340087890625
0200760,Akiachak,,,,Akiachak Airport Maintenance Station,2,2000,,2000,,,,f,f,t,f,,,,,DEC,,,,60.9171142578125,-161.4857177734375
0200760,Akiachak,,,,Akiachak Shared Tanks,12,549000,144000,384000,,,21000,t,f,f,,Vitus,,,,AEA,2024 Assessment,2023,2024,60.9113960589225,-161.455819300163
0200760,Akiachak,,,,Akiachak Tank Farm,3,62000,,62000,,,,t,f,f,f,,,,,DEC,,,,60.9114990234375,-161.4569091796875
0200760,Akiachak,,ANC-A-003,,Akiachak Tank Farm,10,400000,150000,250000,,,,t,f,f,t,,,,,DEC,,,,60.9114990234375,-161.4569091796875
0200760,Akiachak,,,,Yupiit School District,6,137000,9000,128000,,,,t,f,f,f,,,,,DEC,,,,60.9114990234375,-161.4569091796875
0200870,Akiak,,,,Akiak Airport Maintenance Station,2,2000,,2000,,,,f,f,t,f,,,,,DEC,,,,60.9058837890625,-161.2274169921875
0200870,Akiak,,,,Akiak Fuel Storage Facility,8,226000,45000,175000,,,6000,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,60.9140224489645,-161.220677464081
0200870,Akiak,,,,Akiak school tank farm,4,94800,,94800,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,60.9078622015956,-161.228614425223
0200870,Akiak,752,,,Alaska Army National Guard,,5500,,,,,,t,f,f,f,,,,985,AEA,,,,60.91229248046875,-161.21728515625
0200870,Akiak,750,,,City of Akiak Electric Utility,,24000,,,,,,t,f,f,f,,,,983,AEA,,,,60.9102783203125,-161.21868896484375
0200870,Akiak,751,,,City of Akiak Electric Utility,,2000,,,,,,t,f,f,f,,,,984,AEA,,,,60.90972900390625,-161.21917724609375
0200870,Akiak,753,ANC-A-007,,Kokamiut Corporation,,258000,,,,,,t,f,f,t,,,,986,AEA,,,,60.91412353515625,-161.22052001953125
0200870,Akiak,749,,,Kokarmiut Corpation,,58000,,,,,,t,f,f,f,,,,982,AEA,,,,60.91412353515625,-161.220703125
