fips_code,name,grid,capacity_mw,fuel_type,year
0200065,Adak,Adak Grid,,,
0200650,Akhiok,Akhiok Grid,0.3,Distillate Fuel Oil,2021
0200760,Akiachak,Akiachak Grid,1.5,Distillate Fuel Oil,2021
0200870,Akiak,Akiak Grid,0.9,Distillate Fuel Oil,2021
0201090,Akutan,Akutan Grid,0.1,Water at Hydroelectric Turbine,2021
0201090,Akutan,Akutan Grid,0.4,Distillate Fuel Oil,2021
0201200,Alakanuk,Emmonak Grid,0.4,Wind,2021
0201200,Alakanuk,Emmonak Grid,3.2,Distillate Fuel Oil,2021
0201305,Alatna,Allakaket Grid,,,
0201390,Alcan Border,,,,
0201420,Aleknagik,Dillingham Grid,11.0,Distillate Fuel Oil,2021
0201560,Aleneva,,,,
0201860,Allakaket,Allakaket Grid,,,
0201970,Ambler,Ambler Grid,1.1,Distillate Fuel Oil,2021
0202080,Anaktuvuk Pass,Anaktuvuk Pass Grid,2.7,Distillate Fuel Oil,2021
0203110,Anchor Point,Railbelt Grid,60.0,Waste Oil,2021
0203110,Anchor Point,Railbelt Grid,44.5,Wind,2021
0203110,Anchor Point,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0203110,Anchor Point,Railbelt Grid,1.9,Solar,2021
0203110,Anchor Point,Railbelt Grid,104.8,Subbituminous Coal,2021
0203110,Anchor Point,Railbelt Grid,1403.7,Natural Gas,2021
0203110,Anchor Point,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0203110,Anchor Point,Railbelt Grid,90.0,Lignite Coal,2021
0203110,Anchor Point,Railbelt Grid,11.5,Landfill Gas,2021
0203110,Anchor Point,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0203000,Anchorage,Railbelt Grid,60.0,Waste Oil,2021
0203000,Anchorage,Railbelt Grid,44.5,Wind,2021
0203000,Anchorage,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0203000,Anchorage,Railbelt Grid,1.9,Solar,2021
0203000,Anchorage,Railbelt Grid,104.8,Subbituminous Coal,2021
0203000,Anchorage,Railbelt Grid,1403.7,Natural Gas,2021
0203000,Anchorage,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0203000,Anchorage,Railbelt Grid,90.0,Lignite Coal,2021
0203000,Anchorage,Railbelt Grid,11.5,Landfill Gas,2021
0203000,Anchorage,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0203220,Anderson,Railbelt Grid,60.0,Waste Oil,2021
0203220,Anderson,Railbelt Grid,44.5,Wind,2021
0203220,Anderson,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0203220,Anderson,Railbelt Grid,1.9,Solar,2021
0203220,Anderson,Railbelt Grid,104.8,Subbituminous Coal,2021
0203220,Anderson,Railbelt Grid,1403.7,Natural Gas,2021
0203220,Anderson,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0203220,Anderson,Railbelt Grid,90.0,Lignite Coal,2021
0203220,Anderson,Railbelt Grid,11.5,Landfill Gas,2021
0203220,Anderson,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0203440,Angoon,Angoon Grid,1.5,Distillate Fuel Oil,2021
0203550,Aniak,Aniak Grid,2.2,Distillate Fuel Oil,2021
0203880,Anvik,Anvik Grid,0.4,Distillate Fuel Oil,2021
0203990,Arctic Village,Arctic Village Grid,0.4,Distillate Fuel Oil,2021
0204210,Atka,Atka Grid,0.3,Water at Hydroelectric Turbine,2021
0204210,Atka,Atka Grid,0.3,Distillate Fuel Oil,2021
0204430,Atmautluak,Atmautluak Grid,1.1,Distillate Fuel Oil,2021
0204500,Atqasuk,Atqasuk Grid,3.2,Distillate Fuel Oil,2021
0204670,Attu Station,,,,
0205000,Badger,Railbelt Grid,60.0,Waste Oil,2021
0205000,Badger,Railbelt Grid,44.5,Wind,2021
0205000,Badger,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0205000,Badger,Railbelt Grid,1.9,Solar,2021
0205000,Badger,Railbelt Grid,104.8,Subbituminous Coal,2021
0205000,Badger,Railbelt Grid,1403.7,Natural Gas,2021
0205000,Badger,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0205000,Badger,Railbelt Grid,90.0,Lignite Coal,2021
0205000,Badger,Railbelt Grid,11.5,Landfill Gas,2021
0205000,Badger,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0205585,Bear Creek,Railbelt Grid,60.0,Waste Oil,2021
0205585,Bear Creek,Railbelt Grid,44.5,Wind,2021
0205585,Bear Creek,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0205585,Bear Creek,Railbelt Grid,1.9,Solar,2021
0205585,Bear Creek,Railbelt Grid,104.8,Subbituminous Coal,2021
0205585,Bear Creek,Railbelt Grid,1403.7,Natural Gas,2021
0205585,Bear Creek,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0205585,Bear Creek,Railbelt Grid,90.0,Lignite Coal,2021
0205585,Bear Creek,Railbelt Grid,11.5,Landfill Gas,2021
0205585,Bear Creek,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0205750,Beaver,Beaver Grid,0.3,Distillate Fuel Oil,2021
0206245,Beluga,Railbelt Grid,60.0,Waste Oil,2021
0206245,Beluga,Railbelt Grid,44.5,Wind,2021
0206245,Beluga,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0206245,Beluga,Railbelt Grid,1.9,Solar,2021
0206245,Beluga,Railbelt Grid,104.8,Subbituminous Coal,2021
0206245,Beluga,Railbelt Grid,1403.7,Natural Gas,2021
0206245,Beluga,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0206245,Beluga,Railbelt Grid,90.0,Lignite Coal,2021
0206245,Beluga,Railbelt Grid,11.5,Landfill Gas,2021
0206245,Beluga,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0206520,Bethel,Bethel Grid,0.9,Wind,2021
0206520,Bethel,Bethel Grid,12.9,Distillate Fuel Oil,2021
0206630,Bettles,Bettles Grid,0.6,Distillate Fuel Oil,2021
0206850,Big Delta,Railbelt Grid,60.0,Waste Oil,2021
0206850,Big Delta,Railbelt Grid,44.5,Wind,2021
0206850,Big Delta,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0206850,Big Delta,Railbelt Grid,1.9,Solar,2021
0206850,Big Delta,Railbelt Grid,104.8,Subbituminous Coal,2021
0206850,Big Delta,Railbelt Grid,1403.7,Natural Gas,2021
0206850,Big Delta,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0206850,Big Delta,Railbelt Grid,90.0,Lignite Coal,2021
0206850,Big Delta,Railbelt Grid,11.5,Landfill Gas,2021
0206850,Big Delta,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0207070,Big Lake,Railbelt Grid,60.0,Waste Oil,2021
0207070,Big Lake,Railbelt Grid,44.5,Wind,2021
0207070,Big Lake,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0207070,Big Lake,Railbelt Grid,1.9,Solar,2021
0207070,Big Lake,Railbelt Grid,104.8,Subbituminous Coal,2021
0207070,Big Lake,Railbelt Grid,1403.7,Natural Gas,2021
0207070,Big Lake,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0207070,Big Lake,Railbelt Grid,90.0,Lignite Coal,2021
0207070,Big Lake,Railbelt Grid,11.5,Landfill Gas,2021
0207070,Big Lake,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0207620,Birch Creek,Birch Creek Grid,,,
0208740,Brevig Mission,Brevig Mission Grid,1.0,Distillate Fuel Oil,2021
0209600,Buckland,Buckland Grid,0.2,Wind,2021
0209600,Buckland,Buckland Grid,0.0,Solar,2021
0209600,Buckland,Buckland Grid,0.3,Electricity used for Energy Storage,2021
0209600,Buckland,Buckland Grid,1.2,Distillate Fuel Oil,2021
0209657,Buffalo Soapstone,Railbelt Grid,60.0,Waste Oil,2021
0209657,Buffalo Soapstone,Railbelt Grid,44.5,Wind,2021
0209657,Buffalo Soapstone,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0209657,Buffalo Soapstone,Railbelt Grid,1.9,Solar,2021
0209657,Buffalo Soapstone,Railbelt Grid,104.8,Subbituminous Coal,2021
