fips_code,name,service_area_capacity_mw,fuel_type,year
0200650,Akhiok,0.3,Distillate Fuel Oil,2021
0200760,Akiachak,1.5,Distillate Fuel Oil,2021
0200870,Akiak,0.9,Distillate Fuel Oil,2021
0201090,Akutan,0.1,Water at Hydroelectric Turbine,2021
0201090,Akutan,0.4,Distillate Fuel Oil,2021
0201200,Alakanuk,0.8,Distillate Fuel Oil,2021
0201390,Alcan Border,1.1,Distillate Fuel Oil,2021
0201420,Aleknagik,11.0,Distillate Fuel Oil,2021
0201970,Ambler,1.1,Distillate Fuel Oil,2021
0202080,Anaktuvuk Pass,2.7,Distillate Fuel Oil,2021
0203110,Anchor Point,2.2,Distillate Fuel Oil,2021
0203110,Anchor Point,46.5,Electricity used for Energy Storage,2021
0203110,Anchor Point,126.0,Water at Hydroelectric Turbine,2021
0203110,Anchor Point,278.6,Natural Gas,2021
0203000,Anchorage,2.0,Distillate Fuel Oil,2021
0203000,Anchorage,3.0,Electricity used for Energy Storage,2021
0203000,Anchorage,18.0,Wind,2021
0203000,Anchorage,19.4,Water at Hydroelectric Turbine,2021
0203000,Anchorage,954.1,Natural Gas,2021
0203220,Anderson,0.6,Solar,2021
0203220,Anderson,26.5,Wind,2021
0203220,Anderson,40.0,Electricity used for Energy Storage,2021
0203220,Anderson,60.0,Waste Oil,2021
0203220,Anderson,174.8,Coal,2021
0203220,Anderson,204.7,Distillate Fuel Oil,2021
0203440,Angoon,1.5,Distillate Fuel Oil,2021
0203550,Aniak,2.2,Distillate Fuel Oil,2021
0203880,Anvik,0.4,Distillate Fuel Oil,2021
0204210,Atka,0.3,Distillate Fuel Oil,2021
0204210,Atka,0.3,Water at Hydroelectric Turbine,2021
0204430,Atmautluak,1.1,Distillate Fuel Oil,2021
0204500,Atqasuk,3.2,Distillate Fuel Oil,2021
0205000,Badger,0.6,Solar,2021
0205000,Badger,26.5,Wind,2021
0205000,Badger,40.0,Electricity used for Energy Storage,2021
0205000,Badger,60.0,Waste Oil,2021
0205000,Badger,174.8,Coal,2021
0205000,Badger,204.7,Distillate Fuel Oil,2021
0205585,Bear Creek,15.6,Distillate Fuel Oil,2021
0205750,Beaver,0.3,Distillate Fuel Oil,2021
0206245,Beluga,2.0,Distillate Fuel Oil,2021
0206245,Beluga,3.0,Electricity used for Energy Storage,2021
0206245,Beluga,18.0,Wind,2021
0206245,Beluga,19.4,Water at Hydroelectric Turbine,2021
0206245,Beluga,954.1,Natural Gas,2021
0206520,Bethel,0.9,Wind,2021
0206520,Bethel,12.6,Distillate Fuel Oil,2021
0206630,Bettles,0.6,Distillate Fuel Oil,2021
0206850,Big Delta,0.6,Solar,2021
0206850,Big Delta,26.5,Wind,2021
0206850,Big Delta,40.0,Electricity used for Energy Storage,2021
0206850,Big Delta,60.0,Waste Oil,2021
0206850,Big Delta,174.8,Coal,2021
0206850,Big Delta,204.7,Distillate Fuel Oil,2021
0207070,Big Lake,1.3,Solar,2021
0207070,Big Lake,11.5,Landfill Gas,2021
0207070,Big Lake,45.6,Water at Hydroelectric Turbine,2021
0207070,Big Lake,171.0,Natural Gas,2021
0208740,Brevig Mission,1.0,Distillate Fuel Oil,2021
0209600,Buckland,0.0,Solar,2021
0209600,Buckland,0.2,Wind,2021
0209600,Buckland,0.3,Electricity used for Energy Storage,2021
0209600,Buckland,1.2,Distillate Fuel Oil,2021
0209657,Buffalo Soapstone,1.3,Solar,2021
0209657,Buffalo Soapstone,11.5,Landfill Gas,2021
0209657,Buffalo Soapstone,45.6,Water at Hydroelectric Turbine,2021
0209657,Buffalo Soapstone,171.0,Natural Gas,2021
0209710,Butte,1.3,Solar,2021
0209710,Butte,11.5,Landfill Gas,2021
0209710,Butte,45.6,Water at Hydroelectric Turbine,2021
0209710,Butte,171.0,Natural Gas,2021
0210150,Cantwell,0.6,Solar,2021
0210150,Cantwell,26.5,Wind,2021
0210150,Cantwell,40.0,Electricity used for Energy Storage,2021
0210150,Cantwell,60.0,Waste Oil,2021
0210150,Cantwell,174.8,Coal,2021
0210150,Cantwell,204.7,Distillate Fuel Oil,2021
0211690,Central,0.3,Distillate Fuel Oil,2021
0211800,Chalkyitsik,0.3,Distillate Fuel Oil,2021
0212350,Chase,1.3,Solar,2021
0212350,Chase,11.5,Landfill Gas,2021
0212350,Chase,45.6,Water at Hydroelectric Turbine,2021
0212350,Chase,171.0,Natural Gas,2021
0212680,Chefornak,0.3,Wind,2021
0212680,Chefornak,0.9,Distillate Fuel Oil,2021
0212920,Chena Ridge,0.6,Solar,2021
0212920,Chena Ridge,26.5,Wind,2021
0212920,Chena Ridge,40.0,Electricity used for Energy Storage,2021
0212920,Chena Ridge,60.0,Waste Oil,2021
0212920,Chena Ridge,174.8,Coal,2021
0212920,Chena Ridge,204.7,Distillate Fuel Oil,2021
0212970,Chenega,0.5,Distillate Fuel Oil,2021
0213230,Chevak,0.4,Wind,2021
0213230,Chevak,1.8,Distillate Fuel Oil,2021
0213340,Chickaloon,1.3,Solar,2021
