fips_code,name,grid_id,grid_name,capacity_mw,fuel_type_code,fuel_type_name,year
0200065,Adak,186,Adak Grid,,,,
0200650,Akhiok,1,Akhiok Grid,0.3,DFO,Distillate Fuel Oil,2021
0200760,Akiachak,2,Akiachak Grid,1.5,DFO,Distillate Fuel Oil,2021
0200870,Akiak,3,Akiak Grid,0.9,DFO,Distillate Fuel Oil,2021
0201090,Akutan,4,Akutan Grid,0.1,WAT,Water at Hydroelectric Turbine,2021
0201090,Akutan,4,Akutan Grid,0.4,DFO,Distillate Fuel Oil,2021
0201200,Alakanuk,45,Emmonak Grid,0.4,WND,Wind,2021
0201200,Alakanuk,45,Emmonak Grid,3.2,DFO,Distillate Fuel Oil,2021
0201305,Alatna,5,Allakaket Grid,,,,
0201390,Alcan Border,,,,,,
0201420,Aleknagik,169,Dillingham Grid,11.0,DFO,Distillate Fuel Oil,2021
0201560,Aleneva,,,,,,
0201860,Allakaket,5,Allakaket Grid,,,,
0201970,Ambler,35,Ambler Grid,1.1,DFO,Distillate Fuel Oil,2021
0202080,Anaktuvuk Pass,160,Anaktuvuk Pass Grid,2.7,DFO,Distillate Fuel Oil,2021
0203110,Anchor Point,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0203110,Anchor Point,215,Railbelt Grid,44.5,WND,Wind,2021
0203110,Anchor Point,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0203110,Anchor Point,215,Railbelt Grid,1.9,SUN,Solar,2021
0203110,Anchor Point,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0203110,Anchor Point,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0203110,Anchor Point,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0203110,Anchor Point,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0203110,Anchor Point,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0203110,Anchor Point,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0203000,Anchorage,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0203000,Anchorage,215,Railbelt Grid,44.5,WND,Wind,2021
0203000,Anchorage,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0203000,Anchorage,215,Railbelt Grid,1.9,SUN,Solar,2021
0203000,Anchorage,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0203000,Anchorage,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0203000,Anchorage,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0203000,Anchorage,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0203000,Anchorage,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0203000,Anchorage,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0203220,Anderson,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0203220,Anderson,215,Railbelt Grid,44.5,WND,Wind,2021
0203220,Anderson,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0203220,Anderson,215,Railbelt Grid,1.9,SUN,Solar,2021
0203220,Anderson,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0203220,Anderson,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0203220,Anderson,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0203220,Anderson,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0203220,Anderson,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0203220,Anderson,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0203440,Angoon,125,Angoon Grid,1.5,DFO,Distillate Fuel Oil,2021
0203550,Aniak,93,Aniak Grid,2.2,DFO,Distillate Fuel Oil,2021
0203880,Anvik,36,Anvik Grid,0.4,DFO,Distillate Fuel Oil,2021
0203990,Arctic Village,94,Arctic Village Grid,0.4,DFO,Distillate Fuel Oil,2021
0204210,Atka,95,Atka Grid,0.3,WAT,Water at Hydroelectric Turbine,2021
0204210,Atka,95,Atka Grid,0.3,DFO,Distillate Fuel Oil,2021
0204430,Atmautluak,96,Atmautluak Grid,1.1,DFO,Distillate Fuel Oil,2021
0204500,Atqasuk,161,Atqasuk Grid,3.2,DFO,Distillate Fuel Oil,2021
0204670,Attu Station,,,,,,
0205000,Badger,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0205000,Badger,215,Railbelt Grid,44.5,WND,Wind,2021
0205000,Badger,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0205000,Badger,215,Railbelt Grid,1.9,SUN,Solar,2021
0205000,Badger,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0205000,Badger,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0205000,Badger,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0205000,Badger,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0205000,Badger,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0205000,Badger,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0205585,Bear Creek,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0205585,Bear Creek,215,Railbelt Grid,44.5,WND,Wind,2021
0205585,Bear Creek,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0205585,Bear Creek,215,Railbelt Grid,1.9,SUN,Solar,2021
0205585,Bear Creek,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0205585,Bear Creek,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0205585,Bear Creek,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0205585,Bear Creek,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0205585,Bear Creek,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0205585,Bear Creek,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0205750,Beaver,97,Beaver Grid,0.3,DFO,Distillate Fuel Oil,2021
0206245,Beluga,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0206245,Beluga,215,Railbelt Grid,44.5,WND,Wind,2021
0206245,Beluga,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0206245,Beluga,215,Railbelt Grid,1.9,SUN,Solar,2021
0206245,Beluga,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0206245,Beluga,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0206245,Beluga,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0206245,Beluga,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0206245,Beluga,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0206245,Beluga,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0206520,Bethel,34,Bethel Grid,0.9,WND,Wind,2021
0206520,Bethel,34,Bethel Grid,12.9,DFO,Distillate Fuel Oil,2021
0206630,Bettles,7,Bettles Grid,0.6,DFO,Distillate Fuel Oil,2021
0206850,Big Delta,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0206850,Big Delta,215,Railbelt Grid,44.5,WND,Wind,2021
0206850,Big Delta,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0206850,Big Delta,215,Railbelt Grid,1.9,SUN,Solar,2021
0206850,Big Delta,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0206850,Big Delta,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0206850,Big Delta,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0206850,Big Delta,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0206850,Big Delta,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0206850,Big Delta,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0207070,Big Lake,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0207070,Big Lake,215,Railbelt Grid,44.5,WND,Wind,2021
0207070,Big Lake,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0207070,Big Lake,215,Railbelt Grid,1.9,SUN,Solar,2021
0207070,Big Lake,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0207070,Big Lake,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0207070,Big Lake,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0207070,Big Lake,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0207070,Big Lake,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0207070,Big Lake,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0207620,Birch Creek,98,Birch Creek Grid,,,,
0208740,Brevig Mission,39,Brevig Mission Grid,1.0,DFO,Distillate Fuel Oil,2021
0209600,Buckland,99,Buckland Grid,0.2,WND,Wind,2021
0209600,Buckland,99,Buckland Grid,0.0,SUN,Solar,2021
0209600,Buckland,99,Buckland Grid,0.3,MWH,Electricity used for Energy Storage,2021
0209600,Buckland,99,Buckland Grid,1.2,DFO,Distillate Fuel Oil,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,60.0,WO,Waste Oil,2021
