fips_code,name,grid_id,net_generation_mwh,fuel_type,year,month
0200065,Adak,186,192.112,DFO,2021,4
0200065,Adak,186,173.994,DFO,2021,5
0200065,Adak,186,182.171,DFO,2021,1
0200065,Adak,186,165.578,DFO,2021,9
0200065,Adak,186,127.303,DFO,2021,10
0200065,Adak,186,186.451,DFO,2021,12
0200065,Adak,186,171.553,DFO,2021,2
0200065,Adak,186,173.087,DFO,2021,3
0200065,Adak,186,167.729,DFO,2021,6
0200065,Adak,186,155.388,DFO,2021,7
0200065,Adak,186,150.584,DFO,2021,8
0200650,Akhiok,1,20.842,DFO,2021,3
0200650,Akhiok,1,14.138,DFO,2021,5
0200650,Akhiok,1,25.604,DFO,2021,6
0200650,Akhiok,1,20.85,DFO,2021,7
0200650,Akhiok,1,23.479,DFO,2021,8
0200650,Akhiok,1,22.496,DFO,2021,9
0200650,Akhiok,1,23.976,DFO,2021,10
0200650,Akhiok,1,20.233,DFO,2021,2
0200650,Akhiok,1,20.348,DFO,2021,1
0200650,Akhiok,1,42.955,DFO,2021,12
0200650,Akhiok,1,30.028,DFO,2021,11
0200650,Akhiok,1,21.882,DFO,2021,4
0200760,Akiachak,2,177.694,DFO,2021,3
0200760,Akiachak,2,198.524,DFO,2021,11
0200760,Akiachak,2,192.354,DFO,2021,12
0200760,Akiachak,2,223.2,DFO,2021,1
0200760,Akiachak,2,173.476,DFO,2021,4
0200760,Akiachak,2,147.692,DFO,2021,2
0200760,Akiachak,2,149.538,DFO,2021,5
0200760,Akiachak,2,136.38,DFO,2021,6
0200760,Akiachak,2,131.782,DFO,2021,7
0200760,Akiachak,2,149.828,DFO,2021,8
0200760,Akiachak,2,148.241,DFO,2021,9
0200760,Akiachak,2,174.992,DFO,2021,10
0200870,Akiak,3,113.586,DFO,2021,1
0200870,Akiak,3,111.108,DFO,2021,2
0201090,Akutan,4,10.465,WAT,2021,7
0201090,Akutan,4,16.25,WAT,2021,8
0201090,Akutan,4,37.864,DFO,2021,8
0201090,Akutan,4,14.668,WAT,2021,9
0201090,Akutan,4,43.143,DFO,2021,9
0201090,Akutan,4,18.155,WAT,2021,10
0201090,Akutan,4,49.549,DFO,2021,12
0201090,Akutan,4,15.549,WAT,2021,12
0201090,Akutan,4,39.344,DFO,2021,11
0201090,Akutan,4,7.172,WAT,2021,11
0201090,Akutan,4,44.192,DFO,2021,10
0201090,Akutan,4,39.849,DFO,2021,4
0201090,Akutan,4,2.336,WAT,2021,1
0201090,Akutan,4,54.929,DFO,2021,1
0201090,Akutan,4,18.619,WAT,2021,2
0201090,Akutan,4,38.209,DFO,2021,2
