fips_code,name,grid_id,net_generation_mwh,fuel_type,year
0200065,Adak,186,1846,DFO,2021
0200650,Akhiok,1,287,DFO,2021
0200760,Akiachak,2,2004,DFO,2021
0200870,Akiak,3,225,DFO,2021
0201090,Akutan,4,168,WAT,2021
0201090,Akutan,4,515,DFO,2021
0201200,Alakanuk,45,563,WND,2021
0201200,Alakanuk,45,5356,DFO,2021
0201305,Alatna,5,662,DFO,2021
0201390,Alcan Border,,,,
0201420,Aleknagik,169,19100,DFO,2021
0201560,Aleneva,,,,
0201860,Allakaket,5,662,DFO,2021
0201970,Ambler,35,1331,DFO,2021
0202080,Anaktuvuk Pass,160,4260,DFO,2021
0203110,Anchor Point,215,-3433,MWH,2021
0203110,Anchor Point,215,672,JF,2021
0203110,Anchor Point,215,38071,LFG,2021
0203110,Anchor Point,215,92790,WC,2021
0203110,Anchor Point,215,102061,WND,2021
0203110,Anchor Point,215,106468,DFO,2021
0203110,Anchor Point,215,273652,LIG,2021
0203110,Anchor Point,215,375532,WO,2021
0203110,Anchor Point,215,386453,SUB,2021
0203110,Anchor Point,215,567393,WAT,2021
0203110,Anchor Point,215,2984081,NG,2021
0203000,Anchorage,215,-3433,MWH,2021
0203000,Anchorage,215,672,JF,2021
0203000,Anchorage,215,38071,LFG,2021
0203000,Anchorage,215,92790,WC,2021
0203000,Anchorage,215,102061,WND,2021
0203000,Anchorage,215,106468,DFO,2021
0203000,Anchorage,215,273652,LIG,2021
0203000,Anchorage,215,375532,WO,2021
0203000,Anchorage,215,386453,SUB,2021
0203000,Anchorage,215,567393,WAT,2021
0203000,Anchorage,215,2984081,NG,2021
0203220,Anderson,215,-3433,MWH,2021
0203220,Anderson,215,672,JF,2021
0203220,Anderson,215,38071,LFG,2021
0203220,Anderson,215,92790,WC,2021
0203220,Anderson,215,102061,WND,2021
0203220,Anderson,215,106468,DFO,2021
0203220,Anderson,215,273652,LIG,2021
0203220,Anderson,215,375532,WO,2021
0203220,Anderson,215,386453,SUB,2021
0203220,Anderson,215,567393,WAT,2021
0203220,Anderson,215,2984081,NG,2021
0203440,Angoon,125,1822,DFO,2021
0203550,Aniak,93,2671,DFO,2021
0203880,Anvik,36,400,DFO,2021
0203990,Arctic Village,94,467,DFO,2021
0204210,Atka,95,57,DFO,2021
0204210,Atka,95,310,WAT,2021
0204430,Atmautluak,96,1113,DFO,2021
0204500,Atqasuk,161,2161,DFO,2021
0204670,Attu Station,,,,
0205000,Badger,215,-3433,MWH,2021
0205000,Badger,215,672,JF,2021
0205000,Badger,215,38071,LFG,2021
0205000,Badger,215,92790,WC,2021
0205000,Badger,215,102061,WND,2021
0205000,Badger,215,106468,DFO,2021
0205000,Badger,215,273652,LIG,2021
0205000,Badger,215,375532,WO,2021
0205000,Badger,215,386453,SUB,2021
0205000,Badger,215,567393,WAT,2021
0205000,Badger,215,2984081,NG,2021
0205585,Bear Creek,215,-3433,MWH,2021
0205585,Bear Creek,215,672,JF,2021
0205585,Bear Creek,215,38071,LFG,2021
0205585,Bear Creek,215,92790,WC,2021
0205585,Bear Creek,215,102061,WND,2021
0205585,Bear Creek,215,106468,DFO,2021
0205585,Bear Creek,215,273652,LIG,2021
0205585,Bear Creek,215,375532,WO,2021
0205585,Bear Creek,215,386453,SUB,2021
0205585,Bear Creek,215,567393,WAT,2021
0205585,Bear Creek,215,2984081,NG,2021
0205750,Beaver,97,91,DFO,2021
0206245,Beluga,215,-3433,MWH,2021
0206245,Beluga,215,672,JF,2021
0206245,Beluga,215,38071,LFG,2021
0206245,Beluga,215,92790,WC,2021
0206245,Beluga,215,102061,WND,2021
0206245,Beluga,215,106468,DFO,2021
0206245,Beluga,215,273652,LIG,2021
0206245,Beluga,215,375532,WO,2021
0206245,Beluga,215,386453,SUB,2021
0206245,Beluga,215,567393,WAT,2021
0206245,Beluga,215,2984081,NG,2021
0206520,Bethel,34,1341,WND,2021
0206520,Bethel,34,41602,DFO,2021
0206630,Bettles,7,518,DFO,2021
