fips_code,name,residents_employed,unemployment_insurance_claimants,measurement_year
0200065,Adak,38,6,2016
0200065,Adak,38,6,2015
0200065,Adak,29,4,2014
0200065,Adak,35,10,2013
0200065,Adak,42,10,2012
0200065,Adak,47,15,2011
0200065,Adak,40,15,2010
0200065,Adak,38,9,2009
0200065,Adak,40,8,2008
0200065,Adak,29,5,2007
0200065,Adak,36,6,2006
0200065,Adak,44,10,2005
0200065,Adak,38,4,2004
0200065,Adak,48,7,2003
0200065,Adak,58,14,2002
0200065,Adak,69,19,2001
0200650,Akhiok,36,6,2016
0200650,Akhiok,36,6,2015
0200650,Akhiok,30,6,2014
0200650,Akhiok,29,15,2013
0200650,Akhiok,32,9,2012
0200650,Akhiok,28,12,2011
0200650,Akhiok,31,13,2010
0200650,Akhiok,29,14,2009
0200650,Akhiok,32,8,2008
0200650,Akhiok,26,10,2007
0200650,Akhiok,28,5,2006
0200650,Akhiok,28,3,2005
0200650,Akhiok,32,6,2004
0200650,Akhiok,29,2,2003
0200650,Akhiok,29,4,2002
0200650,Akhiok,35,8,2001
0200760,Akiachak,283,75,2016
0200760,Akiachak,283,75,2015
0200760,Akiachak,269,82,2014
0200760,Akiachak,257,114,2013
0200760,Akiachak,288,113,2012
0200760,Akiachak,310,120,2011
0200760,Akiachak,308,124,2010
0200760,Akiachak,295,128,2009
0200760,Akiachak,307,120,2008
0200760,Akiachak,295,100,2007
0200760,Akiachak,301,92,2006
0200760,Akiachak,292,90,2005
0200760,Akiachak,296,99,2004
0200760,Akiachak,284,86,2003
0200760,Akiachak,295,90,2002
0200760,Akiachak,267,77,2001
0200870,Akiak,183,58,2016
0200870,Akiak,183,58,2015
0200870,Akiak,190,52,2014
0200870,Akiak,178,73,2013
0200870,Akiak,201,82,2012
0200870,Akiak,198,73,2011
0200870,Akiak,199,85,2010
0200870,Akiak,194,74,2009
0200870,Akiak,181,70,2008
0200870,Akiak,177,52,2007
0200870,Akiak,186,45,2006
0200870,Akiak,188,45,2005
0200870,Akiak,179,52,2004
0200870,Akiak,174,39,2003
0200870,Akiak,177,40,2002
0200870,Akiak,161,19,2001
0201090,Akutan,167,63,2016
0201090,Akutan,167,63,2015
0201090,Akutan,128,44,2014
0201090,Akutan,122,42,2013
0201090,Akutan,126,45,2012
0201090,Akutan,127,42,2011
0201090,Akutan,132,40,2010
0201090,Akutan,127,43,2009
0201090,Akutan,78,14,2008
0201090,Akutan,70,17,2007
0201090,Akutan,77,15,2006
0201090,Akutan,92,20,2005
0201090,Akutan,99,29,2004
0201090,Akutan,111,23,2003
0201090,Akutan,93,22,2002
0201090,Akutan,103,27,2001
0201200,Alakanuk,289,94,2016
0201200,Alakanuk,289,94,2015
0201200,Alakanuk,322,84,2014
0201200,Alakanuk,294,107,2013
0201200,Alakanuk,288,113,2012
0201200,Alakanuk,274,114,2011
0201200,Alakanuk,278,93,2010
0201200,Alakanuk,272,98,2009
0201200,Alakanuk,242,84,2008
0201200,Alakanuk,251,90,2007
0201200,Alakanuk,240,80,2006
0201200,Alakanuk,252,80,2005
0201200,Alakanuk,238,77,2004
0201200,Alakanuk,248,77,2003
0201200,Alakanuk,255,86,2002
0201200,Alakanuk,241,58,2001
0201305,Alatna,11,5,2016
0201305,Alatna,11,5,2015
0201305,Alatna,5,3,2014
0201305,Alatna,8,4,2013
0201305,Alatna,10,5,2012
0201305,Alatna,17,5,2011
0201305,Alatna,16,7,2010
0201305,Alatna,12,5,2009
0201305,Alatna,16,10,2008
0201305,Alatna,16,6,2007
0201305,Alatna,19,9,2006
0201305,Alatna,17,7,2005
0201305,Alatna,15,7,2004
0201305,Alatna,12,4,2003
0201305,Alatna,11,6,2002
0201305,Alatna,10,5,2001
