fips_code,name,grid,net_generation_mwh,fuel_type,month,year
0200065,Adak,Adak Grid,186.5,Distillate Fuel Oil,12,2021
0200065,Adak,Adak Grid,127.3,Distillate Fuel Oil,10,2021
0200065,Adak,Adak Grid,165.6,Distillate Fuel Oil,9,2021
0200065,Adak,Adak Grid,150.6,Distillate Fuel Oil,8,2021
0200065,Adak,Adak Grid,155.4,Distillate Fuel Oil,7,2021
0200065,Adak,Adak Grid,167.7,Distillate Fuel Oil,6,2021
0200065,Adak,Adak Grid,174.0,Distillate Fuel Oil,5,2021
0200065,Adak,Adak Grid,192.1,Distillate Fuel Oil,4,2021
0200065,Adak,Adak Grid,173.1,Distillate Fuel Oil,3,2021
0200065,Adak,Adak Grid,171.6,Distillate Fuel Oil,2,2021
0200065,Adak,Adak Grid,182.2,Distillate Fuel Oil,1,2021
0200650,Akhiok,Akhiok Grid,43.0,Distillate Fuel Oil,12,2021
0200650,Akhiok,Akhiok Grid,30.0,Distillate Fuel Oil,11,2021
0200650,Akhiok,Akhiok Grid,24.0,Distillate Fuel Oil,10,2021
0200650,Akhiok,Akhiok Grid,22.5,Distillate Fuel Oil,9,2021
0200650,Akhiok,Akhiok Grid,23.5,Distillate Fuel Oil,8,2021
0200650,Akhiok,Akhiok Grid,20.9,Distillate Fuel Oil,7,2021
0200650,Akhiok,Akhiok Grid,25.6,Distillate Fuel Oil,6,2021
0200650,Akhiok,Akhiok Grid,14.1,Distillate Fuel Oil,5,2021
0200650,Akhiok,Akhiok Grid,21.9,Distillate Fuel Oil,4,2021
0200650,Akhiok,Akhiok Grid,20.8,Distillate Fuel Oil,3,2021
0200650,Akhiok,Akhiok Grid,20.2,Distillate Fuel Oil,2,2021
0200650,Akhiok,Akhiok Grid,20.3,Distillate Fuel Oil,1,2021
0200760,Akiachak,Akiachak Grid,192.4,Distillate Fuel Oil,12,2021
0200760,Akiachak,Akiachak Grid,198.5,Distillate Fuel Oil,11,2021
0200760,Akiachak,Akiachak Grid,175.0,Distillate Fuel Oil,10,2021
0200760,Akiachak,Akiachak Grid,148.2,Distillate Fuel Oil,9,2021
0200760,Akiachak,Akiachak Grid,149.8,Distillate Fuel Oil,8,2021
0200760,Akiachak,Akiachak Grid,131.8,Distillate Fuel Oil,7,2021
