fips_code,name,service_area_net_generation_mwh,fuel_type,year,month
0200065,Adak,182,Distillate Fuel Oil,2021,1
0200065,Adak,172,Distillate Fuel Oil,2021,2
0200065,Adak,173,Distillate Fuel Oil,2021,3
0200065,Adak,192,Distillate Fuel Oil,2021,4
0200065,Adak,174,Distillate Fuel Oil,2021,5
0200065,Adak,168,Distillate Fuel Oil,2021,6
0200065,Adak,155,Distillate Fuel Oil,2021,7
0200065,Adak,151,Distillate Fuel Oil,2021,8
0200065,Adak,166,Distillate Fuel Oil,2021,9
0200065,Adak,127,Distillate Fuel Oil,2021,10
0200065,Adak,187,Distillate Fuel Oil,2021,12
0200650,Akhiok,20,Distillate Fuel Oil,2021,1
0200650,Akhiok,20,Distillate Fuel Oil,2021,2
0200650,Akhiok,21,Distillate Fuel Oil,2021,3
0200650,Akhiok,22,Distillate Fuel Oil,2021,4
0200650,Akhiok,14,Distillate Fuel Oil,2021,5
0200650,Akhiok,26,Distillate Fuel Oil,2021,6
0200650,Akhiok,21,Distillate Fuel Oil,2021,7
0200650,Akhiok,24,Distillate Fuel Oil,2021,8
0200650,Akhiok,23,Distillate Fuel Oil,2021,9
0200650,Akhiok,24,Distillate Fuel Oil,2021,10
0200650,Akhiok,30,Distillate Fuel Oil,2021,11
0200650,Akhiok,43,Distillate Fuel Oil,2021,12
0200760,Akiachak,223,Distillate Fuel Oil,2021,1
0200760,Akiachak,148,Distillate Fuel Oil,2021,2
0200760,Akiachak,178,Distillate Fuel Oil,2021,3
0200760,Akiachak,174,Distillate Fuel Oil,2021,4
0200760,Akiachak,150,Distillate Fuel Oil,2021,5
0200760,Akiachak,136,Distillate Fuel Oil,2021,6
0200760,Akiachak,132,Distillate Fuel Oil,2021,7
0200760,Akiachak,150,Distillate Fuel Oil,2021,8
0200760,Akiachak,148,Distillate Fuel Oil,2021,9
0200760,Akiachak,175,Distillate Fuel Oil,2021,10
0200760,Akiachak,199,Distillate Fuel Oil,2021,11
0200760,Akiachak,192,Distillate Fuel Oil,2021,12
0200870,Akiak,114,Distillate Fuel Oil,2021,1
0200870,Akiak,111,Distillate Fuel Oil,2021,2
0201090,Akutan,2,Water at Hydroelectric Turbine,2021,1
0201090,Akutan,55,Distillate Fuel Oil,2021,1
0201090,Akutan,19,Water at Hydroelectric Turbine,2021,2
0201090,Akutan,38,Distillate Fuel Oil,2021,2
0201090,Akutan,21,Water at Hydroelectric Turbine,2021,3
0201090,Akutan,61,Distillate Fuel Oil,2021,3
0201090,Akutan,4,Water at Hydroelectric Turbine,2021,4
0201090,Akutan,40,Distillate Fuel Oil,2021,4
0201090,Akutan,23,Water at Hydroelectric Turbine,2021,5
0201090,Akutan,30,Distillate Fuel Oil,2021,5
0201090,Akutan,17,Water at Hydroelectric Turbine,2021,6
0201090,Akutan,33,Distillate Fuel Oil,2021,6
0201090,Akutan,11,Water at Hydroelectric Turbine,2021,7
0201090,Akutan,45,Distillate Fuel Oil,2021,7
0201090,Akutan,16,Water at Hydroelectric Turbine,2021,8
0201090,Akutan,38,Distillate Fuel Oil,2021,8
0201090,Akutan,15,Water at Hydroelectric Turbine,2021,9
0201090,Akutan,43,Distillate Fuel Oil,2021,9
0201090,Akutan,18,Water at Hydroelectric Turbine,2021,10
0201090,Akutan,44,Distillate Fuel Oil,2021,10
0201090,Akutan,7,Water at Hydroelectric Turbine,2021,11
0201090,Akutan,39,Distillate Fuel Oil,2021,11
0201090,Akutan,16,Water at Hydroelectric Turbine,2021,12
0201090,Akutan,50,Distillate Fuel Oil,2021,12
0201200,Alakanuk,0,Jet Fuel,2021,1
0201200,Alakanuk,0,Jet Fuel,2021,2
0201200,Alakanuk,0,Jet Fuel,2021,3
0201200,Alakanuk,0,Jet Fuel,2021,4
0201200,Alakanuk,0,Jet Fuel,2021,5
0201200,Alakanuk,0,Jet Fuel,2021,6
0201200,Alakanuk,0,Jet Fuel,2021,7
0201200,Alakanuk,0,Jet Fuel,2021,8
0201200,Alakanuk,0,Jet Fuel,2021,9
0201200,Alakanuk,0,Jet Fuel,2021,10
0201200,Alakanuk,0,Jet Fuel,2021,11
0201200,Alakanuk,0,Jet Fuel,2021,12
0201305,Alatna,70,Distillate Fuel Oil,2021,1
0201305,Alatna,71,Distillate Fuel Oil,2021,2
0201305,Alatna,60,Distillate Fuel Oil,2021,3
0201305,Alatna,62,Distillate Fuel Oil,2021,4
0201305,Alatna,52,Distillate Fuel Oil,2021,5
0201305,Alatna,42,Distillate Fuel Oil,2021,6
0201305,Alatna,41,Distillate Fuel Oil,2021,7
