fips_code,name,start_year,end_year,is_most_recent,estimated_pop_age_total,estimated_pop_age_under_5,estimated_pop_age_5_9,estimated_pop_age_10_14,estimated_pop_age_15_19,estimated_pop_age_20_24,estimated_pop_age_25_34,estimated_pop_age_35_44,estimated_pop_age_45_54,estimated_pop_age_55_59,estimated_pop_age_60_64,estimated_pop_age_65_74,estimated_pop_age_75_84,estimated_pop_age_85_plus,estimated_pop_age_median_age,estimated_pop_age_under_18,estimated_pop_age_18_plus,estimated_pop_age_21_plus,estimated_pop_age_62_plus,estimated_pop_age_65_plus,estimated_pop_total,estimated_pop_male,estimated_pop_female
0200065,Adak,2019,2023,1,141,3,0,1,3,15,6,2,48,14,28,17,0,4,53.6,4,137,134,40,21,141,89,52
0200650,Akhiok,2019,2023,1,117,3,0,0,0,8,35,8,14,46,0,0,0,3,50.3,3,114,114,3,3,117,72,45
0200760,Akiachak,2019,2023,1,629,104,93,66,32,58,82,47,55,30,10,44,8,0,22.6,292,337,329,62,52,629,295,334
0200870,Akiak,2019,2023,1,273,21,28,39,36,8,33,36,21,7,13,28,0,3,25.6,107,166,149,38,31,273,150,123
0201090,Akutan,2019,2023,1,737,13,9,4,4,60,177,203,125,47,56,37,2,0,40.4,28,709,707,46,39,737,563,174
0201200,Alakanuk,2019,2023,1,997,133,93,136,112,58,158,112,61,64,24,36,10,0,21.5,438,559,506,52,46,997,566,431
0201305,Alatna,2019,2023,1,22,0,0,0,1,1,1,11,0,0,0,7,1,0,43.6,0,22,20,8,8,22,9,13
0201390,Alcan Border,2019,2023,1,5,0,0,0,0,0,2,0,2,1,0,0,0,0,47.3,0,5,5,0,0,5,5,0
0201420,Aleknagik,2019,2023,1,109,2,4,7,3,7,17,9,4,19,12,21,2,2,55.4,16,93,92,37,25,109,51,58
0201560,Aleneva,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0201860,Allakaket,2019,2023,1,173,37,24,2,5,1,66,14,2,16,4,0,0,2,26.6,68,105,105,6,2,173,115,58
0201970,Ambler,2019,2023,1,201,21,28,12,4,10,30,16,15,8,6,32,14,5,33.8,65,136,130,54,51,201,100,101
0202080,Anaktuvuk Pass,2019,2023,1,277,37,35,27,32,12,61,23,16,10,6,15,3,0,23.2,120,157,141,19,18,277,163,114
0203110,Anchor Point,2019,2023,1,2291,65,117,133,104,63,173,284,354,198,195,397,168,40,51.4,391,1900,1866,701,605,2291,1254,1037
0203000,Anchorage,2019,2023,1,289069,18776,20339,18403,17885,21171,48210,41120,33555,16784,16890,23679,9768,2489,34.9,68654,220415,209556,45864,35936,289069,147620,141449
0203220,Anderson,2019,2023,1,160,2,13,13,17,24,14,23,13,8,11,21,1,0,33,35,125,114,28,22,160,93,67
0203440,Angoon,2019,2023,1,467,39,28,33,16,54,28,57,42,16,44,67,25,18,43.3,113,354,349,133,110,467,263,204
0203550,Aniak,2019,2023,1,571,29,30,63,34,32,94,76,29,31,103,38,9,3,35.3,153,418,399,64,50,571,333,238
0203880,Anvik,2019,2023,1,85,7,8,8,5,27,3,6,6,3,2,5,5,0,24.3,26,59,56,12,10,85,34,51
0203990,Arctic Village,2019,2023,1,177,17,31,13,31,3,27,18,21,5,6,0,5,0,19.8,77,100,83,11,5,177,95,82
0204210,Atka,2019,2023,1,26,4,5,5,0,0,6,2,2,1,1,0,0,0,13.7,14,12,12,1,0,26,15,11
0204430,Atmautluak,2019,2023,1,38,3,4,6,0,2,7,12,0,4,0,0,0,0,26,13,25,25,0,0,38,21,17
0204500,Atqasuk,2019,2023,1,139,8,15,20,11,5,41,19,10,3,4,3,0,0,28.8,53,86,83,3,3,139,96,43
0204670,Attu Station,2019,2023,1,15,0,0,0,0,0,15,0,0,0,0,0,0,0,,0,15,15,0,0,15,15,0
0205000,Badger,2019,2023,1,19033,1223,1073,1568,1289,1327,3137,3078,1743,1567,902,1230,752,144,34.3,4656,14377,13520,2685,2126,19033,10592,8441
0205585,Bear Creek,2019,2023,1,1360,55,26,159,120,0,210,116,252,104,184,134,0,0,44.9,360,1000,1000,271,134,1360,735,625
0205750,Beaver,2019,2023,1,82,0,10,19,0,0,15,6,1,4,9,12,6,0,33.7,29,53,53,27,18,82,43,39
0206245,Beluga,2019,2023,1,5,0,0,0,0,0,3,0,0,0,0,0,2,0,,0,5,5,2,2,5,5,0
