fips_code,name,residential_rate,commercial_rate,industrial_rate,year
0200065,Adak,0.51,1.27,,2021
0200650,Akhiok,0.44,0.80,,2021
0200760,Akiachak,0.38,0.62,,2021
0200870,Akiak,0.30,0.53,,2021
0201090,Akutan,0.20,0.95,,2021
0201200,Alakanuk,0.27,0.51,,2021
0201305,Alatna,0.37,0.88,,2021
0201390,Alcan Border,0.36,0.68,,2021
0201420,Aleknagik,0.30,0.44,,2021
0201560,Aleneva,,,,
0201860,Allakaket,0.37,0.88,,2021
0201970,Ambler,0.26,0.64,,2021
0202080,Anaktuvuk Pass,0.15,0.15,,2021
0203110,Anchor Point,0.28,0.25,0.12,2021
0203000,Anchorage,0.21,0.16,0.14,2021
0203220,Anderson,0.27,0.26,0.18,2021
0203440,Angoon,0.29,0.63,,2021
0203550,Aniak,0.34,0.70,,2021
0203880,Anvik,0.26,,,2021
0203990,Arctic Village,0.27,1.00,,2021
0204210,Atka,0.41,0.63,,2021
0204430,Atmautluak,0.23,0.66,,2021
0204500,Atqasuk,0.15,0.15,,2021
0204670,Attu Station,,,,
0205000,Badger,0.27,0.26,0.18,2021
0205585,Bear Creek,,,,2021
0205750,Beaver,0.34,0.90,,2021
0206245,Beluga,0.21,0.16,0.14,2021
0206520,Bethel,0.26,0.32,,2021
0206630,Bettles,0.36,0.74,,2021
0206850,Big Delta,0.27,0.26,0.18,2021
0207070,Big Lake,0.21,0.19,,2021
0207620,Birch Creek,0.39,1.15,,2021
0208740,Brevig Mission,0.26,0.53,,2021
0209600,Buckland,0.36,0.48,,2021
0209657,Buffalo Soapstone,0.21,0.19,,2021
0209710,Butte,0.21,0.19,,2021
0210150,Cantwell,0.27,0.26,0.18,2021
0211690,Central,0.33,0.70,,2021
0211800,Chalkyitsik,0.45,0.95,,2021
0212350,Chase,0.21,0.19,,2021
0212680,Chefornak,0.34,0.55,,2021
0212920,Chena Ridge,0.27,0.26,0.18,2021
0212970,Chenega,0.57,0.88,,2021
0213230,Chevak,0.28,0.50,,2021
0213340,Chickaloon,0.21,0.19,,2021
0213450,Chicken,,,,
0213550,Chignik,0.24,0.42,,2021
0213670,Chignik Lagoon,0.33,0.58,,2021
0213780,Chignik Lake,0.37,0.70,,2021
0213860,Chiniak,0.18,0.17,0.15,2021
0213890,Chisana,,,,
0214000,Chistochina,0.35,0.64,,2021
0214110,Chitina,0.40,0.70,,2021
0214330,Chuathbaluk,0.36,1.11,,2021
0214880,Circle,0.27,0.80,,2021
0215320,Clam Gulch,0.28,0.25,0.12,2021
0215430,Clark's Point,0.50,0.93,,2021
0216360,Coffman Cove,0.28,0.29,,2021
0216420,Cohoe,0.28,0.25,0.12,2021
0216530,Cold Bay,0.21,0.72,,2021
0216630,Coldfoot,,,,
0216750,College,0.27,0.26,0.18,2021
0217190,Cooper Landing,0.21,0.16,0.14,2021
0217300,Copper Center,0.34,0.28,,2021
0217410,Cordova,0.31,0.37,,2021
0217670,Covenant Life,0.28,0.29,,2021
0217740,Craig,0.28,0.29,,2021
0217850,Crooked Creek,0.36,1.11,,2021
0217960,Crown Point,,,,2021
0218510,Deering,0.38,0.67,,2021
0218620,Delta Junction,0.27,0.26,0.18,2021
0218675,Deltana,0.27,0.26,0.18,2021
0218805,Denali Park,0.27,0.26,0.18,2021
0218925,Diamond Ridge,0.28,0.25,0.12,2021
0218950,Dillingham,0.30,0.44,,2021
0219060,Diomede,0.49,0.65,,2021
0219720,Dot Lake,0.21,0.44,,2021
0219750,Dot Lake Village,0.21,0.44,,2021
0220020,Dry Creek,0.21,0.44,,2021
0220380,Eagle,0.36,0.69,,2021
0220600,Eagle Village,0.36,0.69,,2021
0220716,Eareckson Station,,,,
0220970,Edna Bay,,,,
0221040,Eek,0.26,0.51,,2021
0221150,Egegik,0.22,0.65,,2021
0221370,Eielson AFB,0.27,0.26,0.18,2021
0221810,Ekwok,0.26,,,2021
0222140,Elfin Cove,0.31,0.66,,2021
0222250,Elim,0.26,0.51,,2021
0222910,Emmonak,0.27,0.51,,2021
0223460,Ester,0.27,0.26,0.18,2021
0223720,Eureka Roadhouse,0.34,0.28,,2021
0223790,Evansville,0.36,0.74,,2021
0223900,Excursion Inlet,,,,
0224230,Fairbanks,0.27,0.26,0.18,2021
0224660,False Pass,0.35,0.62,,2021
0225000,Farm Loop,0.21,0.19,,2021
0224980,Farmers Loop,0.27,0.26,0.18,2021
0225220,Ferry,0.27,0.26,0.18,2021
0225550,Fishhook,0.21,0.19,,2021
0225880,Flat,,,,
0226100,Fort Greely,0.27,0.26,0.18,2021
0226760,Fort Yukon,0.29,0.64,,2021
0226835,Four Mile Road,0.27,0.26,0.18,2021
0226870,Fox,0.27,0.26,0.18,2021
0226910,Fox River,0.28,0.25,0.12,2021
0227090,Fritz Creek,0.28,0.25,0.12,2021
0227145,Funny River,0.28,0.25,0.12,2021
0227420,Gakona,0.34,0.28,,2021
0227530,Galena,0.41,0.60,,2021
0227640,Gambell,0.27,0.53,,2021
0227700,Game Creek,,,,
0228200,Gateway,0.21,0.19,,2021
0228590,Glacier View,0.21,0.19,,2021
0228740,Glennallen,0.34,0.28,,2021
0229130,Goldstream,0.27,0.26,0.18,2021
0229180,Golovin,0.25,0.33,,2021
0229290,Goodnews Bay,0.26,0.53,,2021
0230060,Grayling,0.26,0.52,,2021
0230500,Gulkana,0.34,0.28,,2021
0230940,Gustavus,0.38,0.49,,2021
0231050,Haines,0.28,0.29,,2021
0231270,Halibut Cove,0.28,0.25,0.12,2021
0231710,Happy Valley,0.28,0.25,0.12,2021
0231765,Harding-Birch Lakes,,,,
0232150,Healy,0.27,0.26,0.18,2021
0232310,Healy Lake,0.36,0.78,,2021
0232550,Hobart Bay,,,,
0232810,Hollis,0.28,0.29,,2021
0233030,Holy Cross,0.26,,,2021
0233140,Homer,0.28,0.25,0.12,2021
0233360,Hoonah,0.29,0.63,,2021
0233470,Hooper Bay,0.27,0.50,,2021
0233580,Hope,0.21,0.16,0.14,2021
0233800,Houston,0.21,0.19,,2021
0233910,Hughes,0.22,0.71,,2021
0234350,Huslia,0.26,,,2021
0234460,Hydaburg,0.28,0.29,,2021
0234570,Hyder,,,,
0234790,Igiugig,0.24,0.92,,2021
0235120,Iliamna,0.28,0.64,,2021
0235890,Ivanof Bay,,,,
0236400,Juneau,0.12,0.10,0.11,2021
0236540,Kachemak,0.28,0.25,0.12,2021
0236770,Kake,0.29,0.63,,2021
0236990,Kaktovik,0.15,0.15,,2021
0237250,Kalifornsky,0.28,0.25,0.12,2021
0237430,Kaltag,0.26,,,2021
0237540,Karluk,0.32,0.70,,2021
0237650,Kasaan,0.28,0.29,,2021
0237975,Kasigluk,0.27,,,2021
0238090,Kasilof,0.28,0.25,0.12,2021
0238420,Kenai,0.28,0.25,0.12,2021
0238910,Kenny Lake,0.34,0.28,,2021
0238970,Ketchikan,0.12,0.11,0.10,2021
0239300,Kiana,0.26,0.53,,2021
0239410,King Cove,,,,
0239630,King Salmon,0.23,0.48,,2021
0239740,Kipnuk,0.20,0.69,,2021
0239960,Kivalina,0.26,0.52,,2021
0240400,Klawock,0.28,0.29,,2021
0240510,Klukwan,0.29,0.63,,2021
0240670,Knik River,0.21,0.19,,2021
0240645,Knik-Fairview,0.21,0.19,,2021
0240840,Kobuk,0.27,0.77,,2021
0240950,Kodiak,0.18,0.17,0.15,2021
0241210,Kodiak Station,0.18,0.17,0.15,2021
0241280,Kokhanok,0.41,0.90,,2021
0241500,Koliganek,0.24,0.50,,2021
0241610,Kongiganak,0.37,0.66,,2021
0241720,Kotlik,0.26,0.53,,2021
0241830,Kotzebue,0.23,0.36,,2021
0241940,Koyuk,0.26,0.51,,2021
0242050,Koyukuk,0.61,0.95,,2021
0242160,Kupreanof,,,,
0242380,Kwethluk,0.30,0.52,,2021
0242490,Kwigillingok,0.32,0.67,,2021
0242805,Lake Louise,,,,
0242820,Lake Minchumina,,,,
0243040,Larsen Bay,,,,
0243260,Lazy Mountain,0.21,0.19,,2021
0243810,Levelock,0.38,0.85,,2021
0244030,Lime Village,1.02,1.77,,2021
0244580,Livengood,0.27,0.26,0.18,2021
0245020,Loring,,,,
0245295,Lowell Point,,,,2021
0245460,Lower Kalskag,0.26,0.51,,2021
0245700,Lutak,0.28,0.29,,2021
0246780,Manley Hot Springs,0.29,1.02,,2021
0246890,Manokotak,0.41,0.60,,2021
0247000,Marshall,0.26,0.48,,2021
0245790,McCarthy,,,,
0246010,McGrath,0.41,0.78,,2021
0247735,Meadow Lakes,0.21,0.19,,2021
0247990,Mekoryuk,0.27,0.52,,2021
0248200,Mendeltna,0.34,0.28,,2021
0248540,Mentasta Lake,0.35,0.64,,2021
0248590,Mertarvik,,,,
0248870,Metlakatla,,,,2021
0249200,Mill Bay,0.18,0.17,0.15,2021
0249530,Minto,0.26,,,2021
0250080,Moose Creek,0.27,0.26,0.18,2021
0250190,Moose Pass,0.21,0.16,0.14,2021
0250800,Mosquito Lake,0.29,0.63,,2021
0251180,Mountain Village,0.27,0.49,,2021
0251455,Mud Bay,0.28,0.29,,2021
0251960,Nabesna,,,,
0252060,Naknek,0.23,0.48,,2021
0252210,Nanwalek,0.28,0.25,0.12,2021
0252390,Napakiak,0.45,0.77,,2021
0252720,Napaskiak,0.55,0.70,,2021
0252845,Naukati Bay,0.28,0.29,,2021
0252915,Nelchina,0.34,0.28,,2021
0252940,Nelson Lagoon,0.41,0.84,,2021
0253050,Nenana,0.27,0.26,0.18,2021
0253710,New Stuyahok,0.26,0.54,,2021
0253270,Newhalen,0.28,0.64,,2021
0253820,Newtok,0.46,0.80,,2021
0253930,Nightmute,0.27,0.52,,2021
0254050,Nikiski,0.28,0.25,0.12,2021
0254085,Nikolaevsk,0.28,0.25,0.12,2021
0254150,Nikolai,0.42,0.90,,2021
0254260,Nikolski,0.20,0.75,,2021
0254480,Ninilchik,0.28,0.25,0.12,2021
0254700,Noatak,0.28,0.91,,2021
0254920,Nome,0.28,0.36,,2021
0255030,Nondalton,0.28,0.64,,2021
