fips_code,name,reporting_entity_name,residential_rate,commercial_rate,industrial_rate,year
0200065,Adak,TDX Adak Generating LLC,0.28,0.81,,2011
0200065,Adak,TDX Adak Generating LLC,0.34,1.06,,2012
0200065,Adak,TDX Adak Generating LLC,0.42,1.19,,2013
0200065,Adak,TDX Adak Generating LLC,0.65,1.44,,2014
0200065,Adak,TDX Adak Generating LLC,0.62,1.25,,2015
0200065,Adak,TDX Adak Generating LLC,0.56,1.22,,2016
0200065,Adak,TDX Adak Generating LLC,0.59,1.07,,2017
0200065,Adak,TDX Adak Generating LLC,0.64,1.37,,2018
0200065,Adak,TDX Adak Generating LLC,0.60,1.37,,2019
0200065,Adak,TDX Adak Generating LLC,0.66,1.42,,2020
0200065,Adak,TDX Adak Generating LLC,0.51,1.27,,2021
0200650,Akhiok,City of Akhiok,0.04,0.11,,2013
0200650,Akhiok,City of Akhiok,0.15,0.45,,2014
0200650,Akhiok,City of Akhiok,0.13,0.45,,2015
0200650,Akhiok,City of Akhiok,0.39,0.80,,2016
0200650,Akhiok,City of Akhiok,0.43,0.80,,2017
0200650,Akhiok,City of Akhiok,0.44,0.80,,2018
0200650,Akhiok,City of Akhiok,0.47,0.80,,2019
0200650,Akhiok,City of Akhiok,0.45,0.80,,2020
0200650,Akhiok,City of Akhiok,0.44,0.80,,2021
0200760,Akiachak,Akiachak Native Community,0.22,0.61,,2011
0200760,Akiachak,Akiachak Native Community,0.22,0.60,,2012
0200760,Akiachak,Akiachak Native Community,0.23,0.60,,2013
0200760,Akiachak,Akiachak Native Community,0.23,0.60,,2014
0200760,Akiachak,Akiachak Native Community,0.26,0.61,,2015
0200760,Akiachak,Akiachak Native Community,0.31,0.61,,2016
0200760,Akiachak,Akiachak Native Community,0.34,0.60,,2017
0200760,Akiachak,Akiachak Native Community,0.35,0.61,,2018
0200760,Akiachak,Akiachak Native Community,0.34,0.60,,2019
0200760,Akiachak,Akiachak Native Community,0.36,0.62,,2020
0200760,Akiachak,Akiachak Native Community,0.38,0.62,,2021
0200870,Akiak,Akiak City Council,0.30,0.63,,2011
0200870,Akiak,Akiak City Council,0.26,0.63,,2012
0200870,Akiak,Akiak City Council,0.23,0.63,,2013
0200870,Akiak,Akiak City Council,0.23,0.66,,2014
0200870,Akiak,Akiak City Council,0.35,0.66,,2015
0200870,Akiak,Akiak City Council,0.39,0.63,,2016
0200870,Akiak,Akiak City Council,0.35,0.56,,2017
0200870,Akiak,Akiak City Council,0.26,0.53,,2018
0200870,Akiak,Akiak City Council,0.27,0.53,,2019
0200870,Akiak,Akiak City Council,0.29,0.53,,2020
0200870,Akiak,Akiak City Council,0.30,0.53,,2021
0201090,Akutan,City of Akutan,0.14,0.32,,2011
0201090,Akutan,City of Akutan,0.14,0.32,,2012
0201090,Akutan,City of Akutan,0.14,0.32,,2013
0201090,Akutan,City of Akutan,0.14,0.32,,2014
0201090,Akutan,City of Akutan,0.16,0.32,,2015
0201090,Akutan,City of Akutan,0.16,0.48,,2016
0201090,Akutan,City of Akutan,0.17,0.95,,2017
0201090,Akutan,City of Akutan,0.18,0.95,,2018
0201090,Akutan,City of Akutan,0.19,0.95,,2019
0201090,Akutan,City of Akutan,0.20,0.95,,2020
0201090,Akutan,City of Akutan,0.20,0.95,,2021
0201200,Alakanuk,Alaska Village Electric Cooperative,0.21,0.59,,2011
0201200,Alakanuk,Alaska Village Electric Cooperative,0.22,0.63,,2012
0201200,Alakanuk,Alaska Village Electric Cooperative,0.21,0.62,,2013
0201200,Alakanuk,Alaska Village Electric Cooperative,0.21,0.62,,2014
0201200,Alakanuk,Alaska Village Electric Cooperative,0.22,0.61,,2015
0201200,Alakanuk,Alaska Village Electric Cooperative,0.22,0.56,,2016
0201200,Alakanuk,Alaska Village Electric Cooperative,0.22,0.57,,2016
0201200,Alakanuk,Alaska Village Electric Cooperative,0.23,0.47,,2017
0201200,Alakanuk,Alaska Village Electric Cooperative,0.25,0.51,,2018
0201200,Alakanuk,Alaska Village Electric Cooperative,0.25,0.53,,2019
0201200,Alakanuk,Alaska Village Electric Cooperative,0.26,0.53,,2020
0201200,Alakanuk,Alaska Village Electric Cooperative,0.27,0.51,,2021
0201305,Alatna,Alaska Power & Telephone Company,0.20,0.86,,2011
0201305,Alatna,Alaska Power & Telephone Company,0.25,0.96,,2012
0201305,Alatna,Alaska Power & Telephone Company,0.23,0.86,,2013
0201305,Alatna,Alaska Power & Telephone Company,0.25,0.89,,2014
0201305,Alatna,Alaska Power & Telephone Company,0.31,0.89,,2015
0201305,Alatna,Alaska Power & Telephone Company,0.32,0.78,,2016
0201305,Alatna,Alaska Power & Telephone Company,0.32,0.77,,2017
0201305,Alatna,Alaska Power & Telephone Company,0.32,0.89,,2018
0201305,Alatna,Alaska Power & Telephone Company,0.32,0.88,,2019
0201305,Alatna,Alaska Power & Telephone Company,0.33,0.81,,2020
0201305,Alatna,Alaska Power & Telephone Company,0.37,0.88,,2021
0201390,Alcan Border,Alaska Power & Telephone Company,0.19,0.67,,2011
0201390,Alcan Border,Alaska Power & Telephone Company,0.20,0.68,,2012
0201390,Alcan Border,Alaska Power & Telephone Company,0.22,0.71,,2013
0201390,Alcan Border,Alaska Power & Telephone Company,0.24,0.69,,2014
0201390,Alcan Border,Alaska Power & Telephone Company,0.30,0.65,,2015
0201390,Alcan Border,Alaska Power & Telephone Company,0.31,0.56,,2016
0201390,Alcan Border,Alaska Power & Telephone Company,0.31,0.59,,2017
0201390,Alcan Border,Alaska Power & Telephone Company,0.31,0.69,,2018
0201390,Alcan Border,Alaska Power & Telephone Company,0.31,0.63,,2019
0201390,Alcan Border,Alaska Power & Telephone Company,0.31,0.57,,2020
0201390,Alcan Border,Alaska Power & Telephone Company,0.36,0.68,,2021
0201420,Aleknagik,Nushagak Electric Cooperative,0.20,0.40,,2011
0201420,Aleknagik,Nushagak Electric Cooperative,0.18,0.46,,2012
0201420,Aleknagik,Nushagak Electric Cooperative,0.17,0.45,,2013
0201420,Aleknagik,Nushagak Electric Cooperative,0.19,0.47,,2014
0201420,Aleknagik,Nushagak Electric Cooperative,0.24,0.49,,2015
0201420,Aleknagik,Nushagak Electric Cooperative,0.24,0.43,,2016
0201420,Aleknagik,Nushagak Electric Cooperative,0.24,0.41,,2017
0201420,Aleknagik,Nushagak Electric Cooperative,0.25,0.42,,2018
0201420,Aleknagik,Nushagak Electric Cooperative,0.25,0.44,,2019
0201420,Aleknagik,Nushagak Electric Cooperative,0.28,0.44,,2020
0201420,Aleknagik,Nushagak Electric Cooperative,0.30,0.44,,2021
0201860,Allakaket,Alaska Power & Telephone Company,0.20,0.86,,2011
0201860,Allakaket,Alaska Power & Telephone Company,0.25,0.96,,2012
0201860,Allakaket,Alaska Power & Telephone Company,0.23,0.86,,2013
0201860,Allakaket,Alaska Power & Telephone Company,0.25,0.89,,2014
0201860,Allakaket,Alaska Power & Telephone Company,0.31,0.89,,2015
0201860,Allakaket,Alaska Power & Telephone Company,0.32,0.78,,2016
0201860,Allakaket,Alaska Power & Telephone Company,0.32,0.77,,2017
0201860,Allakaket,Alaska Power & Telephone Company,0.32,0.89,,2018
0201860,Allakaket,Alaska Power & Telephone Company,0.32,0.88,,2019
0201860,Allakaket,Alaska Power & Telephone Company,0.33,0.81,,2020
0201860,Allakaket,Alaska Power & Telephone Company,0.37,0.88,,2021
0201970,Ambler,Alaska Village Electric Cooperative,0.22,0.63,,2011
0201970,Ambler,Alaska Village Electric Cooperative,0.22,0.67,,2012
0201970,Ambler,Alaska Village Electric Cooperative,0.21,0.66,,2013
0201970,Ambler,Alaska Village Electric Cooperative,0.21,0.77,,2014
0201970,Ambler,Alaska Village Electric Cooperative,0.22,0.68,,2015
0201970,Ambler,Alaska Village Electric Cooperative,0.22,0.64,,2016
0201970,Ambler,Alaska Village Electric Cooperative,0.22,0.53,,2017
0201970,Ambler,Alaska Village Electric Cooperative,0.24,0.56,,2018
