fips_code,name,airport,harbor_dock,state_ferry,cargo_barge,road_connection,coastal,road_or_ferry,description
0200065,Adak,t,t,f,t,f,t,f,"Adak Airport is a State of Alaska owned and maintained certificated airport and has two asphalt paved runways. The community participates in the Essential Air Services program, which helps funds commercial air flights. Alaska Airlines operates passenger and cargo jet service. There are three deep water docks and fueling facilities and additional facilities that service the fishing industry. In 2006, a 315 foot sheet pile dock was installed, and in 2011 dredging of the harbor basin and entrance was completed. In 2014, plans were in place to expand the basin of Sweeper Cove Small Boat Harbor and install moorage floats, vessel haul-out capabilities, new breakwaters and utility services. This project will go forward as funding is secured. There is no harbormaster for the Adak Small Boat Harbor, but there is a private harbormaster for the other docks. Adak has approximately 16 miles of paved roads, as well as gravel and dirt roads."
0200650,Akhiok,t,t,f,t,f,t,f,"Akhiok is accessible by water or air only. The State of Alaska maintains a runway south of town. No crosswind runway or tower services exist and flights are often limited due to severe weather. There is also a floatplane harbor available. Akhiok does not have a deep water dock or boat harbor and no regular barge service is available. One company transports cargo via landing craft as needed. Alitak cannery possesses full docking facilities and residents are able to obtain supplies at the cannery store when the facility is operating. Otherwise, freight is most often moved by small personal craft from off-shore freight vessels or by air."
0200760,Akiachak,t,t,f,t,f,f,f,"A state-owned gravel airstrip and public seaplane facility provides scheduled and chartered services year-round to Akiachak. Most transportation within the community is via four-wheelers in the summer and snow machines in the winter. Boats, snow machines, and ATVs are used extensively by locals on the Kuskokwim River. Although no formal boat landing area exists, there is a shallow area, separated from the main channel of the Kuskokwim River by a small isthmus, where boats are hauled up on shore and stored for the winter. Mail is often delivered by hovercraft. Barges deliver bulk fuel and supplies during the summer. Bethel provides full jet service to Anchorage year-round. Road networks are severely limited due to the delta's topography, especially in the summer. The river is used as an ice road during the winter months. A 2011, community plan identified several future projects: a road to provide access to land for housing and other projects, a trail for access to important fishing and subsistence areas, improving current streets, and providing winter trail markings to improve safety of winter travel."
0200870,Akiak,t,f,f,t,f,f,f,"Akiak has a state-owned airport with a gravel runway in good condition. The strip provides chartered or private air access year-round. Several air carriers offer passenger flight service. Snow machines, ATVs, and skiffs are used extensively for local transportation to nearby villages. There are no docking facilities."
0201090,Akutan,t,t,t,t,f,t,t,"Akutan is only accessible by boat and amphibious aircraft. The land-based Akutan Airport was opened in September 2012 on Akun Island, and services Akutan by a helicopter. Daily scheduled air service is provided by Grant Aviation from nearby Dutch Harbor/Unalaska, and is subsidized by the Essential Air Service. The state ferry M/V Tustumena serves Akutan on its westbound route to Dutch Harbor and its eastbound route to Homer during the months of April and October. Akutan is the second largest seafood port in north America. Akutan has a 100-foot public dock and a 58-vessel mooring basin and breakwater was completed by the Army Corps of Engineers in September 2013. Trident Seafoods owns several commercial docks. In 2013, the city applied for ARRA funding for a two-mile harbor access road, with the purpose of connecting the village/city of Akutan with the Trident Seafoods shore plant and the harbor."
0201200,Alakanuk,t,t,f,t,f,t,f,"A state-owned and -managed gravel airstrip is available. Alakanuk is easily accessible from the Yukon River and Bering Sea by barge and riverboat. Most passengers and mail arrive by air. There are no roads connecting Alakanuk with other population centers in the region, but ice roads are used in winter. Snow machines and boats are used for local travel."
0201305,Alatna,f,f,f,f,f,f,f,"Alatna has no road link, but winter trails connect it with Hughes, Bettles, and Tanana. River transportation is important during the summer. A state-owned lighted, runway is accessible year-round in Allakaket. There is no barge service due to shallow water."
0201390,Alcan Border,f,f,f,f,t,f,t,"The Alcan Highway connects through Whitehorse, Yukon, Canada, to the lower 48 states or through Tok to Fairbanks and Anchorage."
0201420,Aleknagik,t,t,f,t,f,f,f,"Aleknagik is the only village in the region with surface access to Dillingham via the 22-mile Aleknagik Lake Road, which was paved in 2004. Regular flights from Dillingham arrive at the New Aleknagik airport. The city owns and operates a 100' dock on the north shore of Aleknagik Lake, which is not road-accessible. A breakwater, barge landing, boat launch ramp and boatlift are also available on the north shore. Moody's Marina serves as a fueling station for boats and seaplanes. Skiffs are used to travel to Dillingham, across the lake. The Lake Aleknagik State Recreation Site on the south shore, the gateway to Wood-Tikchik state parks, has a boat launch and float plane accommodations. An ice road connects north and south shores in the winter. Several barge companies provide lighterage service from Dillingham to Aleknagik via the Wood River. Vehicles, skiffs and ATVs and snow machines are the most frequent means of local transportation."
0201560,Aleneva,f,f,f,f,f,t,f,There are no roads to Aleneva. Transportation is provided by float plane or boat from Kodiak.
0201860,Allakaket,t,f,f,f,f,f,f,"Allakaket has no road link, but winter trails connect it with Hughes, Bettles, and Tanana. River transportation is important in summer, but there is no commercial barge access due to shallow water. A state-owned gravel runway is accessible year-round."
0201970,Ambler,t,t,f,t,f,f,f,"Ambler's major means of transportation are by barge, plane, small boat, and snow machine. There are no roads linking the city to other parts of the state. A state-owned lighted, gravel airstrip, with a gravel crosswind airstrip is located one and a half miles from the city. In addition, daily scheduled services are provided out of Kotzebue, and air taxis provide charter flights. Crowley Marine Services barges fuel and supplies to Ambler each summer. Boats are used for inter-village travel and subsistence activities. ATVs and snow machines are commonly used in winter."
0202080,Anaktuvuk Pass,t,f,f,f,f,f,f,"A gravel airstrip is owned and operated by the North Slope Borough and provides Anaktuvuk Pass with year-round access. There is no road to Anaktuvuk Pass, all goods and services are received by air. Snow machines and ATVs are used for local transportation."
0203110,Anchor Point,t,f,f,f,t,t,t,"The Sterling Highway provides access to Anchorage. Nearby Homer offers an airport, state ferry access, and docking and boat launching facilities."
0203000,Anchorage,t,t,f,t,t,t,t,"Controlled airports include the state-owned Ted Stevens Anchorage International Airport and Lake Hood Float Plane Base, the municipality's Merrill Field, and U.S. Army and Air Force facilities. The Port of Anchorage handles 85% of the general cargo for the Alaska Railbelt area. There are five terminal berths, with 3,488 linear feet available. Several barge and trucking companies are available. The Alaska Railroad connects Anchorage to Seward, Whittier, and Fairbanks. Highway networks connect Anchorage with the statewide highway system as well as the rest of the United States and Canada. Anchorage also has one of the busiest airports in the world for air cargo."
0203220,Anderson,f,f,f,f,t,f,t,"Anderson is located about 55 air miles (76 driving miles) southwest of Fairbanks. The 6 mile access road runs west from the George Parks Highway at Mile Post 283.5. The Alaska Railroad runs close to Anderson but doesn't have a station there. Most goods are brought in by truck. A state-owned, lighted asphalt runway is located at Clear Airport, 4 miles south of town along the access road. Charters and private aircraft serve the airstrip. A private dirt strip is located at Clear Sky Lodge. Lost Slough, a large slough of the Nenana River, is located less than a mile west of town. It is used for fishing, but the river is too shallow for cargo transportation."
0203440,Angoon,t,t,t,t,f,t,t,"Angoon is accessible only by float plane or boat. Scheduled and charter float plane services are available from the state-owned seaplane base on Kootznahoo Inlet. Angoon's facilities also include a deep draft dock, a small boat harbor with 45 berths, and state ferry terminal. Freight arrives by barge and ferry."
0203550,Aniak,t,t,f,t,f,f,f,"Access to Aniak is limited to air and water. The state-owned airport has an asphalt runway that is lighted, and is equipped for instrument approaches. Regular flights are provided by several carriers, including charter operators. Float planes can also land on Aniak Slough. Fuel and supplies are brought in by barge during the summer; other goods are delivered by air year-round. There is no road connection to other villages, although trails and the frozen Kuskokwim River are used by snow machines during winter. When the river is frozen, it is used as an ice road to access Chuathbaluk, Crooked Creek and Bethel. A winter trail is marked to Kalskag (15 mi)."
0203880,Anvik,t,t,f,t,f,f,f,"The Anvik River, west of the Yukon, allows access during the summer by barge and float plane. The city would like to develop additional dock and harbor facilities. The state-owned gravel airstrip provides year-round access. Three miles of local roads are used by all-terrain vehicles, snow machines, and dog teams."
0203990,Arctic Village,t,f,f,f,f,f,f,Air transportation provides the only year-round access to Arctic Village. Ice fog frequently interferes with air service in winter months. A gravel airstrip is owned and managed by the tribal government. Local transportation is by ATVs and snow machines. Some residents maintain dog teams.
0204210,Atka,t,t,f,t,f,t,f,"Atka has a state-owned, city-maintained asphalt, lighted runway. Scheduled air services are available three times weekly from Unalaska. Planes can be chartered from Cold Bay or Unalaska. Freight service is provided from April to October. The city dock and port facility is located 5 miles from town in Nazan Bay."
0204430,Atmautluak,t,f,f,t,f,f,f,"A state-owned gravel airstrip is available for chartered or private planes year-round. Locals use skiffs in the summer to travel to Bethel and other area villages, and snow machines, ATVs, and dog sleds are used in the winter. A winter trail exists to Nunapitchuk (7.0 mi)."
0204500,Atqasuk,t,f,f,f,f,f,f,"Air travel provides the only year-round access, while land transportation provides seasonal access. The North Slope Borough owns and operates the Edward Burnell Sr. Memorial Airport, which has a gravel runway. 'Cat-trains' are sometimes used to transport freight overland from Barrow during winter months. Snow machines, ATVs, and boats are used for local transportation."
0204670,Attu Station,t,t,f,f,f,t,f,"The Casco Cove Airport is maintained by the Coast Guard. The airstrip is authorized for public use only in an emergency; all others must obtain permission from the U.S. Coast Guard 17th District, located in Juneau at 907-392-3315."
0205000,Badger,f,f,f,f,t,f,t,Badger is a CDP in the Fairbanks Northstar Borough and is connected by road to the borough.
0205585,Bear Creek,t,f,f,f,t,f,t,"Bear Creek is connected to the Alaska Highway system and is 5 miles north of Seward. The Seward Airport also provides daily air service and charters. The Port of Seward serves cruise ships, the state ferry, cargo barges, and ocean freighters from Seattle and overseas. Its small boat harbor has moorage and two boat launch ramps. The Alaska Railroad provides over 1.4 billion pounds of cargo transit each year, importing cargo for the Interior and exporting coal to the Pacific Rim."
0205750,Beaver,t,f,f,t,f,f,f,"Beaver has no road connections and is located along the Yukon River. There is a state-maintained public airport with a gravel runway in good condition, with daily flights from Fairbanks. Fuel and groceries are often shipped by air during the winter months. There is some barge service during the summers. Trucks and ATVs are used by many residents, as well as boats to travel along the Yukon River. Snow machines and dog teams are used during winter."
0206245,Beluga,t,t,f,t,f,t,f,"Beluga has two private gravel runways. A road connects Beluga to nearby Tyonek. Barges deliver heavy goods to the area, and a dock is available."
0206520,Bethel,t,t,f,t,f,t,f,"Bethel is the regional transportation hub for the Yukon-Kuskokwim Delta and the main port on the Kuskokwim River. Bethel has 38 miles of public roads and is connected by road to several nearby villages during the summer. A 28-mile ice road along the Kuskokwim River connects the community with neighboring villages in the winter. The Bethel Airport is the third busiest in the state, with daily service to and from Anchorage and 56 surrounding villages. Bethel maintains a medium-draft port for ocean-going vessels, as well as the Bethel cargo dock, a petro port, a small boat harbor, a float plane beach and a seawall. Transportation within the community is served by taxi and a public transit system. A series of traditional trails provide access within the city and to nearby communities. Trail users walk, ride bicycles, or use ATVs during the summer and rely on snowmachines, dog teams, or cross country skis in the winter."
0206630,Bettles,t,f,f,f,f,f,f,"During four months of the year, the Bettles Winter Road, a 30-mile winter trail, gives residents access to the Dalton Highway, which leads to Fairbanks. The Koyukuk River is used in the summer, but no commercial barge is available. The state-owned airport is classified as a transport center, with a manned FAA contract weather station, a gravel runway, and a float pond. Trucks, cars, snow machines, and ATVs are used for local transportation."
0206850,Big Delta,f,f,f,f,t,f,t,An airstrip is available nearby at Delta Junction for chartered or private aircraft. Big Delta is 8.9 road miles from Delta Junction. 
0207070,Big Lake,t,t,f,f,t,f,t,Big Lake Road is accessible from mile 52 of the George Parks Highway. A state-owned gravel airstrip and float plane dock are available. Several boat launches and a marina support recreational watercraft.
0207620,Birch Creek,t,f,f,f,f,f,f,"Access to Birch Creek is primarily by a state-owned airstrip. Birch Creek is approximately 26 miles southwest of Fort Yukon. ATVs, motor bikes, snow machines, and skiffs are used for fishing, hunting, and recreation. The village used to be served by barge during high water. There is a 26-mile winter trail to Ft. Yukon. Historically the village was used seasonally for subsistence related activities."
0208740,Brevig Mission,t,f,f,t,f,t,f,"Brevig Mission is accessible by air and sea and, in the winter, over land or ice. A cargo ship visits annually. The state-owned gravel airstrip with a gravel crosswind strip enables year-round access. Regular air service is available from Nome, and charters are provided from Nome and Teller. Teller is 5 miles away by boat. A 72-mile gravel road between Teller and Nome is maintained by the state during the summer."
0209600,Buckland,t,t,f,t,f,t,f,"Buckland's major means of transportation are plane, small boat, barge, and snow machine; there are no roads outside of the village. Buckland has a state-owned gravel airstrip, which serves a number of scheduled and chartered flights. Crowley Marine barges in fuel and various lighterage companies deliver cargo and supplies each summer."
0209657,Buffalo Soapstone,f,f,f,f,t,f,t,"Buffalo Soapstone is located off of the Glenn Highway. Commercial airlines serve the Anchorage International Airport, but the Palmer Municipal Airport supports private and chartered services. There are seven additional privately-owned airstrips in the vicinity. Float planes may land at nearby Finger Lake or Wolf Lake. The Alaska Railroad connects Palmer to Whittier, Seward, or Anchorage for ocean freight delivery."
0209710,Butte,f,f,f,f,t,f,t,"Butte lies along the Old Glenn Highway. A public airstrip, owned and operated by the Butte Airman's Association, is available. The railroad and other means of transportation are also accessible in Palmer and Anchorage."
0210150,Cantwell,f,f,f,f,t,f,t,"Cantwell is accessible by road, rail, and air. The George Parks Highway connects to Fairbanks and Anchorage, and the Denali Highway links Denali Park with the Richardson Highway during summer months only. A privately-owned dirt runway is open to the public. The town began as a stop on the Alaska Railway and the railroad still provides train service."
0211690,Central,t,f,f,f,t,f,t,"The community is on the Steese Highway, by which residents can reach Fairbanks. Year-round maintenance by the Department of Transportation enabled goods to be delivered on a regular schedule by truck. A state-owned gravel airstrip is available. Boats are used for recreation and fishing. Snow machines and dog sleds are also used."
0211800,Chalkyitsik,t,f,f,f,f,f,f,"Access is primarily by air; there is a gravel runway. Residents own ATVs, snow machines, and skiffs for fishing, hunting, and recreation. No roads connect Chalkyitsik with other villages, although there is a winter trail to Fort Yukon. It is accessible by small riverboat. Chalkyitsik received cargo by barge at one time, but the service is no longer provided."
0212350,Chase,f,f,f,f,f,f,f,"The railroad will drop travelers at the head of a trail leading into Chase. There is no direct road access, except from the George Parks Highway to nearby Talkeetna. The nearest airport is at Talkeetna. There is a system of trails throughout the community."
0212680,Chefornak,t,f,f,t,f,t,f,"A state-owned gravel airstrip provides chartered and private air access year-round, and a seaplane base is available. There are two cars that provide transportation to the airport. Although there are no docking facilities, a number of fishing boats and skiffs are used for local travel. Snow machines are relied upon during the winter. Winter trails are marked to Kipnuk (20 mi) and Kasigluk (83 mi). Boardwalks are located within the village for pedestrians."
0212920,Chena Ridge,f,f,f,f,t,f,t,Chena Ridge is a CDP that is connected by road to the Fairbanks Northstar Borough. See the borough description for more information.
0212970,Chenega,t,t,t,f,f,t,t,"Chenega has a small boat harbor and dock. A 3,000' long by 75' wide gravel runway and float plane landing area are available. Scheduled and chartered flights depart from Cordova, Valdez, Anchorage, and Seward. In 1996, the Alaska Marine Highway began 'whistle-stop' service."
0213230,Chevak,t,f,f,t,f,f,f,"Local transportation is done by small boat, small aircraft, ATV, or snow machine. The community is connected by a system of sand and gravel roads, and wooden boardwalks. Trails in the area are utilized for subsistence activities, and winter trails connect to Hooper Bay (17 miles), Scammon Bay (25 miles), and Newtok (50 miles). The airport, completed in 2006, is owned and maintained by the State of Alaska. The airstrip provides regional charter and private air access year-round. As of 2014, the community was seeking funds to widen and extend the runway. Seaplanes have the use of a dock. Each spring the community experiences flooding that adversely affects major traffic areas within town."
0213340,Chickaloon,f,f,f,f,t,f,t,"Chickaloon is accessible by the statewide highway system and a local road network. Goods are most often brought in from the Palmer/Wasilla area or Anchorage. There is a scheduled freight service, as well as a scheduled passenger service providing flag stop bus service on a route between Anchorage and Valdez. There is also a privately-owned runway."
0213450,Chicken,t,f,f,f,t,f,t,"During the summer months only, Chicken is accessible from Tok via the Taylor Highway or Dawson City in the Yukon Territory via the Top of the World Highway. A state-owned gravel airstrip is available. There is no gas station between Eagle and Chicken."
0213550,Chignik,t,t,t,t,f,t,t,"Chignik is accessible by air and sea. There is a state-owned gravel runway maintained by the city. Regular flights run from King Salmon. Flights directly from Anchorage can be scheduled on an as-needed basis. Barge services arrive weekly, from late spring through early fall, and monthly during the remainder of the year. The state ferry operates bi-monthly from Kodiak between May and October. A 600' privately-owned dock and boat haul-out are available. A public small boat harbor accommodates more than thirty fishing vessels, and a regional public dock is under development. Four-wheel drive vehicles are the primary means of local transportation, ATVs are a secondary means, and skiffs are used to travel to surrounding communities."
0213670,Chignik Lagoon,t,t,f,t,f,t,f,"Chignik Lagoon is primarily accessible by air and sea. There are no roads connecting it to other villages. There is a strong regional interest in constructing roads between Chignik, Chignik Lagoon, Chignik Lake, and the landfill. There is a state-maintained gravel airstrip, public domain small boat harbor, and seaplane base. Regular and charter flights are available from King Salmon. A cargo ship brings supplies annually, and goods are lightered to shore. Boat haul-outs are available. ATVs and skiffs are the primary means of local transportation."
0213780,Chignik Lake,t,f,f,t,f,t,f,"Chignik Lake is primarily accessible by air. There is a state-owned gravel airstrip; seaplanes may land at Chignik Lagoon. Regularly-scheduled and charter flights are provided. Goods are lightered, weekly during the summer and monthly during winter, to the lake via Chignik Lagoon and are then transported over land. The state ferry provides service to Chignik Lagoon four times per year. There is no harbor, dock, barge access, or boat haul-outs. Skiffs and ATVs are the primary means of local transportation. There is a strong regional interest in constructing roads between Chignik, Chignik Lagoon, Chignik Lake, and the city landfill."
0213860,Chiniak,f,f,f,f,f,t,f,"Local boat owners anchor in Thumb's Up Bay, and a small dock is available. An old airstrip may be used for emergency landings. Chiniak can be reached by road from Kodiak. Although 45 miles away, Kodiak offers jet service, float plane services, ferry service, and boat harbors."
0213890,Chisana,t,f,f,f,f,f,f,"There is no road access. A gravel and turf airstrip is available, but it is not maintained. (Skis only during winter months.) There are several private airstrips. A mail plane provides passenger service twice weekly."
0214000,Chistochina,t,f,f,f,t,f,t,Chistochina is accessible year-round by the Glenn and Richardson Highways via the Tok Cutoff. Small aircraft may land at a state-owned turf/gravel airstrip.
0214110,Chitina,t,f,f,f,t,f,t,"The Edgerton Highway and Richardson Highway link Chitina with the rest of the state road system. The state owns the Chitina Airport, with a gravel airstrip, 5 miles north of town along the Edgerton Highway."
0214330,Chuathbaluk,t,f,f,t,f,f,f,"The Kuskokwim River serves as the major carrier for supply barges, skiffs, and float planes from Aniak and Bethel. A state-owned gravel airstrip is located one mile north of the village and has scheduled air service. In the winter, ski planes land on the frozen river, and vehicles are sometimes driven on the ice road to neighboring communities."
0214880,Circle,t,f,f,t,t,f,t,"Circle has direct road access to Fairbanks by way of the Steese Highway. Barges deliver goods by the Yukon River during summer. Residents use ATVs, snowmobiles, and dog sleds for recreation and subsistence activities. A state-owned gravel airstrip is available. Float planes land on the river. Circle participates in the federal Essential Air Service program, which helps pay for fights. The community is located 130 air miles from Fairbanks, and is 155 miles by road. The Circle Hot Springs is 41.6 miles from Circle."
0215320,Clam Gulch,f,f,f,f,t,t,t,The Sterling Highway provides access to Anchorage and beyond. Nearby Kenai offers an airport and docking facilities.
0215430,Clark's Point,t,t,f,t,f,t,f,"Air transport is the primary method of reaching Clark's Point. Regular and charter flights are available from Dillingham. There is a state-owned gravel runway, and float planes land on Nushagak River. Freight is brought by barge to Dillingham and then flown or lightered to the community. The only boat moorage is an undeveloped spit dock owned by the city; boats land on the beach. Trident Seafoods owns a private dock for vessels delivering landings. ATVs and snowmobiles are the primary means of local transportation. The fishing community of Ekuk and City of Dillingham are both within close proximity of Clark's Point, and residents regularly commute between them."
0216360,Coffman Cove,t,t,f,t,f,t,f,"The Inter-Island Ferry Authority provides access to the Prince of Wales Island road system by operating a daily service from Ketchikan to Hollis. There is a ferry terminal located in Coffman Cove with service estimated to start in 2015 between Coffman Cove, Wrangell and Petersburg. A state-owned seaplane base is available, and there is scheduled air service from Ketchikan three times a week. The nearest landing strip is in Klawock where wheel plane service is available thee times daily. The Coffman Cove Boat Harbor can accommodate boats up to 200 feet with fresh water and shore power available. Freight arrives by float plane or barge via the port in Thorne Bay or Craig."
0216420,Cohoe,f,f,f,f,t,t,t,The Sterling Highway provides access to Anchorage. Kenai offers an airport and docking facilities.
0216530,Cold Bay,t,t,t,t,f,t,t,"A state-owned paved and lighted runway with a crosswind runway, an FAA flight service station, and a seaplane base are available. Cold Bay is a regional transportation center and provides scheduled flights to surrounding communities. The community has a dock but wants to develop a breakwater, boat harbor, and boat launch. Marine cargo services are available monthly from Seattle but not from Anchorage. The state ferry operates bi-monthly from Kodiak between May and October. There are approximately 40 miles of local gravel roads."
0216630,Coldfoot,t,f,f,f,t,f,t,Coldfoot is located on the Dalton Highway. There is a state-owned gravel runway.
0216750,College,f,f,f,f,t,f,t,"Fairbanks provides jet service, railroad, and connection to the George Parks and Richardson Highways. The privately-owned Goldstream airstrip lies in College."
0217190,Cooper Landing,t,f,f,f,t,f,t,"The Sterling Highway provides access to Anchorage and beyond. Kenai offers air transportation and docking facilities. A privately-owned boat launch is available. The state-owned Quartz Creek Airport provides a gravel runway, and float planes may land at Cooper Lake."
0217300,Copper Center,t,f,f,f,t,f,t,Copper Center lies on the Richardson Highway. A state-owned gravel airstrip provides for chartered flights and general aviation.
0217410,Cordova,t,t,t,t,f,t,t,"Cordova is accessed by plane or boat. It is linked directly to the North Pacific Ocean shipping lanes through the Gulf of Alaska. It receives year-round barge services and state ferry service. The Merle K. 'Mudhole' Smith Airport at mile 13 is state owned and operated, with an asphalt runway and a gravel crosswind runway. The state owned and city operated Cordova Municipal Airport has a gravel runway. Daily scheduled jet flights and air taxis are available. Float planes land at the Lake Eyak seaplane base or the boat harbor. Harbor facilities include a breakwater, dock, small boat harbor with 850 berths, boat launch, boat haul-out, ferry terminal, and marine repair services. A 48-mile gravel road provides access to the Copper River Delta to the east. As of 2014, the road is impassable beyond mile 36 due to a bridge across the Copper River which is washed out."
0217670,Covenant Life,f,f,f,f,t,f,t,"The community is accessible by road from Haines and, from there, to the statewide highway system. The state ferry at Haines provides transportation to Skagway, Juneau, Southeast Alaska, and Seattle. Other transportation facilities are available at Haines."
