fips_code,name,reporting_entity_name,year,residential_rate,residential_rate_subsidized,commercial_rate,industrial_rate,transportation_rate,community_rate,other_rate,total_rate,source
0200065,Adak,TDX Adak Generating LLC,2008,0.74,0.33,0.74,,,,,0.74,PCE
0200065,Adak,TDX Adak Generating LLC,2009,0.72,0.23,0.72,,,,,0.72,PCE
0200065,Adak,TDX Adak Generating LLC,2010,0.82,0.16,0.82,,,,,0.82,PCE
0200065,Adak,TDX Adak Generating LLC,2011,0.81,0.28,0.81,,,,,0.81,PCE
0200065,Adak,TDX Adak Generating LLC,2012,1.06,0.34,1.06,,,,,1.06,PCE
0200065,Adak,TDX Adak Generating LLC,2013,1.19,0.42,1.19,,,,,1.19,PCE
0200065,Adak,TDX Adak Generating LLC,2014,1.44,0.65,1.44,,,,,1.44,PCE
0200065,Adak,TDX Adak Generating LLC,2015,1.25,0.62,,,,,,,PCE
0200065,Adak,TDX Adak Generating LLC,2016,1.22,0.56,,,,,,,PCE
0200065,Adak,TDX Adak Generating LLC,2017,1.07,0.59,1.07,,,,,1.07,PCE
0200065,Adak,TDX Adak Generating LLC,2018,1.37,0.64,1.37,,,,,1.37,PCE
0200065,Adak,TDX Adak Generating LLC,2019,1.37,0.60,1.37,,,,,1.37,PCE
0200065,Adak,TDX Adak Generating LLC,2020,1.42,0.66,1.42,,,,,1.42,PCE
0200650,Akhiok,City of Akhiok,2002,0.37,0.19,,,,,,,PCE
0200650,Akhiok,City of Akhiok,2003,0.37,0.21,,,,,,,PCE
0200650,Akhiok,City of Akhiok,2013,0.11,0.04,0.11,,,,,0.11,PCE
0200650,Akhiok,City of Akhiok,2014,0.45,0.15,0.45,,,,,0.45,PCE
0200650,Akhiok,City of Akhiok,2015,0.45,0.13,0.45,,,,,0.45,PCE
0200650,Akhiok,City of Akhiok,2016,0.80,0.39,0.80,,,,,0.80,PCE
0200650,Akhiok,City of Akhiok,2017,0.80,0.43,0.80,,,,,0.80,PCE
0200650,Akhiok,City of Akhiok,2018,0.80,0.44,0.80,,,,,0.80,PCE
0200650,Akhiok,City of Akhiok,2019,0.80,0.47,0.80,,,,,0.80,PCE
0200650,Akhiok,City of Akhiok,2020,0.80,0.45,0.80,,,,,0.80,PCE
0200650,Akhiok,City of Akhiok,2021,0.80,0.44,0.80,,,,,0.80,PCE
0200760,Akiachak,Akiachak Native Community,2001,,,0.00,,,,,0.00,PCE
0200760,Akiachak,Akiachak Native Community,2002,0.25,0.18,0.24,,,,,0.25,PCE
0200760,Akiachak,Akiachak Native Community,2003,0.42,0.25,0.42,,,,,0.42,PCE
0200760,Akiachak,Akiachak Native Community,2004,0.42,0.23,0.42,,,,,0.42,PCE
0200760,Akiachak,Akiachak Native Community,2005,0.42,0.23,0.42,,,,,0.42,PCE
0200760,Akiachak,Akiachak Native Community,2006,0.53,0.24,0.53,,,,,0.53,PCE
0200760,Akiachak,Akiachak Native Community,2007,0.53,0.19,0.53,,,,,0.53,PCE
0200760,Akiachak,Akiachak Native Community,2008,0.57,0.20,0.57,,,,,0.57,PCE
0200760,Akiachak,Akiachak Native Community,2009,0.63,0.23,0.63,,,,,0.61,PCE
0200760,Akiachak,Akiachak Native Community,2010,0.61,0.25,0.61,,,,,0.58,PCE
0200760,Akiachak,Akiachak Native Community,2011,0.61,0.22,0.61,,,,,0.54,PCE
0200760,Akiachak,Akiachak Native Community,2012,0.60,0.22,,,,,,,PCE
0200760,Akiachak,Akiachak Native Community,2013,0.60,0.23,,,,,,,PCE
0200760,Akiachak,Akiachak Native Community,2014,0.60,0.23,0.60,,,,,0.58,PCE
0200760,Akiachak,Akiachak Native Community,2015,0.61,0.26,0.61,,,,,0.58,PCE
0200760,Akiachak,Akiachak Native Community,2016,0.61,0.31,0.61,,,,,0.59,PCE
0200760,Akiachak,Akiachak Native Community,2017,0.60,0.34,0.60,,,,,0.58,PCE
0200760,Akiachak,Akiachak Native Community,2018,0.61,0.35,0.61,,,,,0.59,PCE
0200760,Akiachak,Akiachak Native Community,2019,0.60,0.34,0.60,,,,,0.59,PCE
0200760,Akiachak,Akiachak Native Community,2020,0.62,0.36,0.62,,,,,0.62,PCE
0200760,Akiachak,Akiachak Native Community,2021,0.62,0.38,0.62,,,,,0.62,PCE
0200870,Akiak,Akiak City Council,2001,,,0.00,,,,,0.00,PCE
0200870,Akiak,Akiak City Council,2002,0.23,0.14,0.23,,,,,0.21,PCE
0200870,Akiak,Akiak City Council,2003,0.39,0.25,0.39,,,,,0.37,PCE
0200870,Akiak,Akiak City Council,2004,0.39,0.24,0.39,,,,,0.37,PCE
0200870,Akiak,Akiak City Council,2005,0.39,0.23,0.39,,,,,0.37,PCE
0200870,Akiak,Akiak City Council,2006,0.45,0.26,0.45,,,,,0.41,PCE
0200870,Akiak,Akiak City Council,2007,0.45,0.19,0.45,,,,,0.42,PCE
0200870,Akiak,Akiak City Council,2008,0.59,0.32,0.59,,,,,0.52,PCE
0200870,Akiak,Akiak City Council,2009,0.63,0.32,0.63,,,,,0.61,PCE
0200870,Akiak,Akiak City Council,2010,0.63,0.27,0.63,,,,,0.62,PCE
0200870,Akiak,Akiak City Council,2011,0.63,0.30,,,,,,,PCE
0200870,Akiak,Akiak City Council,2012,0.63,0.26,,,,,,,PCE
0200870,Akiak,Akiak City Council,2013,0.63,0.23,0.63,,,,,0.62,PCE
0200870,Akiak,Akiak City Council,2014,0.66,0.23,0.66,,,,,0.65,PCE
0200870,Akiak,Akiak City Council,2015,0.66,0.35,0.66,,,,,0.65,PCE
0200870,Akiak,Akiak City Council,2016,0.63,0.39,0.63,,,,,0.62,PCE
0200870,Akiak,Akiak City Council,2017,0.56,0.35,0.56,,,,,0.56,PCE
0200870,Akiak,Akiak City Council,2018,0.53,0.26,0.53,,,,,0.53,PCE
0200870,Akiak,Akiak City Council,2019,0.53,0.27,0.53,,,,,0.53,PCE
0201090,Akutan,City of Akutan,2002,0.19,0.09,0.19,,,,,0.19,PCE
0201090,Akutan,City of Akutan,2003,0.32,0.14,,,,,,,PCE
0201090,Akutan,City of Akutan,2004,0.32,0.17,,,,,,,PCE
0201090,Akutan,City of Akutan,2005,0.32,0.17,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2006,0.32,0.14,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2007,0.32,0.14,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2008,0.32,0.13,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2009,0.32,0.13,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2010,0.32,0.14,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2011,0.32,0.14,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2012,0.32,0.14,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2013,0.32,0.14,,,,,,,PCE
0201090,Akutan,City of Akutan,2014,0.32,0.14,,,,,,,PCE
0201090,Akutan,City of Akutan,2015,0.32,0.16,0.32,,,,,0.32,PCE
0201090,Akutan,City of Akutan,2016,0.48,0.16,0.48,,,,,0.48,PCE
0201090,Akutan,City of Akutan,2017,0.95,0.17,0.95,,,,,0.95,PCE
0201090,Akutan,City of Akutan,2018,0.95,0.18,0.95,,,,,0.95,PCE
0201090,Akutan,City of Akutan,2019,0.95,0.19,0.95,,,,,0.95,PCE
0201090,Akutan,City of Akutan,2020,0.95,0.20,0.95,,,,,0.95,PCE
0201090,Akutan,City of Akutan,2021,0.95,0.20,0.95,,,,,0.95,PCE
0201200,Alakanuk,Alaska Village Electric Cooperative,2001,,,0.00,,,,,0.00,PCE
0201200,Alakanuk,Alaska Village Electric Cooperative,2002,0.22,0.13,0.22,,,,,0.22,PCE
0201200,Alakanuk,Alaska Village Electric Cooperative,2003,0.40,0.21,0.39,,,,,0.39,PCE
0201200,Alakanuk,Alaska Village Electric Cooperative,2004,0.42,0.24,0.42,,,,,0.42,PCE
0201200,Alakanuk,Alaska Village Electric Cooperative,2005,0.46,0.26,0.46,,,,,0.46,PCE
0201200,Alakanuk,Alaska Village Electric Cooperative,2006,0.50,0.22,0.49,,,,,0.50,PCE
