fips_code,name,service_area_net_generation_mwh,fuel_type,year
0278297,Tolsona,25548,Waste Oil,2021
0226835,Four Mile Road,375532,Waste Oil,2021
0209657,Buffalo Soapstone,38071,Landfill Gas,2021
0217850,Crooked Creek,292,Distillate Fuel Oil,2021
0240400,Klawock,22729,Water at Hydroelectric Turbine,2021
0244580,Livengood,60301,Wind,2021
0242820,Lake Minchumina,,,
0272985,Steele Creek,60301,Wind,2021
0247000,Marshall,3129,Distillate Fuel Oil,2021
0212350,Chase,678574,Natural Gas,2021
0209600,Buckland,1697,Distillate Fuel Oil,2021
0263610,Port Lions,132334,Water at Hydroelectric Turbine,2021
0205585,Bear Creek,335,Distillate Fuel Oil,2021
0260460,Petersville,678574,Natural Gas,2021
0233140,Homer,224,Distillate Fuel Oil,2021
0272135,South Lakes,38071,Landfill Gas,2021
0258660,Palmer,678574,Natural Gas,2021
0280660,Unalakleet,3558,Distillate Fuel Oil,2021
0225000,Farm Loop,139995,Water at Hydroelectric Turbine,2021
0204670,Attu Station,,,
0272135,South Lakes,139995,Water at Hydroelectric Turbine,2021
0218620,Delta Junction,4,Natural Gas,2021
0218510,Deering,46,Solar,2021
0238910,Kenny Lake,12132,Distillate Fuel Oil,2021
0206850,Big Delta,-3433,Electricity used for Energy Storage,2021
0255910,North Pole,,,
0222910,Emmonak,564,Wind,2021
0237250,Kalifornsky,531260,Natural Gas,2021
0261120,Pleasant Valley,,,
0219720,Dot Lake,,,
0264380,Prudhoe Bay,,,
0203000,Anchorage,2,Distillate Fuel Oil,2021
0278297,Tolsona,58733,Water at Hydroelectric Turbine,2021
0261120,Pleasant Valley,375532,Waste Oil,2021
0251455,Mud Bay,1389,Distillate Fuel Oil,2021
0216750,College,105907,Distillate Fuel Oil,2021
0212920,Chena Ridge,375532,Waste Oil,2021
0205000,Badger,375532,Waste Oil,2021
0225220,Ferry,672,Jet Fuel,2021
0209600,Buckland,241,Wind,2021
0245790,McCarthy,,,
0255910,North Pole,105907,Distillate Fuel Oil,2021
0203880,Anvik,400,Distillate Fuel Oil,2021
0284120,Whitestone,105907,Distillate Fuel Oil,2021
0284120,Whitestone,4,Natural Gas,2021
0237975,Kasigluk,,,
0273070,Sterling,224,Distillate Fuel Oil,2021
0261825,Point Possession,,,
0226870,Fox,-3433,Electricity used for Energy Storage,2021
0206630,Bettles,519,Distillate Fuel Oil,2021
0278350,Tonsina,12132,Distillate Fuel Oil,2021
0254150,Nikolai,,,
0233140,Homer,,,
0228590,Glacier View,678574,Natural Gas,2021
0226870,Fox,4,Natural Gas,2021
0279830,Two Rivers,672,Jet Fuel,2021
0274350,Susitna North,678574,Natural Gas,2021
0252940,Nelson Lagoon,303,Distillate Fuel Oil,2021
0252845,Naukati Bay,,,
0252210,Nanwalek,,,
0218805,Denali Park,60301,Wind,2021
0282200,Valdez,12132,Distillate Fuel Oil,2021
0232150,Healy,,,
0254480,Ninilchik,391019,Water at Hydroelectric Turbine,2021
0244030,Lime Village,4,Distillate Fuel Oil,2021
0275050,Tanacross,,,
0229130,Goldstream,-3433,Electricity used for Energy Storage,2021
0255910,North Pole,672,Jet Fuel,2021
0237650,Kasaan,1640,Distillate Fuel Oil,2021
0225220,Ferry,752897,Coal,2021
0232310,Healy Lake,,,
0248200,Mendeltna,12132,Distillate Fuel Oil,2021
0226910,Fox River,224,Distillate Fuel Oil,2021
0238090,Kasilof,224,Distillate Fuel Oil,2021
0285290,Willow Creek,12132,Distillate Fuel Oil,2021
0261190,Point Baker,,,
0266140,Saint Mary's,,,
0249530,Minto,768,Distillate Fuel Oil,2021
0268230,Selawik,2863,Distillate Fuel Oil,2021
0252915,Nelchina,58733,Water at Hydroelectric Turbine,2021
0244580,Livengood,752897,Coal,2021
0284510,Whittier,1805318,Natural Gas,2021
0237250,Kalifornsky,,,
0205000,Badger,105907,Distillate Fuel Oil,2021
0218675,Deltana,,,
0215320,Clam Gulch,,,
0226100,Fort Greely,60301,Wind,2021
0206850,Big Delta,375532,Waste Oil,2021
0275077,Tanaina,139995,Water at Hydroelectric Turbine,2021
0272985,Steele Creek,672,Jet Fuel,2021
0271640,Soldotna,224,Distillate Fuel Oil,2021
0254050,Nikiski,531260,Natural Gas,2021
0261120,Pleasant Valley,105907,Distillate Fuel Oil,2021
0254085,Nikolaevsk,,,
0252210,Nanwalek,224,Distillate Fuel Oil,2021
0226835,Four Mile Road,672,Jet Fuel,2021
0255910,North Pole,-3433,Electricity used for Energy Storage,2021
0231270,Halibut Cove,391019,Water at Hydroelectric Turbine,2021
0201390,Alcan Border,1095,Distillate Fuel Oil,2021
0272960,Stebbins,,,
0227420,Gakona,25548,Waste Oil,2021
0220020,Dry Creek,10385,Distillate Fuel Oil,2021
0279830,Two Rivers,4,Natural Gas,2021
0203220,Anderson,60301,Wind,2021
0279230,Tununak,892,Wind,2021
0232550,Hobart Bay,,,
0226910,Fox River,531260,Natural Gas,2021
0235120,Iliamna,,,
0245295,Lowell Point,335,Distillate Fuel Oil,2021
0240510,Klukwan,,,
0203000,Anchorage,36383,Water at Hydroelectric Turbine,2021
0204500,Atqasuk,2160,Distillate Fuel Oil,2021
0234460,Hydaburg,12,Distillate Fuel Oil,2021
0278680,Trapper Creek,,,
0256320,Nuiqsut,2665,Distillate Fuel Oil,2021
0284510,Whittier,,,
0241210,Kodiak Station,25237,Wind,2021
0200870,Akiak,225,Distillate Fuel Oil,2021
0272230,South Van Horn,752897,Coal,2021
0276590,Tetlin,10385,Distillate Fuel Oil,2021
0273950,Sunrise,36383,Water at Hydroelectric Turbine,2021
0233140,Homer,531260,Natural Gas,2021
0207070,Big Lake,678574,Natural Gas,2021
0279120,Tuntutuliak,1218,Distillate Fuel Oil,2021
0212920,Chena Ridge,105907,Distillate Fuel Oil,2021
0209657,Buffalo Soapstone,139995,Water at Hydroelectric Turbine,2021
0271640,Soldotna,,,
0263170,Port Clarence,,,
0254480,Ninilchik,,,
0238970,Ketchikan,96717,Water at Hydroelectric Turbine,2021
0209657,Buffalo Soapstone,678574,Natural Gas,2021
0272985,Steele Creek,,,
0241280,Kokhanok,500,Distillate Fuel Oil,2021
0241720,Kotlik,2178,Distillate Fuel Oil,2021
0219750,Dot Lake Village,10385,Distillate Fuel Oil,2021
0218620,Delta Junction,,,
0218675,Deltana,375532,Waste Oil,2021
0223460,Ester,60301,Wind,2021
0268340,Seldovia,391019,Water at Hydroelectric Turbine,2021
0224980,Farmers Loop,375532,Waste Oil,2021
0223720,Eureka Roadhouse,58733,Water at Hydroelectric Turbine,2021
0227090,Fritz Creek,531260,Natural Gas,2021
0221370,Eielson AFB,60301,Wind,2021
0234350,Huslia,1106,Distillate Fuel Oil,2021
0250190,Moose Pass,36383,Water at Hydroelectric Turbine,2021
0203990,Arctic Village,,,
0230500,Gulkana,12132,Distillate Fuel Oil,2021
0205000,Badger,672,Jet Fuel,2021
0223720,Eureka Roadhouse,25548,Waste Oil,2021
0277140,Thorne Bay,,,
0226835,Four Mile Road,752897,Coal,2021
0212920,Chena Ridge,60301,Wind,2021
0223460,Ester,105907,Distillate Fuel Oil,2021
0244580,Livengood,375532,Waste Oil,2021
0226910,Fox River,,,
0274340,Susitna,,,
0228200,Gateway,,,
0266550,Salcha,672,Jet Fuel,2021
0243260,Lazy Mountain,,,
0282200,Valdez,58733,Water at Hydroelectric Turbine,2021
0273070,Sterling,,,
0236770,Kake,857,Water at Hydroelectric Turbine,2021
0283080,Wasilla,139995,Water at Hydroelectric Turbine,2021
0218805,Denali Park,-3433,Electricity used for Energy Storage,2021
0223460,Ester,375532,Waste Oil,2021
0212970,Chenega,220,Distillate Fuel Oil,2021
0266550,Salcha,4,Natural Gas,2021
0272985,Steele Creek,375532,Waste Oil,2021
0231270,Halibut Cove,,,
0231765,Harding-Birch Lakes,,,
0218510,Deering,681,Distillate Fuel Oil,2021
0285680,Womens Bay,0,Distillate Fuel Oil,2021
0266140,Saint Mary's,3651,Distillate Fuel Oil,2021
0216420,Cohoe,,,
0255910,North Pole,375532,Waste Oil,2021
0217190,Cooper Landing,,,
0218805,Denali Park,672,Jet Fuel,2021
0263280,Port Graham,531260,Natural Gas,2021
0260860,Pitkas Point,,,
0247735,Meadow Lakes,139995,Water at Hydroelectric Turbine,2021
0240950,Kodiak,0,Distillate Fuel Oil,2021
0226870,Fox,,,
0270870,Skwentna,,,
0261788,Point MacKenzie,,,
0270760,Skagway,,,
0272230,South Van Horn,375532,Waste Oil,2021
0265345,Ridgeway,,,
0259650,Pelican,421,Distillate Fuel Oil,2021
0240400,Klawock,,,
0205750,Beaver,91,Distillate Fuel Oil,2021
0218620,Delta Junction,-3433,Electricity used for Energy Storage,2021
0254480,Ninilchik,531260,Natural Gas,2021
0228200,Gateway,38071,Landfill Gas,2021
0224230,Fairbanks,672,Jet Fuel,2021
0275480,Tazlina,58733,Water at Hydroelectric Turbine,2021
0272985,Steele Creek,-3433,Electricity used for Energy Storage,2021
0239300,Kiana,1717,Distillate Fuel Oil,2021
0278240,Toksook Bay,892,Wind,2021
0212920,Chena Ridge,,,
0256220,Northway,1095,Distillate Fuel Oil,2021
0258660,Palmer,,,
0267460,Savoonga,110,Wind,2021
0236540,Kachemak,531260,Natural Gas,2021
0266550,Salcha,752897,Coal,2021
0247735,Meadow Lakes,38071,Landfill Gas,2021
0201305,Alatna,,,
0218805,Denali Park,105907,Distillate Fuel Oil,2021
0261080,Platinum,,,
0210150,Cantwell,375532,Waste Oil,2021
0217190,Cooper Landing,2,Distillate Fuel Oil,2021
0285290,Willow Creek,58733,Water at Hydroelectric Turbine,2021
0241280,Kokhanok,19,Wind,2021
0204210,Atka,311,Water at Hydroelectric Turbine,2021
0250080,Moose Creek,4,Natural Gas,2021
0274830,Talkeetna,678574,Natural Gas,2021
0216630,Coldfoot,,,
0260460,Petersville,139995,Water at Hydroelectric Turbine,2021
0228200,Gateway,139995,Water at Hydroelectric Turbine,2021
0220716,Eareckson Station,,,
0280770,Unalaska,,,
0205000,Badger,,,
0207620,Birch Creek,82,Distillate Fuel Oil,2021
