fips_code,name,service_area_net_generation_mwh,service_area_gross_generation_mwh,fuel_type,year
0200065,Adak,,380,Distillate Fuel Oil,2008
0200065,Adak,,2869,Distillate Fuel Oil,2009
0200065,Adak,,1870,Distillate Fuel Oil,2010
0200065,Adak,,1885,Distillate Fuel Oil,2011
0200065,Adak,,3658,Distillate Fuel Oil,2012
0200065,Adak,,2681,Distillate Fuel Oil,2013
0200065,Adak,,2061,Distillate Fuel Oil,2014
0200065,Adak,,2017,Distillate Fuel Oil,2015
0200065,Adak,,1978,Distillate Fuel Oil,2016
0200065,Adak,,1987,Distillate Fuel Oil,2017
0200065,Adak,,2071,Distillate Fuel Oil,2018
0200065,Adak,,2143,Distillate Fuel Oil,2019
0200065,Adak,,1982,Distillate Fuel Oil,2020
0200065,Adak,,1846,Distillate Fuel Oil,2021
0200650,Akhiok,,120,Distillate Fuel Oil,2001
0200650,Akhiok,,18,Distillate Fuel Oil,2002
0200650,Akhiok,,71,Distillate Fuel Oil,2013
0200650,Akhiok,,252,Distillate Fuel Oil,2014
0200650,Akhiok,,257,Distillate Fuel Oil,2015
0200650,Akhiok,,312,Distillate Fuel Oil,2016
0200650,Akhiok,,275,Distillate Fuel Oil,2017
0200650,Akhiok,,276,Distillate Fuel Oil,2018
0200650,Akhiok,,249,Distillate Fuel Oil,2019
0200650,Akhiok,,251,Distillate Fuel Oil,2020
0200650,Akhiok,,286,Distillate Fuel Oil,2021
0200760,Akiachak,,592,Distillate Fuel Oil,2001
0200760,Akiachak,,1293,Distillate Fuel Oil,2002
0200760,Akiachak,,1280,Distillate Fuel Oil,2003
0200760,Akiachak,,1445,Distillate Fuel Oil,2004
0200760,Akiachak,,1748,Distillate Fuel Oil,2005
0200760,Akiachak,,1836,Distillate Fuel Oil,2006
0200760,Akiachak,,1739,Distillate Fuel Oil,2007
0200760,Akiachak,,2812,Distillate Fuel Oil,2008
0200760,Akiachak,,1965,Distillate Fuel Oil,2009
0200760,Akiachak,,1902,Distillate Fuel Oil,2010
0200760,Akiachak,,1885,Distillate Fuel Oil,2011
0200760,Akiachak,,1963,Distillate Fuel Oil,2012
0200760,Akiachak,,1909,Distillate Fuel Oil,2013
0200760,Akiachak,,1872,Distillate Fuel Oil,2014
0200760,Akiachak,,1951,Distillate Fuel Oil,2015
0200760,Akiachak,,1971,Distillate Fuel Oil,2016
0200760,Akiachak,,1945,Distillate Fuel Oil,2017
0200760,Akiachak,,1920,Distillate Fuel Oil,2018
0200760,Akiachak,,1733,Distillate Fuel Oil,2019
0200760,Akiachak,,1909,Distillate Fuel Oil,2020
0200760,Akiachak,,2004,Distillate Fuel Oil,2021
0200870,Akiak,,180,Distillate Fuel Oil,2001
0200870,Akiak,,898,Distillate Fuel Oil,2003
0200870,Akiak,,908,Distillate Fuel Oil,2004
0200870,Akiak,,1117,Distillate Fuel Oil,2005
0200870,Akiak,,1026,Distillate Fuel Oil,2006
0200870,Akiak,,1158,Distillate Fuel Oil,2007
0200870,Akiak,,1094,Distillate Fuel Oil,2008
0200870,Akiak,,1061,Distillate Fuel Oil,2009
0200870,Akiak,,1112,Distillate Fuel Oil,2010
0200870,Akiak,,1059,Distillate Fuel Oil,2011
0200870,Akiak,,1209,Distillate Fuel Oil,2012
0200870,Akiak,,1178,Distillate Fuel Oil,2013
0200870,Akiak,,1205,Distillate Fuel Oil,2014
0200870,Akiak,,1067,Distillate Fuel Oil,2015
0200870,Akiak,,1135,Distillate Fuel Oil,2016
